Time,Power
08/07/2017 00:15,3.86
08/07/2017 00:30,3.78
08/07/2017 00:45,3.77
08/07/2017 01:00,4.45
08/07/2017 01:15,3.91
08/07/2017 01:30,3.82
08/07/2017 01:45,3.96
08/07/2017 02:00,3.71
08/07/2017 02:15,3.82
08/07/2017 02:30,4.0
08/07/2017 02:45,4.24
08/07/2017 03:00,4.08
08/07/2017 03:15,3.83
08/07/2017 03:30,3.64
08/07/2017 03:45,4.09
08/07/2017 04:00,4.02
08/07/2017 04:15,4.04
08/07/2017 04:30,4.02
08/07/2017 04:45,4.28
08/07/2017 05:00,4.28
08/07/2017 05:15,4.21
08/07/2017 05:30,3.74
08/07/2017 05:45,4.13
08/07/2017 06:00,4.21
08/07/2017 06:15,3.96
08/07/2017 06:30,3.88
08/07/2017 06:45,4.22
08/07/2017 07:00,4.68
08/07/2017 07:15,4.22
08/07/2017 07:30,3.97
08/07/2017 07:45,4.48
08/07/2017 08:00,5.08
08/07/2017 08:15,4.33
08/07/2017 08:30,5.22
08/07/2017 08:45,6.76
08/07/2017 09:00,7.56
08/07/2017 09:15,7.75
08/07/2017 09:30,8.21
08/07/2017 09:45,8.62
08/07/2017 10:00,8.59
08/07/2017 10:15,11.04
08/07/2017 10:30,14.14
08/07/2017 10:45,15.92
08/07/2017 11:00,16.34
08/07/2017 11:15,16.4
08/07/2017 11:30,16.02
08/07/2017 11:45,15.92
08/07/2017 12:00,16.26
08/07/2017 12:15,13.44
08/07/2017 12:30,11.89
08/07/2017 12:45,9.77
08/07/2017 13:00,9.58
08/07/2017 13:15,9.31
08/07/2017 13:30,8.98
08/07/2017 13:45,10.63
08/07/2017 14:00,9.46
08/07/2017 14:15,9.59
08/07/2017 14:30,9.68
08/07/2017 14:45,9.62
08/07/2017 15:00,11.36
08/07/2017 15:15,11.05
08/07/2017 15:30,9.74
08/07/2017 15:45,9.1
08/07/2017 16:00,8.06
08/07/2017 16:15,8.1
08/07/2017 16:30,8.39
08/07/2017 16:45,8.34
08/07/2017 17:00,8.3
08/07/2017 17:15,7.79
08/07/2017 17:30,8.0
08/07/2017 17:45,7.85
08/07/2017 18:00,7.91
08/07/2017 18:15,6.74
08/07/2017 18:30,5.41
08/07/2017 18:45,5.03
08/07/2017 19:00,4.97
08/07/2017 19:15,5.26
08/07/2017 19:30,4.93
08/07/2017 19:45,4.1
08/07/2017 20:00,5.6
08/07/2017 20:15,5.12
08/07/2017 20:30,4.74
08/07/2017 20:45,5.1
08/07/2017 21:00,4.86
