Time,Power
08/07/2017 00:15,2.66
08/07/2017 00:30,2.65
08/07/2017 00:45,2.52
08/07/2017 01:00,2.65
08/07/2017 01:15,2.61
08/07/2017 01:30,2.75
08/07/2017 01:45,2.88
08/07/2017 02:00,2.84
08/07/2017 02:15,2.84
08/07/2017 02:30,2.77
08/07/2017 02:45,2.77
08/07/2017 03:00,2.72
08/07/2017 03:15,2.81
08/07/2017 03:30,2.88
08/07/2017 03:45,2.88
08/07/2017 04:00,2.95
08/07/2017 04:15,2.93
08/07/2017 04:30,2.74
08/07/2017 04:45,2.7
08/07/2017 05:00,2.81
08/07/2017 05:15,2.39
08/07/2017 05:30,2.34
08/07/2017 05:45,3.8
08/07/2017 06:00,6.25
08/07/2017 06:15,9.16
08/07/2017 06:30,9.32
08/07/2017 06:45,8.42
08/07/2017 07:00,8.64
08/07/2017 07:15,9.0
08/07/2017 07:30,8.53
08/07/2017 07:45,8.62
08/07/2017 08:00,6.68
08/07/2017 08:15,5.98
08/07/2017 08:30,6.34
08/07/2017 08:45,7.85
08/07/2017 09:00,6.7
08/07/2017 09:15,6.62
08/07/2017 09:30,5.44
08/07/2017 09:45,5.4
08/07/2017 10:00,6.5
08/07/2017 10:15,7.69
08/07/2017 10:30,7.67
08/07/2017 10:45,6.32
08/07/2017 11:00,7.13
08/07/2017 11:15,4.86
08/07/2017 11:30,5.47
08/07/2017 11:45,4.32
08/07/2017 12:00,4.07
08/07/2017 12:15,4.23
08/07/2017 12:30,5.11
08/07/2017 12:45,4.82
08/07/2017 13:00,3.69
08/07/2017 13:15,5.69
08/07/2017 13:30,6.05
08/07/2017 13:45,6.93
08/07/2017 14:00,7.45
08/07/2017 14:15,6.37
08/07/2017 14:30,4.91
08/07/2017 14:45,5.02
08/07/2017 15:00,5.71
08/07/2017 15:15,5.62
08/07/2017 15:30,5.76
08/07/2017 15:45,6.25
08/07/2017 16:00,6.71
08/07/2017 16:15,7.63
08/07/2017 16:30,7.85
08/07/2017 16:45,7.96
08/07/2017 17:00,8.87
08/07/2017 17:15,9.83
08/07/2017 17:30,9.9
08/07/2017 17:45,10.44
08/07/2017 18:00,10.71
08/07/2017 18:15,11.02
08/07/2017 18:30,10.28
08/07/2017 18:45,11.25
08/07/2017 19:00,10.94
08/07/2017 19:15,11.09
08/07/2017 19:30,10.82
08/07/2017 19:45,10.89
08/07/2017 20:00,10.91
08/07/2017 20:15,10.76
08/07/2017 20:30,10.39
08/07/2017 20:45,10.33
08/07/2017 21:00,10.28
08/07/2017 21:15,10.33
08/07/2017 21:30,10.42
08/07/2017 21:45,10.33
08/07/2017 22:00,10.01
08/07/2017 22:15,9.34
08/07/2017 22:30,9.16
08/07/2017 22:45,8.95
08/07/2017 23:00,7.18
08/07/2017 23:15,3.33
08/07/2017 23:30,2.74
08/07/2017 23:45,2.59
08/07/2017 00:00,2.7
08/08/2017 00:15,2.65
08/08/2017 00:30,2.59
08/08/2017 00:45,2.74
08/08/2017 01:00,2.56
08/08/2017 01:15,2.66
08/08/2017 01:30,2.66
08/08/2017 01:45,2.72
08/08/2017 02:00,2.75
08/08/2017 02:15,2.72
08/08/2017 02:30,2.7
08/08/2017 02:45,2.75
08/08/2017 03:00,2.84
08/08/2017 03:15,2.95
08/08/2017 03:30,2.92
08/08/2017 03:45,3.1
08/08/2017 04:00,2.83
08/08/2017 04:15,2.84
08/08/2017 04:30,2.79
08/08/2017 04:45,2.79
08/08/2017 05:00,2.7
08/08/2017 05:15,2.61
08/08/2017 05:30,2.45
08/08/2017 05:45,3.44
08/08/2017 06:00,7.61
08/08/2017 06:15,8.23
08/08/2017 06:30,7.83
08/08/2017 06:45,7.72
08/08/2017 07:00,7.9
08/08/2017 07:15,7.58
08/08/2017 07:30,7.22
08/08/2017 07:45,7.34
08/08/2017 08:00,5.99
08/08/2017 08:15,6.07
08/08/2017 08:30,5.53
08/08/2017 08:45,6.03
08/08/2017 09:00,5.89
08/08/2017 09:15,7.56
08/08/2017 09:30,6.66
08/08/2017 09:45,6.01
08/08/2017 10:00,7.99
08/08/2017 10:15,7.83
08/08/2017 10:30,6.01
08/08/2017 10:45,8.51
08/08/2017 11:00,8.5
08/08/2017 11:15,6.59
08/08/2017 11:30,7.78
08/08/2017 11:45,5.89
08/08/2017 12:00,4.3
08/08/2017 12:15,6.3
08/08/2017 12:30,6.66
08/08/2017 12:45,7.79
08/08/2017 13:00,5.26
08/08/2017 13:15,5.04
08/08/2017 13:30,7.27
08/08/2017 13:45,6.98
08/08/2017 14:00,3.55
08/08/2017 14:15,7.31
08/08/2017 14:30,4.66
08/08/2017 14:45,6.8
08/08/2017 15:00,9.2
08/08/2017 15:15,10.76
08/08/2017 15:30,11.41
08/08/2017 15:45,10.89
08/08/2017 16:00,9.49
08/08/2017 16:15,9.83
08/08/2017 16:30,10.21
08/08/2017 16:45,9.76
08/08/2017 17:00,8.93
08/08/2017 17:15,9.56
08/08/2017 17:30,9.99
08/08/2017 17:45,10.15
08/08/2017 18:00,9.43
08/08/2017 18:15,9.36
08/08/2017 18:30,9.95
08/08/2017 18:45,9.97
08/08/2017 19:00,10.4
08/08/2017 19:15,10.78
08/08/2017 19:30,10.3
08/08/2017 19:45,10.49
08/08/2017 20:00,10.08
08/08/2017 20:15,10.01
08/08/2017 20:30,10.03
08/08/2017 20:45,9.77
08/08/2017 21:00,9.81
08/08/2017 21:15,9.74
08/08/2017 21:30,9.88
08/08/2017 21:45,9.58
08/08/2017 22:00,9.38
08/08/2017 22:15,8.68
08/08/2017 22:30,8.46
08/08/2017 22:45,8.37
08/08/2017 23:00,7.29
08/08/2017 23:15,4.0
08/08/2017 23:30,2.79
08/08/2017 23:45,2.75
08/08/2017 00:00,2.74
08/09/2017 00:15,2.66
08/09/2017 00:30,2.59
08/09/2017 00:45,2.68
08/09/2017 01:00,2.63
08/09/2017 01:15,2.59
08/09/2017 01:30,2.75
08/09/2017 01:45,2.54
08/09/2017 02:00,2.48
08/09/2017 02:15,2.5
08/09/2017 02:30,2.72
08/09/2017 02:45,2.59
08/09/2017 03:00,2.7
08/09/2017 03:15,2.84
08/09/2017 03:30,2.86
08/09/2017 03:45,2.72
08/09/2017 04:00,2.77
08/09/2017 04:15,2.83
08/09/2017 04:30,2.77
08/09/2017 04:45,2.77
08/09/2017 05:00,2.61
08/09/2017 05:15,2.39
08/09/2017 05:30,2.32
08/09/2017 05:45,3.56
08/09/2017 06:00,5.63
08/09/2017 06:15,8.66
08/09/2017 06:30,8.5
08/09/2017 06:45,8.19
08/09/2017 07:00,8.01
08/09/2017 07:15,8.1
08/09/2017 07:30,7.85
08/09/2017 07:45,7.16
08/09/2017 08:00,7.24
08/09/2017 08:15,6.97
08/09/2017 08:30,6.43
08/09/2017 08:45,7.69
08/09/2017 09:00,7.29
08/09/2017 09:15,7.52
08/09/2017 09:30,7.85
08/09/2017 09:45,6.77
08/09/2017 10:00,8.12
08/09/2017 10:15,8.42
08/09/2017 10:30,8.96
08/09/2017 10:45,8.55
08/09/2017 11:00,8.35
08/09/2017 11:15,8.41
08/09/2017 11:30,7.72
08/09/2017 11:45,7.9
08/09/2017 12:00,6.23
08/09/2017 12:15,6.61
08/09/2017 12:30,6.53
08/09/2017 12:45,6.37
08/09/2017 13:00,5.92
08/09/2017 13:15,6.84
08/09/2017 13:30,6.61
08/09/2017 13:45,7.81
08/09/2017 14:00,8.35
08/09/2017 14:15,9.88
08/09/2017 14:30,9.81
08/09/2017 14:45,7.31
08/09/2017 15:00,9.2
08/09/2017 15:15,9.0
08/09/2017 15:30,8.12
08/09/2017 15:45,7.87
08/09/2017 16:00,9.65
08/09/2017 16:15,9.47
08/09/2017 16:30,9.65
08/09/2017 16:45,9.59
08/09/2017 17:00,9.52
08/09/2017 17:15,9.88
08/09/2017 17:30,9.29
08/09/2017 17:45,9.32
08/09/2017 18:00,9.16
08/09/2017 18:15,8.89
08/09/2017 18:30,8.51
08/09/2017 18:45,9.29
08/09/2017 19:00,9.81
08/09/2017 19:15,9.63
08/09/2017 19:30,9.47
08/09/2017 19:45,9.56
08/09/2017 20:00,9.5
08/09/2017 20:15,9.52
08/09/2017 20:30,9.43
08/09/2017 20:45,9.47
08/09/2017 21:00,9.49
08/09/2017 21:15,8.86
08/09/2017 21:30,9.07
08/09/2017 21:45,8.95
08/09/2017 22:00,8.8
08/09/2017 22:15,8.42
08/09/2017 22:30,8.33
08/09/2017 22:45,8.03
08/09/2017 23:00,7.22
08/09/2017 23:15,4.32
08/09/2017 23:30,2.83
08/09/2017 23:45,2.77
08/09/2017 00:00,2.88
08/10/2017 00:15,2.9
08/10/2017 00:30,2.77
08/10/2017 00:45,2.81
08/10/2017 01:00,2.88
08/10/2017 01:15,2.86
08/10/2017 01:30,2.83
08/10/2017 01:45,2.9
08/10/2017 02:00,2.92
08/10/2017 02:15,2.86
08/10/2017 02:30,2.86
08/10/2017 02:45,2.79
08/10/2017 03:00,2.84
08/10/2017 03:15,2.88
08/10/2017 03:30,2.84
