Time,Power
08/07/2017 00:15,4.21
08/07/2017 00:30,4.03
08/07/2017 00:45,4.04
08/07/2017 01:00,4.16
08/07/2017 01:15,4.06
08/07/2017 01:30,4.16
08/07/2017 01:45,4.2
08/07/2017 02:00,4.18
08/07/2017 02:15,4.39
08/07/2017 02:30,4.08
08/07/2017 02:45,4.2
08/07/2017 03:00,4.0
08/07/2017 03:15,4.04
08/07/2017 03:30,4.09
08/07/2017 03:45,3.98
08/07/2017 04:00,4.24
08/07/2017 04:15,4.0
08/07/2017 04:30,4.14
08/07/2017 04:45,4.03
08/07/2017 05:00,3.73
08/07/2017 05:15,4.14
08/07/2017 05:30,3.79
08/07/2017 05:45,3.7
08/07/2017 06:00,8.65
08/07/2017 06:15,12.05
08/07/2017 06:30,11.46
08/07/2017 06:45,13.92
08/07/2017 07:00,12.22
08/07/2017 07:15,10.09
08/07/2017 07:30,9.25
08/07/2017 07:45,9.54
08/07/2017 08:00,9.64
08/07/2017 08:15,9.74
08/07/2017 08:30,10.34
08/07/2017 08:45,12.49
08/07/2017 09:00,15.53
08/07/2017 09:15,16.01
08/07/2017 09:30,16.01
08/07/2017 09:45,15.9
08/07/2017 10:00,16.26
08/07/2017 10:15,16.58
08/07/2017 10:30,17.3
08/07/2017 10:45,17.81
08/07/2017 11:00,17.08
08/07/2017 11:15,17.48
08/07/2017 11:30,16.67
08/07/2017 11:45,18.79
08/07/2017 12:00,17.76
08/07/2017 12:15,18.32
08/07/2017 12:30,18.07
08/07/2017 12:45,18.07
08/07/2017 13:00,18.3
08/07/2017 13:15,18.0
08/07/2017 13:30,18.31
08/07/2017 13:45,17.99
08/07/2017 14:00,17.99
08/07/2017 14:15,18.64
08/07/2017 14:30,18.24
08/07/2017 14:45,18.38
08/07/2017 15:00,17.92
08/07/2017 15:15,17.82
08/07/2017 15:30,18.61
08/07/2017 15:45,18.83
08/07/2017 16:00,17.48
08/07/2017 16:15,18.59
08/07/2017 16:30,18.22
08/07/2017 16:45,17.18
08/07/2017 17:00,17.5
08/07/2017 17:15,17.51
08/07/2017 17:30,16.81
08/07/2017 17:45,17.0
08/07/2017 18:00,17.56
08/07/2017 18:15,17.17
08/07/2017 18:30,17.23
08/07/2017 18:45,15.26
08/07/2017 19:00,14.4
08/07/2017 19:15,13.96
08/07/2017 19:30,13.86
08/07/2017 19:45,12.85
08/07/2017 20:00,13.48
08/07/2017 20:15,12.83
08/07/2017 20:30,12.66
08/07/2017 20:45,12.9
08/07/2017 21:00,12.91
08/07/2017 21:15,12.42
08/07/2017 21:30,12.79
08/07/2017 21:45,12.34
08/07/2017 22:00,12.06
08/07/2017 22:15,8.98
08/07/2017 22:30,8.78
08/07/2017 22:45,8.45
08/07/2017 23:00,8.4
08/07/2017 23:15,4.82
08/07/2017 23:30,4.84
08/07/2017 23:45,4.08
08/07/2017 00:00,4.15
08/08/2017 00:15,3.97
08/08/2017 00:30,4.09
08/08/2017 00:45,4.18
08/08/2017 01:00,4.07
08/08/2017 01:15,4.25
08/08/2017 01:30,4.14
08/08/2017 01:45,4.08
08/08/2017 02:00,4.37
08/08/2017 02:15,4.03
08/08/2017 02:30,4.24
08/08/2017 02:45,4.34
08/08/2017 03:00,4.09
