Time,Power
08/07/2017 00:15,1.39
08/07/2017 00:30,1.5
08/07/2017 00:45,1.46
08/07/2017 01:00,1.38
08/07/2017 01:15,1.46
08/07/2017 01:30,1.49
08/07/2017 01:45,1.54
08/07/2017 02:00,1.44
08/07/2017 02:15,1.39
08/07/2017 02:30,1.4
08/07/2017 02:45,1.48
08/07/2017 03:00,1.51
08/07/2017 03:15,1.46
08/07/2017 03:30,1.43
08/07/2017 03:45,1.5
08/07/2017 04:00,1.42
08/07/2017 04:15,1.46
08/07/2017 04:30,1.55
08/07/2017 04:45,1.72
08/07/2017 05:00,1.56
08/07/2017 05:15,1.55
08/07/2017 05:30,1.3
08/07/2017 05:45,1.31
08/07/2017 06:00,1.33
08/07/2017 06:15,1.67
08/07/2017 06:30,1.55
08/07/2017 06:45,1.46
08/07/2017 07:00,1.57
08/07/2017 07:15,1.75
08/07/2017 07:30,1.58
08/07/2017 07:45,1.55
08/07/2017 08:00,1.67
08/07/2017 08:15,1.69
08/07/2017 08:30,3.78
08/07/2017 08:45,5.59
08/07/2017 09:00,7.31
08/07/2017 09:15,11.6
08/07/2017 09:30,14.44
08/07/2017 09:45,16.62
08/07/2017 10:00,15.7
08/07/2017 10:15,16.26
08/07/2017 10:30,13.54
08/07/2017 10:45,16.09
08/07/2017 11:00,17.09
08/07/2017 11:15,17.42
08/07/2017 11:30,19.99
08/07/2017 11:45,22.73
08/07/2017 12:00,22.66
08/07/2017 12:15,16.91
08/07/2017 12:30,16.37
08/07/2017 12:45,17.83
08/07/2017 13:00,15.2
08/07/2017 13:15,11.03
08/07/2017 13:30,10.34
08/07/2017 13:45,10.07
08/07/2017 14:00,10.93
08/07/2017 14:15,10.19
08/07/2017 14:30,10.79
08/07/2017 14:45,10.07
08/07/2017 15:00,10.58
08/07/2017 15:15,9.8
08/07/2017 15:30,10.37
08/07/2017 15:45,10.91
08/07/2017 16:00,11.09
08/07/2017 16:15,11.02
08/07/2017 16:30,10.85
08/07/2017 16:45,11.17
08/07/2017 17:00,10.82
08/07/2017 17:15,9.12
08/07/2017 17:30,7.74
08/07/2017 17:45,7.03
08/07/2017 18:00,7.6
08/07/2017 18:15,5.16
08/07/2017 18:30,3.25
08/07/2017 18:45,2.84
08/07/2017 19:00,2.04
08/07/2017 19:15,1.69
08/07/2017 19:30,1.67
08/07/2017 19:45,1.7
08/07/2017 20:00,1.75
08/07/2017 20:15,1.63
08/07/2017 20:30,1.67
08/07/2017 20:45,1.66
08/07/2017 21:00,1.58
08/07/2017 21:15,1.6
08/07/2017 21:30,1.61
08/07/2017 21:45,1.57
08/07/2017 22:00,1.58
08/07/2017 22:15,1.6
08/07/2017 22:30,1.39
08/07/2017 22:45,1.32
08/07/2017 23:00,1.36
08/07/2017 23:15,1.39
08/07/2017 23:30,1.3
08/07/2017 23:45,1.48
08/07/2017 00:00,1.33
08/08/2017 00:15,1.32
08/08/2017 00:30,1.3
08/08/2017 00:45,1.34
08/08/2017 01:00,1.34
08/08/2017 01:15,1.38
08/08/2017 01:30,1.37
08/08/2017 01:45,1.31
08/08/2017 02:00,1.25
08/08/2017 02:15,1.4
08/08/2017 02:30,1.33
08/08/2017 02:45,1.5
08/08/2017 03:00,1.44
08/08/2017 03:15,1.44
08/08/2017 03:30,1.32
08/08/2017 03:45,1.39
08/08/2017 04:00,1.36
08/08/2017 04:15,1.3
08/08/2017 04:30,1.44
08/08/2017 04:45,1.5
08/08/2017 05:00,1.39
08/08/2017 05:15,1.36
08/08/2017 05:30,1.24
08/08/2017 05:45,1.19
08/08/2017 06:00,1.31
08/08/2017 06:15,1.39
08/08/2017 06:30,1.38
08/08/2017 06:45,1.43
08/08/2017 07:00,1.4
08/08/2017 07:15,1.51
08/08/2017 07:30,1.4
08/08/2017 07:45,1.57
08/08/2017 08:00,1.76
08/08/2017 08:15,2.2
08/08/2017 08:30,3.02
08/08/2017 08:45,3.83
08/08/2017 09:00,8.38
08/08/2017 09:15,12.94
08/08/2017 09:30,17.11
08/08/2017 09:45,17.68
08/08/2017 10:00,17.6
08/08/2017 10:15,17.88
08/08/2017 10:30,18.23
08/08/2017 10:45,18.7
08/08/2017 11:00,15.7
08/08/2017 11:15,13.04
08/08/2017 11:30,15.49
08/08/2017 11:45,12.85
08/08/2017 12:00,10.92
08/08/2017 12:15,8.39
08/08/2017 12:30,7.99
08/08/2017 12:45,7.78
08/08/2017 13:00,10.46
08/08/2017 13:15,15.34
08/08/2017 13:30,14.53
08/08/2017 13:45,14.53
08/08/2017 14:00,16.28
08/08/2017 14:15,15.56
08/08/2017 14:30,14.82
08/08/2017 14:45,16.07
08/08/2017 15:00,15.13
08/08/2017 15:15,13.75
08/08/2017 15:30,13.04
08/08/2017 15:45,10.58
08/08/2017 16:00,9.11
08/08/2017 16:15,8.56
08/08/2017 16:30,8.75
08/08/2017 16:45,7.34
08/08/2017 17:00,7.63
08/08/2017 17:15,6.38
08/08/2017 17:30,4.97
08/08/2017 17:45,5.86
08/08/2017 18:00,10.15
08/08/2017 18:15,9.47
08/08/2017 18:30,9.32
08/08/2017 18:45,9.29
08/08/2017 19:00,11.42
08/08/2017 19:15,11.65
08/08/2017 19:30,11.38
08/08/2017 19:45,11.44
08/08/2017 20:00,10.74
08/08/2017 20:15,9.5
08/08/2017 20:30,9.04
08/08/2017 20:45,9.61
08/08/2017 21:00,5.4
08/08/2017 21:15,2.42
08/08/2017 21:30,1.74
08/08/2017 21:45,1.45
08/08/2017 22:00,1.27
08/08/2017 22:15,1.32
08/08/2017 22:30,1.28
08/08/2017 22:45,1.32
08/08/2017 23:00,1.34
08/08/2017 23:15,1.36
08/08/2017 23:30,1.42
08/08/2017 23:45,1.22
08/08/2017 00:00,1.37
08/09/2017 00:15,1.39
08/09/2017 00:30,1.4
08/09/2017 00:45,1.43
08/09/2017 01:00,1.36
08/09/2017 01:15,1.43
08/09/2017 01:30,1.33
08/09/2017 01:45,1.34
08/09/2017 02:00,1.34
08/09/2017 02:15,1.42
08/09/2017 02:30,1.4
08/09/2017 02:45,1.37
08/09/2017 03:00,1.3
08/09/2017 03:15,1.33
08/09/2017 03:30,1.36
08/09/2017 03:45,1.25
08/09/2017 04:00,1.39
08/09/2017 04:15,1.51
08/09/2017 04:30,1.33
08/09/2017 04:45,1.4
08/09/2017 05:00,1.44
08/09/2017 05:15,1.33
08/09/2017 05:30,1.14
08/09/2017 05:45,1.26
08/09/2017 06:00,1.33
08/09/2017 06:15,1.3
08/09/2017 06:30,1.33
