Time,Power
08/07/2017 00:15,2.82
08/07/2017 00:30,2.64
08/07/2017 00:45,2.99
08/07/2017 01:00,2.52
08/07/2017 01:15,2.38
08/07/2017 01:30,2.62
08/07/2017 01:45,2.48
08/07/2017 02:00,2.57
08/07/2017 02:15,2.51
08/07/2017 02:30,2.81
08/07/2017 02:45,2.3
08/07/2017 03:00,2.72
08/07/2017 03:15,2.86
08/07/2017 03:30,2.8
08/07/2017 03:45,2.58
08/07/2017 04:00,2.64
08/07/2017 04:15,2.5
08/07/2017 04:30,2.71
08/07/2017 04:45,2.5
08/07/2017 05:00,3.07
08/07/2017 05:15,3.44
08/07/2017 05:30,3.59
08/07/2017 05:45,3.44
08/07/2017 06:00,3.38
08/07/2017 06:15,3.46
08/07/2017 06:30,3.24
08/07/2017 06:45,3.44
08/07/2017 07:00,3.22
08/07/2017 07:15,3.53
08/07/2017 07:30,3.14
08/07/2017 07:45,3.67
08/07/2017 08:00,3.76
08/07/2017 08:15,6.76
08/07/2017 08:30,8.46
08/07/2017 08:45,9.72
08/07/2017 09:00,10.61
08/07/2017 09:15,11.47
08/07/2017 09:30,10.99
08/07/2017 09:45,11.12
08/07/2017 10:00,12.64
08/07/2017 10:15,14.46
08/07/2017 10:30,14.21
08/07/2017 10:45,13.58
08/07/2017 11:00,13.44
08/07/2017 11:15,12.98
08/07/2017 11:30,12.4
08/07/2017 11:45,12.6
08/07/2017 12:00,12.85
08/07/2017 12:15,12.88
08/07/2017 12:30,9.2
08/07/2017 12:45,7.64
08/07/2017 13:00,7.54
08/07/2017 13:15,8.12
08/07/2017 13:30,9.98
08/07/2017 13:45,10.51
08/07/2017 14:00,11.41
08/07/2017 14:15,10.49
08/07/2017 14:30,10.0
08/07/2017 14:45,10.78
08/07/2017 15:00,10.8
08/07/2017 15:15,11.78
08/07/2017 15:30,13.44
08/07/2017 15:45,12.36
08/07/2017 16:00,12.55
08/07/2017 16:15,12.92
08/07/2017 16:30,13.81
08/07/2017 16:45,14.56
08/07/2017 17:00,13.86
08/07/2017 17:15,13.67
08/07/2017 17:30,12.52
08/07/2017 17:45,9.79
08/07/2017 18:00,7.8
08/07/2017 18:15,7.18
08/07/2017 18:30,6.2
08/07/2017 18:45,5.98
08/07/2017 19:00,5.81
08/07/2017 19:15,5.87
08/07/2017 19:30,6.14
08/07/2017 19:45,4.88
08/07/2017 20:00,4.1
08/07/2017 20:15,2.8
08/07/2017 20:30,2.62
08/07/2017 20:45,2.98
08/07/2017 21:00,2.76
08/07/2017 21:15,2.8
08/07/2017 21:30,2.95
08/07/2017 21:45,2.59
08/07/2017 22:00,2.64
08/07/2017 22:15,4.24
08/07/2017 22:30,5.28
08/07/2017 22:45,3.01
08/07/2017 23:00,2.42
08/07/2017 23:15,2.71
08/07/2017 23:30,2.53
08/07/2017 23:45,2.26
08/07/2017 00:00,2.46
08/08/2017 00:15,2.4
08/08/2017 00:30,2.33
08/08/2017 00:45,2.26
08/08/2017 01:00,2.39
08/08/2017 01:15,2.8
08/08/2017 01:30,2.17
08/08/2017 01:45,2.48
08/08/2017 02:00,2.29
08/08/2017 02:15,2.52
08/08/2017 02:30,2.33
08/08/2017 02:45,2.48
08/08/2017 03:00,2.54
08/08/2017 03:15,2.47
08/08/2017 03:30,2.74
08/08/2017 03:45,2.44
08/08/2017 04:00,2.51
08/08/2017 04:15,2.53
08/08/2017 04:30,2.65
08/08/2017 04:45,2.39
08/08/2017 05:00,2.46
08/08/2017 05:15,2.87
08/08/2017 05:30,2.53
08/08/2017 05:45,2.87
08/08/2017 06:00,2.52
08/08/2017 06:15,2.88
08/08/2017 06:30,2.56
08/08/2017 06:45,2.53
08/08/2017 07:00,2.72
08/08/2017 07:15,2.27
08/08/2017 07:30,2.82
08/08/2017 07:45,6.88
08/08/2017 08:00,6.71
08/08/2017 08:15,6.7
08/08/2017 08:30,7.25
08/08/2017 08:45,7.91
08/08/2017 09:00,8.86
08/08/2017 09:15,12.64
08/08/2017 09:30,12.02
08/08/2017 09:45,9.97
08/08/2017 10:00,11.51
08/08/2017 10:15,11.63
08/08/2017 10:30,11.38
08/08/2017 10:45,12.4
08/08/2017 11:00,12.04
08/08/2017 11:15,11.69
08/08/2017 11:30,12.02
08/08/2017 11:45,11.65
08/08/2017 12:00,11.75
08/08/2017 12:15,11.89
08/08/2017 12:30,10.92
08/08/2017 12:45,10.78
