Time,Power
08/07/2017 00:15,8.16
08/07/2017 00:30,9.07
08/07/2017 00:45,8.71
08/07/2017 01:00,8.02
08/07/2017 01:15,8.33
08/07/2017 01:30,8.42
08/07/2017 01:45,8.45
08/07/2017 02:00,8.62
08/07/2017 02:15,8.78
08/07/2017 02:30,8.16
08/07/2017 02:45,8.62
08/07/2017 03:00,8.42
08/07/2017 03:15,8.62
08/07/2017 03:30,8.71
08/07/2017 03:45,9.22
08/07/2017 04:00,9.19
08/07/2017 04:15,8.16
08/07/2017 04:30,8.88
08/07/2017 04:45,10.01
08/07/2017 05:00,10.78
08/07/2017 05:15,10.15
08/07/2017 05:30,11.18
08/07/2017 05:45,10.78
08/07/2017 06:00,10.3
08/07/2017 06:15,12.77
08/07/2017 06:30,18.67
08/07/2017 06:45,17.47
08/07/2017 07:00,18.0
08/07/2017 07:15,20.09
08/07/2017 07:30,19.68
08/07/2017 07:45,19.63
08/07/2017 08:00,17.64
08/07/2017 08:15,38.11
08/07/2017 08:30,39.6
08/07/2017 08:45,36.55
08/07/2017 09:00,35.23
08/07/2017 09:15,41.02
08/07/2017 09:30,37.87
08/07/2017 09:45,38.64
08/07/2017 10:00,36.86
08/07/2017 10:15,37.97
08/07/2017 10:30,33.86
08/07/2017 10:45,32.42
08/07/2017 11:00,33.94
08/07/2017 11:15,36.38
08/07/2017 11:30,30.86
08/07/2017 11:45,32.57
08/07/2017 12:00,30.48
08/07/2017 12:15,31.78
08/07/2017 12:30,34.3
08/07/2017 12:45,34.63
08/07/2017 13:00,35.04
08/07/2017 13:15,39.67
08/07/2017 13:30,34.46
08/07/2017 13:45,31.7
08/07/2017 14:00,34.99
08/07/2017 14:15,34.49
08/07/2017 14:30,32.59
08/07/2017 14:45,33.7
08/07/2017 15:00,34.49
08/07/2017 15:15,36.31
08/07/2017 15:30,36.48
08/07/2017 15:45,36.48
08/07/2017 16:00,36.6
08/07/2017 16:15,38.64
08/07/2017 16:30,38.52
08/07/2017 16:45,39.58
08/07/2017 17:00,40.82
08/07/2017 17:15,43.44
08/07/2017 17:30,41.64
08/07/2017 17:45,43.15
08/07/2017 18:00,43.73
08/07/2017 18:15,44.71
08/07/2017 18:30,44.52
08/07/2017 18:45,45.94
08/07/2017 19:00,44.16
08/07/2017 19:15,45.98
08/07/2017 19:30,46.75
08/07/2017 19:45,44.95
08/07/2017 20:00,46.37
08/07/2017 20:15,45.6
08/07/2017 20:30,46.2
08/07/2017 20:45,45.94
08/07/2017 21:00,43.97
08/07/2017 21:15,28.82
08/07/2017 21:30,21.34
08/07/2017 21:45,16.01
08/07/2017 22:00,16.85
08/07/2017 22:15,13.75
08/07/2017 22:30,12.0
08/07/2017 22:45,11.69
08/07/2017 23:00,12.24
08/07/2017 23:15,8.59
08/07/2017 23:30,9.07
08/07/2017 23:45,8.57
08/07/2017 00:00,9.05
08/08/2017 00:15,8.3
08/08/2017 00:30,8.78
08/08/2017 00:45,8.4
08/08/2017 01:00,8.5
08/08/2017 01:15,8.71
08/08/2017 01:30,8.64
08/08/2017 01:45,8.54
08/08/2017 02:00,8.42
08/08/2017 02:15,8.45
08/08/2017 02:30,8.57
08/08/2017 02:45,8.38
08/08/2017 03:00,8.71
08/08/2017 03:15,8.62
08/08/2017 03:30,9.0
08/08/2017 03:45,8.76
08/08/2017 04:00,8.78
08/08/2017 04:15,8.88
08/08/2017 04:30,9.6
08/08/2017 04:45,9.72
08/08/2017 05:00,10.01
08/08/2017 05:15,10.61
08/08/2017 05:30,10.78
08/08/2017 05:45,10.27
08/08/2017 06:00,10.94
08/08/2017 06:15,10.3
08/08/2017 06:30,12.46
08/08/2017 06:45,16.82
08/08/2017 07:00,17.45
08/08/2017 07:15,18.36
08/08/2017 07:30,19.49
08/08/2017 07:45,20.83
08/08/2017 08:00,18.46
08/08/2017 08:15,17.5
08/08/2017 08:30,30.74
08/08/2017 08:45,42.38
08/08/2017 09:00,42.53
08/08/2017 09:15,45.05
08/08/2017 09:30,43.54
08/08/2017 09:45,38.54
08/08/2017 10:00,41.98
08/08/2017 10:15,40.97
08/08/2017 10:30,38.54
08/08/2017 10:45,41.21
08/08/2017 11:00,38.35
08/08/2017 11:15,40.66
08/08/2017 11:30,41.45
08/08/2017 11:45,41.06
08/08/2017 12:00,44.23
08/08/2017 12:15,42.41
08/08/2017 12:30,41.54
08/08/2017 12:45,43.39
08/08/2017 13:00,39.05
08/08/2017 13:15,35.9
08/08/2017 13:30,40.34
08/08/2017 13:45,38.4
08/08/2017 14:00,35.06
08/08/2017 14:15,39.22
08/08/2017 14:30,41.35
08/08/2017 14:45,41.14
08/08/2017 15:00,43.18
08/08/2017 15:15,43.37
08/08/2017 15:30,46.42
08/08/2017 15:45,45.79
08/08/2017 16:00,43.46
08/08/2017 16:15,45.58
08/08/2017 16:30,44.23
08/08/2017 16:45,44.98
08/08/2017 17:00,44.69
08/08/2017 17:15,43.7
08/08/2017 17:30,46.34
08/08/2017 17:45,44.71
08/08/2017 18:00,46.13
08/08/2017 18:15,44.33
08/08/2017 18:30,44.59
08/08/2017 18:45,44.81
08/08/2017 19:00,45.38
08/08/2017 19:15,45.29
08/08/2017 19:30,46.8
08/08/2017 19:45,44.88
08/08/2017 20:00,47.28
08/08/2017 20:15,44.52
08/08/2017 20:30,47.16
08/08/2017 20:45,45.74
08/08/2017 21:00,44.47
08/08/2017 21:15,44.18
