Time,Power
08/07/2017 00:15,116.28
08/07/2017 00:30,126.36
08/07/2017 00:45,143.64
08/07/2017 01:00,148.41
08/07/2017 01:15,143.73
08/07/2017 01:30,144.18
08/07/2017 01:45,146.43
08/07/2017 02:00,147.15
08/07/2017 02:15,144.36
08/07/2017 02:30,134.55
08/07/2017 02:45,131.85
08/07/2017 03:00,127.53
08/07/2017 03:15,126.99
08/07/2017 03:30,127.53
08/07/2017 03:45,126.27
08/07/2017 04:00,111.87
08/07/2017 04:15,99.0
08/07/2017 04:30,99.54
08/07/2017 04:45,103.23
08/07/2017 05:00,101.7
08/07/2017 05:15,101.97
08/07/2017 05:30,115.56
08/07/2017 05:45,116.01
08/07/2017 06:00,133.29
08/07/2017 06:15,136.35
08/07/2017 06:30,129.6
08/07/2017 06:45,131.58
08/07/2017 07:00,152.46
08/07/2017 07:15,154.35
08/07/2017 07:30,141.3
08/07/2017 07:45,125.64
08/07/2017 08:00,122.4
08/07/2017 08:15,120.51
08/07/2017 08:30,132.84
08/07/2017 08:45,142.74
08/07/2017 09:00,149.49
08/07/2017 09:15,147.87
08/07/2017 09:30,152.91
08/07/2017 09:45,158.4
08/07/2017 10:00,158.67
08/07/2017 10:15,169.38
08/07/2017 10:30,172.98
08/07/2017 10:45,168.93
08/07/2017 11:00,166.77
08/07/2017 11:15,170.1
08/07/2017 11:30,169.74
08/07/2017 11:45,164.07
08/07/2017 12:00,162.09
08/07/2017 12:15,144.72
08/07/2017 12:30,137.61
08/07/2017 12:45,148.86
08/07/2017 13:00,148.59
08/07/2017 13:15,145.08
08/07/2017 13:30,148.95
08/07/2017 13:45,151.38
08/07/2017 14:00,151.2
08/07/2017 14:15,154.98
08/07/2017 14:30,172.08
08/07/2017 14:45,177.66
08/07/2017 15:00,186.21
08/07/2017 15:15,186.93
08/07/2017 15:30,190.44
08/07/2017 15:45,190.62
08/07/2017 16:00,168.84
08/07/2017 16:15,168.12
08/07/2017 16:30,164.79
08/07/2017 16:45,154.17
08/07/2017 17:00,152.73
08/07/2017 17:15,164.7
08/07/2017 17:30,163.53
08/07/2017 17:45,162.54
08/07/2017 18:00,158.22
08/07/2017 18:15,156.33
08/07/2017 18:30,150.93
08/07/2017 18:45,146.97
08/07/2017 19:00,146.88
08/07/2017 19:15,139.32
08/07/2017 19:30,142.74
08/07/2017 19:45,155.79
08/07/2017 20:00,152.46
08/07/2017 20:15,151.56
08/07/2017 20:30,151.47
08/07/2017 20:45,148.95
08/07/2017 21:00,147.87
08/07/2017 21:15,146.88
08/07/2017 21:30,138.33
08/07/2017 21:45,131.58
08/07/2017 22:00,129.87
08/07/2017 22:15,129.42
08/07/2017 22:30,127.89
08/07/2017 22:45,125.46
08/07/2017 23:00,125.46
08/07/2017 23:15,125.19
08/07/2017 23:30,125.73
08/07/2017 23:45,125.37
08/07/2017 00:00,125.01
08/08/2017 00:15,131.31
08/08/2017 00:30,142.56
08/08/2017 00:45,140.58
08/08/2017 01:00,139.95
08/08/2017 01:15,141.48
08/08/2017 01:30,142.74
08/08/2017 01:45,142.83
08/08/2017 02:00,141.3
08/08/2017 02:15,133.38
08/08/2017 02:30,133.38
08/08/2017 02:45,122.49
08/08/2017 03:00,115.56
08/08/2017 03:15,115.65
08/08/2017 03:30,115.2
08/08/2017 03:45,110.79
08/08/2017 04:00,103.23
08/08/2017 04:15,102.78
08/08/2017 04:30,103.68
08/08/2017 04:45,106.29
08/08/2017 05:00,109.8
08/08/2017 05:15,118.89
08/08/2017 05:30,117.99
08/08/2017 05:45,116.82
08/08/2017 06:00,115.74
08/08/2017 06:15,124.56
08/08/2017 06:30,138.51
08/08/2017 06:45,149.94
08/08/2017 07:00,139.32
08/08/2017 07:15,138.24
08/08/2017 07:30,133.38
08/08/2017 07:45,138.33
08/08/2017 08:00,135.0
08/08/2017 08:15,135.99
08/08/2017 08:30,149.31
08/08/2017 08:45,161.01
08/08/2017 09:00,154.8
08/08/2017 09:15,155.61
08/08/2017 09:30,156.96
08/08/2017 09:45,171.81
08/08/2017 10:00,170.28
08/08/2017 10:15,171.36
08/08/2017 10:30,170.19
08/08/2017 10:45,173.52
08/08/2017 11:00,175.23
08/08/2017 11:15,173.43
08/08/2017 11:30,173.07
