Time,Power
08/07/2017 00:15,14.8
08/07/2017 00:30,14.36
08/07/2017 00:45,15.55
08/07/2017 01:00,14.76
08/07/2017 01:15,15.08
08/07/2017 01:30,15.3
08/07/2017 01:45,16.49
08/07/2017 02:00,22.72
08/07/2017 02:15,15.44
08/07/2017 02:30,14.98
08/07/2017 02:45,14.8
08/07/2017 03:00,15.19
08/07/2017 03:15,15.19
08/07/2017 03:30,15.08
08/07/2017 03:45,14.54
08/07/2017 04:00,15.37
08/07/2017 04:15,15.05
08/07/2017 04:30,14.94
08/07/2017 04:45,14.94
08/07/2017 05:00,15.55
08/07/2017 05:15,15.59
08/07/2017 05:30,14.54
08/07/2017 05:45,15.01
08/07/2017 06:00,16.02
08/07/2017 06:15,16.16
08/07/2017 06:30,16.67
08/07/2017 06:45,16.81
08/07/2017 07:00,17.28
08/07/2017 07:15,18.94
08/07/2017 07:30,19.84
08/07/2017 07:45,26.32
08/07/2017 08:00,28.87
08/07/2017 08:15,29.59
08/07/2017 08:30,32.47
08/07/2017 08:45,38.02
08/07/2017 09:00,42.44
08/07/2017 09:15,42.88
08/07/2017 09:30,45.04
08/07/2017 09:45,58.0
08/07/2017 10:00,48.31
08/07/2017 10:15,44.57
08/07/2017 10:30,47.99
08/07/2017 10:45,47.77
08/07/2017 11:00,49.07
08/07/2017 11:15,48.71
08/07/2017 11:30,45.61
08/07/2017 11:45,43.96
08/07/2017 12:00,45.18
08/07/2017 12:15,43.78
08/07/2017 12:30,43.09
08/07/2017 12:45,41.69
08/07/2017 13:00,38.95
08/07/2017 13:15,43.56
08/07/2017 13:30,45.68
08/07/2017 13:45,51.34
08/07/2017 14:00,46.94
08/07/2017 14:15,44.32
08/07/2017 14:30,42.84
08/07/2017 14:45,44.42
08/07/2017 15:00,45.22
08/07/2017 15:15,43.81
08/07/2017 15:30,44.03
08/07/2017 15:45,42.98
08/07/2017 16:00,42.44
08/07/2017 16:15,41.69
08/07/2017 16:30,42.62
08/07/2017 16:45,41.26
08/07/2017 17:00,39.67
08/07/2017 17:15,39.64
08/07/2017 17:30,39.2
08/07/2017 17:45,39.2
08/07/2017 18:00,40.25
08/07/2017 18:15,35.82
08/07/2017 18:30,28.15
08/07/2017 18:45,38.02
08/07/2017 19:00,33.77
08/07/2017 19:15,30.49
08/07/2017 19:30,28.55
08/07/2017 19:45,27.04
08/07/2017 20:00,26.28
08/07/2017 20:15,26.06
08/07/2017 20:30,24.3
08/07/2017 20:45,24.01
08/07/2017 21:00,22.75
08/07/2017 21:15,20.34
08/07/2017 21:30,19.33
08/07/2017 21:45,18.32
08/07/2017 22:00,17.53
08/07/2017 22:15,17.32
08/07/2017 22:30,16.96
08/07/2017 22:45,16.63
08/07/2017 23:00,15.44
08/07/2017 23:15,15.12
08/07/2017 23:30,15.23
08/07/2017 23:45,15.26
08/07/2017 00:00,15.05
08/08/2017 00:15,14.8
08/08/2017 00:30,15.44
08/08/2017 00:45,14.54
08/08/2017 01:00,14.47
08/08/2017 01:15,14.87
08/08/2017 01:30,14.47
08/08/2017 01:45,15.12
08/08/2017 02:00,15.66
08/08/2017 02:15,15.05
08/08/2017 02:30,14.54
08/08/2017 02:45,14.65
08/08/2017 03:00,14.98
08/08/2017 03:15,14.9
08/08/2017 03:30,15.23
08/08/2017 03:45,14.83
08/08/2017 04:00,14.76
08/08/2017 04:15,15.01
08/08/2017 04:30,14.58
08/08/2017 04:45,15.05
08/08/2017 05:00,15.66
08/08/2017 05:15,15.05
08/08/2017 05:30,15.26
08/08/2017 05:45,14.9
08/08/2017 06:00,15.23
08/08/2017 06:15,15.08
08/08/2017 06:30,16.24
08/08/2017 06:45,16.27
08/08/2017 07:00,17.46
08/08/2017 07:15,18.83
08/08/2017 07:30,20.77
08/08/2017 07:45,26.96
08/08/2017 08:00,29.27
08/08/2017 08:15,30.78
08/08/2017 08:30,32.65
08/08/2017 08:45,35.96
08/08/2017 09:00,35.71
08/08/2017 09:15,42.3
08/08/2017 09:30,45.07
08/08/2017 09:45,45.11
08/08/2017 10:00,44.14
08/08/2017 10:15,49.5
08/08/2017 10:30,51.12
08/08/2017 10:45,48.46
08/08/2017 11:00,44.53
08/08/2017 11:15,45.5
08/08/2017 11:30,46.48
08/08/2017 11:45,45.18
08/08/2017 12:00,45.76
08/08/2017 12:15,45.18
08/08/2017 12:30,43.6
08/08/2017 12:45,40.64
08/08/2017 13:00,38.84
08/08/2017 13:15,41.58
08/08/2017 13:30,45.61
08/08/2017 13:45,48.38
08/08/2017 14:00,46.08
08/08/2017 14:15,44.64
08/08/2017 14:30,46.37
08/08/2017 14:45,45.86
08/08/2017 15:00,44.71
08/08/2017 15:15,42.98
08/08/2017 15:30,50.87
08/08/2017 15:45,53.17
08/08/2017 16:00,51.98
08/08/2017 16:15,46.48
08/08/2017 16:30,46.12
08/08/2017 16:45,43.78
08/08/2017 17:00,51.59
08/08/2017 17:15,43.56
08/08/2017 17:30,37.37
08/08/2017 17:45,35.93
08/08/2017 18:00,33.91
08/08/2017 18:15,28.33
08/08/2017 18:30,27.68
08/08/2017 18:45,24.66
08/08/2017 19:00,32.76
08/08/2017 19:15,34.02
08/08/2017 19:30,23.08
08/08/2017 19:45,24.26
08/08/2017 20:00,34.49
08/08/2017 20:15,26.53
08/08/2017 20:30,32.72
08/08/2017 20:45,24.52
08/08/2017 21:00,22.5
08/08/2017 21:15,21.56
08/08/2017 21:30,20.56
08/08/2017 21:45,19.37
08/08/2017 22:00,17.82
08/08/2017 22:15,16.42
08/08/2017 22:30,15.37
08/08/2017 22:45,15.44
08/08/2017 23:00,15.48
08/08/2017 23:15,15.12
08/08/2017 23:30,15.08
08/08/2017 23:45,14.8
08/08/2017 00:00,14.9
08/09/2017 00:15,14.76
08/09/2017 00:30,14.62
08/09/2017 00:45,14.72
08/09/2017 01:00,15.37
08/09/2017 01:15,14.83
08/09/2017 01:30,14.51
08/09/2017 01:45,14.8
08/09/2017 02:00,14.9
08/09/2017 02:15,14.44
08/09/2017 02:30,14.26
08/09/2017 02:45,15.05
08/09/2017 03:00,14.76
08/09/2017 03:15,14.72
08/09/2017 03:30,14.62
08/09/2017 03:45,15.05
08/09/2017 04:00,14.62
08/09/2017 04:15,14.94
08/09/2017 04:30,14.94
08/09/2017 04:45,15.16
08/09/2017 05:00,14.83
08/09/2017 05:15,14.9
08/09/2017 05:30,15.41
