Time,Power
08/07/2017 00:15,3.33
08/07/2017 00:30,3.11
08/07/2017 00:45,3.33
08/07/2017 01:00,3.64
08/07/2017 01:15,3.49
08/07/2017 01:30,3.49
08/07/2017 01:45,3.38
08/07/2017 02:00,3.26
08/07/2017 02:15,3.51
08/07/2017 02:30,3.06
08/07/2017 02:45,3.22
08/07/2017 03:00,3.49
08/07/2017 03:15,3.06
08/07/2017 03:30,3.29
08/07/2017 03:45,3.31
08/07/2017 04:00,2.95
08/07/2017 04:15,3.26
08/07/2017 04:30,3.46
08/07/2017 04:45,3.28
08/07/2017 05:00,3.37
08/07/2017 05:15,3.42
08/07/2017 05:30,3.17
08/07/2017 05:45,3.6
08/07/2017 06:00,3.42
08/07/2017 06:15,3.04
08/07/2017 06:30,3.8
08/07/2017 06:45,4.21
08/07/2017 07:00,4.01
08/07/2017 07:15,4.01
08/07/2017 07:30,5.44
08/07/2017 07:45,5.78
08/07/2017 08:00,6.37
08/07/2017 08:15,6.59
08/07/2017 08:30,7.58
08/07/2017 08:45,9.49
08/07/2017 09:00,12.38
08/07/2017 09:15,10.78
08/07/2017 09:30,10.69
08/07/2017 09:45,10.66
08/07/2017 10:00,10.39
08/07/2017 10:15,10.98
08/07/2017 10:30,11.52
08/07/2017 10:45,11.52
08/07/2017 11:00,13.52
08/07/2017 11:15,12.85
08/07/2017 11:30,13.27
08/07/2017 11:45,13.5
08/07/2017 12:00,12.91
08/07/2017 12:15,12.31
08/07/2017 12:30,12.94
08/07/2017 12:45,11.45
08/07/2017 13:00,12.04
08/07/2017 13:15,13.34
08/07/2017 13:30,12.31
08/07/2017 13:45,12.89
08/07/2017 14:00,12.58
08/07/2017 14:15,12.69
08/07/2017 14:30,12.62
08/07/2017 14:45,12.87
08/07/2017 15:00,12.85
08/07/2017 15:15,12.04
08/07/2017 15:30,12.6
08/07/2017 15:45,12.08
08/07/2017 16:00,11.54
08/07/2017 16:15,11.61
08/07/2017 16:30,11.57
08/07/2017 16:45,11.21
08/07/2017 17:00,11.18
08/07/2017 17:15,11.59
08/07/2017 17:30,10.8
08/07/2017 17:45,10.06
08/07/2017 18:00,9.32
08/07/2017 18:15,7.02
08/07/2017 18:30,4.99
08/07/2017 18:45,4.93
08/07/2017 19:00,5.29
08/07/2017 19:15,6.19
08/07/2017 19:30,6.84
08/07/2017 19:45,5.81
08/07/2017 20:00,4.84
08/07/2017 20:15,4.55
08/07/2017 20:30,4.52
08/07/2017 20:45,4.19
08/07/2017 21:00,4.1
08/07/2017 21:15,3.51
08/07/2017 21:30,3.56
08/07/2017 21:45,3.91
08/07/2017 22:00,3.46
08/07/2017 22:15,3.67
08/07/2017 22:30,3.33
08/07/2017 22:45,3.28
08/07/2017 23:00,3.56
08/07/2017 23:15,3.35
08/07/2017 23:30,3.33
08/07/2017 23:45,3.51
08/07/2017 00:00,3.33
08/08/2017 00:15,3.47
08/08/2017 00:30,3.6
08/08/2017 00:45,3.19
08/08/2017 01:00,3.4
08/08/2017 01:15,3.6
08/08/2017 01:30,3.37
08/08/2017 01:45,3.74
08/08/2017 02:00,3.51
08/08/2017 02:15,3.24
08/08/2017 02:30,3.28
08/08/2017 02:45,3.53
08/08/2017 03:00,3.55
08/08/2017 03:15,3.62
08/08/2017 03:30,3.55
08/08/2017 03:45,3.24
08/08/2017 04:00,3.24
08/08/2017 04:15,3.56
08/08/2017 04:30,3.38
08/08/2017 04:45,3.29
08/08/2017 05:00,3.04
08/08/2017 05:15,3.37
08/08/2017 05:30,3.37
08/08/2017 05:45,3.62
08/08/2017 06:00,3.78
08/08/2017 06:15,3.22
08/08/2017 06:30,3.64
08/08/2017 06:45,3.94
08/08/2017 07:00,3.69
08/08/2017 07:15,3.87
08/08/2017 07:30,4.34
08/08/2017 07:45,4.25
08/08/2017 08:00,4.97
08/08/2017 08:15,5.11
08/08/2017 08:30,5.58
08/08/2017 08:45,7.61
08/08/2017 09:00,11.52
08/08/2017 09:15,10.19
08/08/2017 09:30,8.98
08/08/2017 09:45,8.84
08/08/2017 10:00,9.13
08/08/2017 10:15,9.45
08/08/2017 10:30,9.36
08/08/2017 10:45,10.26
08/08/2017 11:00,9.58
08/08/2017 11:15,9.61
08/08/2017 11:30,9.76
08/08/2017 11:45,10.53
08/08/2017 12:00,10.75
08/08/2017 12:15,9.22
08/08/2017 12:30,9.4
08/08/2017 12:45,9.02
08/08/2017 13:00,9.25
08/08/2017 13:15,11.29
08/08/2017 13:30,10.49
08/08/2017 13:45,10.21
08/08/2017 14:00,9.92
08/08/2017 14:15,9.74
08/08/2017 14:30,9.58
08/08/2017 14:45,9.92
08/08/2017 15:00,9.94
08/08/2017 15:15,9.88
08/08/2017 15:30,9.47
08/08/2017 15:45,9.47
08/08/2017 16:00,10.21
08/08/2017 16:15,9.72
08/08/2017 16:30,9.29
08/08/2017 16:45,9.0
08/08/2017 17:00,9.29
08/08/2017 17:15,9.54
08/08/2017 17:30,8.62
08/08/2017 17:45,8.73
08/08/2017 18:00,8.37
08/08/2017 18:15,6.57
08/08/2017 18:30,4.99
08/08/2017 18:45,5.24
08/08/2017 19:00,5.04
08/08/2017 19:15,5.2
08/08/2017 19:30,4.99
08/08/2017 19:45,4.72
08/08/2017 20:00,5.02
08/08/2017 20:15,4.93
08/08/2017 20:30,4.25
08/08/2017 20:45,4.28
08/08/2017 21:00,4.59
08/08/2017 21:15,3.53
08/08/2017 21:30,3.51
08/08/2017 21:45,3.8
08/08/2017 22:00,3.37
08/08/2017 22:15,3.37
08/08/2017 22:30,3.44
08/08/2017 22:45,3.31
08/08/2017 23:00,3.46
08/08/2017 23:15,3.44
08/08/2017 23:30,3.06
08/08/2017 23:45,3.37
08/08/2017 00:00,3.47
08/09/2017 00:15,3.2
08/09/2017 00:30,3.42
08/09/2017 00:45,3.38
08/09/2017 01:00,3.22
08/09/2017 01:15,3.51
08/09/2017 01:30,3.49
08/09/2017 01:45,3.24
08/09/2017 02:00,3.85
08/09/2017 02:15,3.37
08/09/2017 02:30,3.24
08/09/2017 02:45,3.51
08/09/2017 03:00,3.24
08/09/2017 03:15,3.19
08/09/2017 03:30,3.22
08/09/2017 03:45,3.55
08/09/2017 04:00,3.33
08/09/2017 04:15,3.11
08/09/2017 04:30,3.2
08/09/2017 04:45,2.92
08/09/2017 05:00,3.06
08/09/2017 05:15,3.31
08/09/2017 05:30,3.13
08/09/2017 05:45,3.4
08/09/2017 06:00,3.53
08/09/2017 06:15,2.99
08/09/2017 06:30,3.46
08/09/2017 06:45,3.74
08/09/2017 07:00,3.6
08/09/2017 07:15,4.18
08/09/2017 07:30,5.78
08/09/2017 07:45,5.4
08/09/2017 08:00,5.99
08/09/2017 08:15,9.49
08/09/2017 08:30,9.49
08/09/2017 08:45,10.01
08/09/2017 09:00,11.14
08/09/2017 09:15,10.55
08/09/2017 09:30,10.93
08/09/2017 09:45,10.42
08/09/2017 10:00,10.49
08/09/2017 10:15,10.44
08/09/2017 10:30,10.93
08/09/2017 10:45,10.55
08/09/2017 11:00,9.95
08/09/2017 11:15,10.13
08/09/2017 11:30,9.56
08/09/2017 11:45,11.34
08/09/2017 12:00,10.39
08/09/2017 12:15,9.68
08/09/2017 12:30,9.31
08/09/2017 12:45,9.02
08/09/2017 13:00,9.16
08/09/2017 13:15,10.06
08/09/2017 13:30,9.79
08/09/2017 13:45,9.54
08/09/2017 14:00,9.23
08/09/2017 14:15,9.05
08/09/2017 14:30,9.36
08/09/2017 14:45,9.04
08/09/2017 15:00,9.27
08/09/2017 15:15,9.29
08/09/2017 15:30,8.95
08/09/2017 15:45,9.04
08/09/2017 16:00,9.49
08/09/2017 16:15,9.14
08/09/2017 16:30,9.02
08/09/2017 16:45,9.22
08/09/2017 17:00,9.68
08/09/2017 17:15,9.25
08/09/2017 17:30,8.84
08/09/2017 17:45,8.66
08/09/2017 18:00,8.44
08/09/2017 18:15,7.02
08/09/2017 18:30,5.04
08/09/2017 18:45,4.39
08/09/2017 19:00,4.57
08/09/2017 19:15,4.43
08/09/2017 19:30,4.18
08/09/2017 19:45,3.85
08/09/2017 20:00,4.09
08/09/2017 20:15,5.67
08/09/2017 20:30,3.94
08/09/2017 20:45,3.47
08/09/2017 21:00,3.6
08/09/2017 21:15,3.73
08/09/2017 21:30,3.42
08/09/2017 21:45,3.51
08/09/2017 22:00,3.53
08/09/2017 22:15,3.35
08/09/2017 22:30,3.73
08/09/2017 22:45,3.24
08/09/2017 23:00,3.33
08/09/2017 23:15,3.28
08/09/2017 23:30,3.28
08/09/2017 23:45,3.28
08/09/2017 00:00,3.4
08/10/2017 00:15,3.42
08/10/2017 00:30,3.29
08/10/2017 00:45,3.33
08/10/2017 01:00,3.26
08/10/2017 01:15,3.13
08/10/2017 01:30,3.6
08/10/2017 01:45,3.31
08/10/2017 02:00,3.33
08/10/2017 02:15,3.44
08/10/2017 02:30,3.22
08/10/2017 02:45,3.26
08/10/2017 03:00,3.62
08/10/2017 03:15,3.26
08/10/2017 03:30,3.13
08/10/2017 03:45,3.35
08/10/2017 04:00,3.6
08/10/2017 04:15,3.2
08/10/2017 04:30,3.42
08/10/2017 04:45,3.15
08/10/2017 05:00,3.58
08/10/2017 05:15,3.38
08/10/2017 05:30,3.31
08/10/2017 05:45,3.28
08/10/2017 06:00,3.4
08/10/2017 06:15,3.37
08/10/2017 06:30,3.26
08/10/2017 06:45,3.44
08/10/2017 07:00,3.74
08/10/2017 07:15,3.65
08/10/2017 07:30,3.91
08/10/2017 07:45,5.67
08/10/2017 08:00,5.65
08/10/2017 08:15,8.73
08/10/2017 08:30,9.38
08/10/2017 08:45,9.9
08/10/2017 09:00,10.24
08/10/2017 09:15,10.75
08/10/2017 09:30,9.92
08/10/2017 09:45,11.39
08/10/2017 10:00,9.85
08/10/2017 10:15,9.97
08/10/2017 10:30,10.71
08/10/2017 10:45,10.73
08/10/2017 11:00,10.13
08/10/2017 11:15,9.99
08/10/2017 11:30,10.46
08/10/2017 11:45,10.58
08/10/2017 12:00,10.4
08/10/2017 12:15,9.02
08/10/2017 12:30,8.86
08/10/2017 12:45,8.93
08/10/2017 13:00,8.98
08/10/2017 13:15,10.84
08/10/2017 13:30,9.67
08/10/2017 13:45,9.94
08/10/2017 14:00,9.76
08/10/2017 14:15,9.68
08/10/2017 14:30,10.08
08/10/2017 14:45,9.29
08/10/2017 15:00,8.93
08/10/2017 15:15,8.69
08/10/2017 15:30,8.66
08/10/2017 15:45,8.91
08/10/2017 16:00,9.4
08/10/2017 16:15,8.37
08/10/2017 16:30,8.64
08/10/2017 16:45,8.26
08/10/2017 17:00,8.37
08/10/2017 17:15,8.35
08/10/2017 17:30,7.88
08/10/2017 17:45,8.35
08/10/2017 18:00,8.19
08/10/2017 18:15,6.53
08/10/2017 18:30,6.17
08/10/2017 18:45,5.44
08/10/2017 19:00,4.73
08/10/2017 19:15,4.68
08/10/2017 19:30,4.59
08/10/2017 19:45,4.73
08/10/2017 20:00,4.54
08/10/2017 20:15,4.12
08/10/2017 20:30,4.0
08/10/2017 20:45,3.15
08/10/2017 21:00,3.29
08/10/2017 21:15,3.58
08/10/2017 21:30,3.2
08/10/2017 21:45,3.51
08/10/2017 22:00,3.6
08/10/2017 22:15,3.35
08/10/2017 22:30,3.33
08/10/2017 22:45,3.42
08/10/2017 23:00,3.17
08/10/2017 23:15,3.29
08/10/2017 23:30,3.49
08/10/2017 23:45,3.15
08/10/2017 00:00,3.2
08/11/2017 00:15,3.42
08/11/2017 00:30,3.55
08/11/2017 00:45,3.19
08/11/2017 01:00,3.69
08/11/2017 01:15,3.1
08/11/2017 01:30,3.29
08/11/2017 01:45,3.37
08/11/2017 02:00,3.17
