Time,Power
08/07/2017 00:15,3.32
08/07/2017 00:30,3.31
08/07/2017 00:45,3.32
08/07/2017 01:00,4.22
08/07/2017 01:15,4.48
08/07/2017 01:30,3.29
08/07/2017 01:45,3.18
08/07/2017 02:00,3.35
08/07/2017 02:15,4.25
08/07/2017 02:30,3.29
08/07/2017 02:45,3.59
08/07/2017 03:00,3.8
08/07/2017 03:15,3.26
08/07/2017 03:30,4.22
08/07/2017 03:45,3.18
08/07/2017 04:00,4.25
08/07/2017 04:15,3.28
08/07/2017 04:30,3.66
08/07/2017 04:45,3.7
08/07/2017 05:00,3.4
08/07/2017 05:15,4.03
08/07/2017 05:30,3.2
08/07/2017 05:45,4.3
08/07/2017 06:00,3.26
08/07/2017 06:15,3.29
08/07/2017 06:30,4.2
08/07/2017 06:45,3.37
08/07/2017 07:00,4.1
08/07/2017 07:15,3.38
08/07/2017 07:30,3.62
08/07/2017 07:45,4.31
08/07/2017 08:00,4.43
08/07/2017 08:15,7.1
08/07/2017 08:30,6.35
08/07/2017 08:45,10.09
08/07/2017 09:00,10.55
08/07/2017 09:15,13.32
08/07/2017 09:30,14.15
08/07/2017 09:45,15.9
08/07/2017 10:00,14.16
08/07/2017 10:15,13.25
08/07/2017 10:30,14.03
08/07/2017 10:45,14.06
08/07/2017 11:00,16.14
08/07/2017 11:15,14.5
08/07/2017 11:30,16.6
08/07/2017 11:45,15.67
08/07/2017 12:00,16.25
08/07/2017 12:15,14.12
08/07/2017 12:30,14.9
08/07/2017 12:45,13.94
08/07/2017 13:00,16.19
08/07/2017 13:15,14.8
08/07/2017 13:30,17.34
08/07/2017 13:45,15.76
08/07/2017 14:00,17.51
08/07/2017 14:15,16.54
08/07/2017 14:30,14.96
08/07/2017 14:45,17.08
08/07/2017 15:00,17.33
08/07/2017 15:15,16.69
08/07/2017 15:30,17.1
08/07/2017 15:45,14.45
08/07/2017 16:00,16.56
08/07/2017 16:15,16.52
08/07/2017 16:30,14.82
08/07/2017 16:45,12.86
08/07/2017 17:00,11.15
08/07/2017 17:15,10.6
08/07/2017 17:30,9.34
08/07/2017 17:45,11.03
08/07/2017 18:00,9.58
08/07/2017 18:15,7.78
08/07/2017 18:30,7.52
08/07/2017 18:45,6.78
08/07/2017 19:00,8.72
08/07/2017 19:15,6.42
08/07/2017 19:30,6.55
08/07/2017 19:45,6.44
08/07/2017 20:00,7.24
08/07/2017 20:15,7.03
08/07/2017 20:30,6.68
08/07/2017 20:45,5.92
08/07/2017 21:00,6.36
08/07/2017 21:15,7.43
08/07/2017 21:30,3.86
08/07/2017 21:45,3.7
08/07/2017 22:00,3.36
08/07/2017 22:15,3.96
08/07/2017 22:30,4.63
08/07/2017 22:45,3.46
08/07/2017 23:00,3.3
08/07/2017 23:15,3.28
08/07/2017 23:30,3.7
08/07/2017 23:45,4.64
08/07/2017 00:00,3.25
08/08/2017 00:15,3.35
08/08/2017 00:30,3.44
08/08/2017 00:45,4.31
08/08/2017 01:00,4.43
08/08/2017 01:15,3.22
08/08/2017 01:30,3.41
08/08/2017 01:45,3.22
08/08/2017 02:00,4.3
08/08/2017 02:15,3.72
08/08/2017 02:30,3.3
08/08/2017 02:45,3.23
08/08/2017 03:00,4.5
08/08/2017 03:15,3.41
08/08/2017 03:30,3.77
08/08/2017 03:45,3.67
08/08/2017 04:00,3.26
08/08/2017 04:15,4.09
08/08/2017 04:30,3.28
08/08/2017 04:45,4.25
08/08/2017 05:00,3.2
08/08/2017 05:15,4.22
08/08/2017 05:30,3.29
08/08/2017 05:45,3.64
08/08/2017 06:00,3.98
08/08/2017 06:15,3.36
08/08/2017 06:30,4.2
08/08/2017 06:45,3.54
08/08/2017 07:00,4.26
08/08/2017 07:15,3.96
08/08/2017 07:30,3.66
08/08/2017 07:45,4.72
08/08/2017 08:00,5.12
08/08/2017 08:15,7.87
08/08/2017 08:30,9.38
08/08/2017 08:45,11.6
08/08/2017 09:00,9.2
08/08/2017 09:15,10.84
08/08/2017 09:30,9.24
08/08/2017 09:45,9.43
08/08/2017 10:00,9.38
08/08/2017 10:15,10.69
08/08/2017 10:30,10.42
08/08/2017 10:45,12.31
08/08/2017 11:00,11.03
08/08/2017 11:15,11.9
08/08/2017 11:30,10.97
08/08/2017 11:45,11.44
08/08/2017 12:00,10.09
08/08/2017 12:15,11.75
08/08/2017 12:30,11.14
08/08/2017 12:45,14.59
08/08/2017 13:00,15.2
08/08/2017 13:15,16.62
08/08/2017 13:30,15.84
08/08/2017 13:45,15.34
08/08/2017 14:00,16.01
08/08/2017 14:15,17.39
08/08/2017 14:30,16.03
08/08/2017 14:45,16.42
08/08/2017 15:00,15.49
08/08/2017 15:15,15.58
08/08/2017 15:30,13.91
08/08/2017 15:45,14.32
08/08/2017 16:00,13.82
08/08/2017 16:15,14.02
08/08/2017 16:30,11.29
08/08/2017 16:45,11.54
08/08/2017 17:00,10.7
08/08/2017 17:15,9.25
08/08/2017 17:30,8.42
