Time,Power
08/07/2017 00:15,2.74
08/07/2017 00:30,2.74
08/07/2017 00:45,2.74
08/07/2017 01:00,2.71
08/07/2017 01:15,2.69
08/07/2017 01:30,2.88
08/07/2017 01:45,2.81
08/07/2017 02:00,2.83
08/07/2017 02:15,2.78
08/07/2017 02:30,2.66
08/07/2017 02:45,2.64
08/07/2017 03:00,2.71
08/07/2017 03:15,2.71
08/07/2017 03:30,2.83
08/07/2017 03:45,2.83
08/07/2017 04:00,2.74
08/07/2017 04:15,2.76
08/07/2017 04:30,2.69
08/07/2017 04:45,2.83
08/07/2017 05:00,2.78
08/07/2017 05:15,2.62
08/07/2017 05:30,2.66
08/07/2017 05:45,2.23
08/07/2017 06:00,2.28
08/07/2017 06:15,2.4
08/07/2017 06:30,2.5
08/07/2017 06:45,2.52
08/07/2017 07:00,10.13
08/07/2017 07:15,18.14
08/07/2017 07:30,18.41
08/07/2017 07:45,15.36
08/07/2017 08:00,6.65
08/07/2017 08:15,9.98
08/07/2017 08:30,16.75
08/07/2017 08:45,14.98
08/07/2017 09:00,16.01
08/07/2017 09:15,12.91
08/07/2017 09:30,5.81
08/07/2017 09:45,14.57
08/07/2017 10:00,13.54
08/07/2017 10:15,17.16
08/07/2017 10:30,18.14
08/07/2017 10:45,10.66
08/07/2017 11:00,9.55
08/07/2017 11:15,14.95
08/07/2017 11:30,12.72
08/07/2017 11:45,7.8
08/07/2017 12:00,15.53
08/07/2017 12:15,14.02
08/07/2017 12:30,4.13
08/07/2017 12:45,15.22
08/07/2017 13:00,14.38
08/07/2017 13:15,12.86
08/07/2017 13:30,14.23
08/07/2017 13:45,12.77
08/07/2017 14:00,4.03
08/07/2017 14:15,14.35
08/07/2017 14:30,14.57
08/07/2017 14:45,12.86
08/07/2017 15:00,14.98
08/07/2017 15:15,15.26
08/07/2017 15:30,5.09
08/07/2017 15:45,14.5
08/07/2017 16:00,15.7
08/07/2017 16:15,15.79
08/07/2017 16:30,16.34
08/07/2017 16:45,16.3
08/07/2017 17:00,8.02
08/07/2017 17:15,1.25
08/07/2017 17:30,1.61
08/07/2017 17:45,1.7
08/07/2017 18:00,2.02
08/07/2017 18:15,2.02
08/07/2017 18:30,2.14
08/07/2017 18:45,2.18
08/07/2017 19:00,2.54
08/07/2017 19:15,2.74
08/07/2017 19:30,2.71
08/07/2017 19:45,2.81
08/07/2017 20:00,2.81
08/07/2017 20:15,2.95
