Time,Power
08/27/2017 16:00,1.07
08/27/2017 16:15,1.21
08/27/2017 16:30,1.36
08/27/2017 16:45,1.38
08/27/2017 17:00,1.34
08/27/2017 17:15,1.51
08/27/2017 17:30,1.4
08/27/2017 17:45,1.49
08/27/2017 18:00,1.49
08/27/2017 18:15,1.46
08/27/2017 18:30,1.54
08/27/2017 18:45,1.5
08/27/2017 19:00,1.58
08/27/2017 19:15,1.52
08/27/2017 19:30,1.57
08/27/2017 19:45,1.58
08/27/2017 20:00,1.78
08/27/2017 20:15,1.76
08/27/2017 20:30,1.8
08/27/2017 20:45,1.85
08/27/2017 21:00,1.81
08/27/2017 21:15,1.82
08/27/2017 21:30,1.81
08/27/2017 21:45,1.79
08/27/2017 22:00,1.84
08/27/2017 22:15,1.8
08/27/2017 22:30,1.81
08/27/2017 22:45,1.78
08/27/2017 23:00,1.82
08/27/2017 23:15,1.78
08/27/2017 23:30,1.79
08/27/2017 23:45,1.82
08/27/2017 00:00,2.14
08/28/2017 00:15,2.04
08/28/2017 00:30,1.64
08/28/2017 00:45,1.54
08/28/2017 01:00,1.55
08/28/2017 01:15,1.48
08/28/2017 01:30,1.52
08/28/2017 01:45,1.52
08/28/2017 02:00,1.54
08/28/2017 02:15,1.54
08/28/2017 02:30,1.52
08/28/2017 02:45,1.57
08/28/2017 03:00,1.58
08/28/2017 03:15,1.51
08/28/2017 03:30,1.54
08/28/2017 03:45,1.5
08/28/2017 04:00,1.54
08/28/2017 04:15,1.51
08/28/2017 04:30,1.54
08/28/2017 04:45,1.52
08/28/2017 05:00,1.51
08/28/2017 05:15,1.56
08/28/2017 05:30,1.46
08/28/2017 05:45,1.52
08/28/2017 06:00,1.46
08/28/2017 06:15,1.54
08/28/2017 06:30,1.49
08/28/2017 06:45,1.5
08/28/2017 07:00,1.4
08/28/2017 07:15,1.08
08/28/2017 07:30,1.56
08/28/2017 07:45,1.66
08/28/2017 08:00,2.1
08/28/2017 08:15,2.69
08/28/2017 08:30,2.86
08/28/2017 08:45,5.04
08/28/2017 09:00,4.4
08/28/2017 09:15,3.62
08/28/2017 09:30,3.02
08/28/2017 09:45,3.62
08/28/2017 10:00,3.49
08/28/2017 10:15,3.8
08/28/2017 10:30,3.02
08/28/2017 10:45,2.05
08/28/2017 11:00,5.82
08/28/2017 11:15,7.8
08/28/2017 11:30,6.32
08/28/2017 11:45,6.02
08/28/2017 12:00,5.71
08/28/2017 12:15,6.17
08/28/2017 12:30,6.35
08/28/2017 12:45,7.55
08/28/2017 13:00,7.81
08/28/2017 13:15,7.63
08/28/2017 13:30,6.98
08/28/2017 13:45,6.62
08/28/2017 14:00,10.18
08/28/2017 14:15,11.74
08/28/2017 14:30,11.15
08/28/2017 14:45,11.58
08/28/2017 15:00,11.41
08/28/2017 15:15,11.56
08/28/2017 15:30,11.08
08/28/2017 15:45,11.16
08/28/2017 16:00,9.1
08/28/2017 16:15,7.14
08/28/2017 16:30,6.55
08/28/2017 16:45,5.83
08/28/2017 17:00,5.98
08/28/2017 17:15,6.1
08/28/2017 17:30,5.8
08/28/2017 17:45,5.81
08/28/2017 18:00,4.22
08/28/2017 18:15,2.16
08/28/2017 18:30,2.71
08/28/2017 18:45,2.74
08/28/2017 19:00,2.26
08/28/2017 19:15,1.91
08/28/2017 19:30,1.75
08/28/2017 19:45,1.8
08/28/2017 20:00,1.88
08/28/2017 20:15,1.92
08/28/2017 20:30,1.75
08/28/2017 20:45,1.67
08/28/2017 21:00,1.68
08/28/2017 21:15,1.72
08/28/2017 21:30,1.66
08/28/2017 21:45,1.68
08/28/2017 22:00,1.63
08/28/2017 22:15,1.81
08/28/2017 22:30,1.69
08/28/2017 22:45,1.67
08/28/2017 23:00,1.62
08/28/2017 23:15,1.69
08/28/2017 23:30,1.62
08/28/2017 23:45,1.68
08/28/2017 00:00,1.62
08/29/2017 00:15,1.68
08/29/2017 00:30,1.46
08/29/2017 00:45,1.37
08/29/2017 01:00,1.42
08/29/2017 01:15,1.42
08/29/2017 01:30,1.49
08/29/2017 01:45,1.86
08/29/2017 02:00,1.44
08/29/2017 02:15,1.42
08/29/2017 02:30,1.38
08/29/2017 02:45,1.37
08/29/2017 03:00,1.38
08/29/2017 03:15,1.4
08/29/2017 03:30,1.38
08/29/2017 03:45,1.37
08/29/2017 04:00,1.42
08/29/2017 04:15,1.42
08/29/2017 04:30,1.4
08/29/2017 04:45,1.32
08/29/2017 05:00,1.42
08/29/2017 05:15,1.39
08/29/2017 05:30,1.38
08/29/2017 05:45,1.39
08/29/2017 06:00,1.39
08/29/2017 06:15,1.45
08/29/2017 06:30,1.38
08/29/2017 06:45,1.36
08/29/2017 07:00,1.12
08/29/2017 07:15,0.94
08/29/2017 07:30,0.74
08/29/2017 07:45,1.32
08/29/2017 08:00,1.64
08/29/2017 08:15,1.39
08/29/2017 08:30,0.79
08/29/2017 08:45,1.03
08/29/2017 09:00,1.45
08/29/2017 09:15,4.39
08/29/2017 09:30,3.91
08/29/2017 09:45,3.12
08/29/2017 10:00,5.1
08/29/2017 10:15,4.99
08/29/2017 10:30,3.97
08/29/2017 10:45,4.44
08/29/2017 11:00,4.51
08/29/2017 11:15,3.32
08/29/2017 11:30,3.29
08/29/2017 11:45,3.78
08/29/2017 12:00,2.39
08/29/2017 12:15,1.54
08/29/2017 12:30,1.22
08/29/2017 12:45,1.2
08/29/2017 13:00,1.54
08/29/2017 13:15,1.75
08/29/2017 13:30,5.81
08/29/2017 13:45,6.07
08/29/2017 14:00,5.8
08/29/2017 14:15,6.74
08/29/2017 14:30,6.94
08/29/2017 14:45,7.07
08/29/2017 15:00,6.97
08/29/2017 15:15,7.73
08/29/2017 15:30,5.48
08/29/2017 15:45,4.08
08/29/2017 16:00,5.27
08/29/2017 16:15,5.88
08/29/2017 16:30,5.44
08/29/2017 16:45,5.41
08/29/2017 17:00,6.96
08/29/2017 17:15,6.74
08/29/2017 17:30,6.32
08/29/2017 17:45,6.62
08/29/2017 18:00,6.46
08/29/2017 18:15,5.54
08/29/2017 18:30,5.46
08/29/2017 18:45,6.44
08/29/2017 19:00,7.33
08/29/2017 19:15,7.96
08/29/2017 19:30,7.63
08/29/2017 19:45,6.59
08/29/2017 20:00,6.73
08/29/2017 20:15,6.16
08/29/2017 20:30,4.26
08/29/2017 20:45,3.12
08/29/2017 21:00,3.35
08/29/2017 21:15,3.34
08/29/2017 21:30,3.08
08/29/2017 21:45,3.31
08/29/2017 22:00,3.98
08/29/2017 22:15,4.21
08/29/2017 22:30,3.53
08/29/2017 22:45,2.69
08/29/2017 23:00,1.66
08/29/2017 23:15,1.7
08/29/2017 23:30,1.64
08/29/2017 23:45,1.62
08/29/2017 00:00,1.67
08/30/2017 00:15,1.64
08/30/2017 00:30,1.52
08/30/2017 00:45,1.37
08/30/2017 01:00,1.39
08/30/2017 01:15,1.42
08/30/2017 01:30,1.43
08/30/2017 01:45,1.54
08/30/2017 02:00,1.96
08/30/2017 02:15,1.43
08/30/2017 02:30,1.4
08/30/2017 02:45,1.45
08/30/2017 03:00,1.4
08/30/2017 03:15,1.42
08/30/2017 03:30,1.43
08/30/2017 03:45,1.39
08/30/2017 04:00,1.49
08/30/2017 04:15,1.4
08/30/2017 04:30,1.42
08/30/2017 04:45,1.4
08/30/2017 05:00,1.43
08/30/2017 05:15,1.37
08/30/2017 05:30,1.42
08/30/2017 05:45,1.37
08/30/2017 06:00,1.43
08/30/2017 06:15,1.43
08/30/2017 06:30,1.46
08/30/2017 06:45,1.39
08/30/2017 07:00,1.37
08/30/2017 07:15,1.31
08/30/2017 07:30,1.46
08/30/2017 07:45,1.45
08/30/2017 08:00,1.63
08/30/2017 08:15,1.56
08/30/2017 08:30,1.76
08/30/2017 08:45,3.36
08/30/2017 09:00,2.92
08/30/2017 09:15,1.73
08/30/2017 09:30,2.05
08/30/2017 09:45,2.1
08/30/2017 10:00,2.18
08/30/2017 10:15,2.33
08/30/2017 10:30,2.28
08/30/2017 10:45,1.91
08/30/2017 11:00,5.09
08/30/2017 11:15,4.96
08/30/2017 11:30,4.64
08/30/2017 11:45,4.69
08/30/2017 12:00,5.09
08/30/2017 12:15,5.04
08/30/2017 12:30,3.48
08/30/2017 12:45,3.41
08/30/2017 13:00,3.13
08/30/2017 13:15,3.23
08/30/2017 13:30,4.66
08/30/2017 13:45,4.09
08/30/2017 14:00,4.36
08/30/2017 14:15,4.96
08/30/2017 14:30,6.46
08/30/2017 14:45,6.78
08/30/2017 15:00,6.55
08/30/2017 15:15,4.98
08/30/2017 15:30,5.92
08/30/2017 15:45,5.26
08/30/2017 16:00,4.82
08/30/2017 16:15,3.85
08/30/2017 16:30,3.68
08/30/2017 16:45,3.64
08/30/2017 17:00,2.8
08/30/2017 17:15,3.14
08/30/2017 17:30,3.62
08/30/2017 17:45,3.13
08/30/2017 18:00,2.83
08/30/2017 18:15,2.42
08/30/2017 18:30,1.96
08/30/2017 18:45,1.69
08/30/2017 19:00,1.48
08/30/2017 19:15,1.63
08/30/2017 19:30,2.41
08/30/2017 19:45,2.47
08/30/2017 20:00,2.64
08/30/2017 20:15,1.88
08/30/2017 20:30,1.7
08/30/2017 20:45,1.66
08/30/2017 21:00,1.67
08/30/2017 21:15,1.69
08/30/2017 21:30,1.67
08/30/2017 21:45,1.7
08/30/2017 22:00,1.67
08/30/2017 22:15,1.68
08/30/2017 22:30,1.68
08/30/2017 22:45,1.73
08/30/2017 23:00,1.66
08/30/2017 23:15,1.72
08/30/2017 23:30,1.68
08/30/2017 23:45,1.73
08/30/2017 00:00,1.68
08/31/2017 00:15,1.69
08/31/2017 00:30,1.55
08/31/2017 00:45,1.43
08/31/2017 01:00,1.38
08/31/2017 01:15,1.38
08/31/2017 01:30,1.4
08/31/2017 01:45,1.76
08/31/2017 02:00,1.62
08/31/2017 02:15,1.4
08/31/2017 02:30,1.36
08/31/2017 02:45,1.43
08/31/2017 03:00,1.37
08/31/2017 03:15,1.4
08/31/2017 03:30,1.37
08/31/2017 03:45,1.42
08/31/2017 04:00,1.37
08/31/2017 04:15,1.4
08/31/2017 04:30,1.37
08/31/2017 04:45,1.4
08/31/2017 05:00,1.37
08/31/2017 05:15,1.42
08/31/2017 05:30,1.39
08/31/2017 05:45,1.39
08/31/2017 06:00,1.32
08/31/2017 06:15,1.42
08/31/2017 06:30,1.36
08/31/2017 06:45,1.33
08/31/2017 07:00,1.21
08/31/2017 07:15,1.25
08/31/2017 07:30,1.03
08/31/2017 07:45,0.84
08/31/2017 08:00,0.79
08/31/2017 08:15,1.38
08/31/2017 08:30,1.19
08/31/2017 08:45,2.83
08/31/2017 09:00,2.1
08/31/2017 09:15,1.82
08/31/2017 09:30,1.88
08/31/2017 09:45,1.78
08/31/2017 10:00,2.74
08/31/2017 10:15,3.06
08/31/2017 10:30,2.29
08/31/2017 10:45,3.54
08/31/2017 11:00,3.68
08/31/2017 11:15,3.35
08/31/2017 11:30,3.55
08/31/2017 11:45,2.66
08/31/2017 12:00,2.24
08/31/2017 12:15,1.61
08/31/2017 12:30,2.06
08/31/2017 12:45,1.06
08/31/2017 13:00,2.14
08/31/2017 13:15,2.34
08/31/2017 13:30,2.15
08/31/2017 13:45,3.48
08/31/2017 14:00,9.0
08/31/2017 14:15,8.32
08/31/2017 14:30,7.56
08/31/2017 14:45,7.25
08/31/2017 15:00,6.92
08/31/2017 15:15,7.07
08/31/2017 15:30,4.43
08/31/2017 15:45,5.2
08/31/2017 16:00,4.88
08/31/2017 16:15,4.94
08/31/2017 16:30,4.99
08/31/2017 16:45,4.28
08/31/2017 17:00,3.88
08/31/2017 17:15,3.7
08/31/2017 17:30,3.6
08/31/2017 17:45,3.59
08/31/2017 18:00,3.54
08/31/2017 18:15,3.32
08/31/2017 18:30,2.22
08/31/2017 18:45,2.08
08/31/2017 19:00,3.2
08/31/2017 19:15,3.16
08/31/2017 19:30,3.56
08/31/2017 19:45,3.22
08/31/2017 20:00,3.2
08/31/2017 20:15,2.33
08/31/2017 20:30,2.18
08/31/2017 20:45,1.9
08/31/2017 21:00,1.72
08/31/2017 21:15,1.67
08/31/2017 21:30,1.72
08/31/2017 21:45,1.66
08/31/2017 22:00,1.7
08/31/2017 22:15,1.68
08/31/2017 22:30,1.69
08/31/2017 22:45,1.67
08/31/2017 23:00,1.66
08/31/2017 23:15,1.61
08/31/2017 23:30,1.63
08/31/2017 23:45,1.67
08/31/2017 00:00,1.63
09/01/2017 00:15,1.61
09/01/2017 00:30,1.42
09/01/2017 00:45,1.34
09/01/2017 01:00,1.31
09/01/2017 01:15,1.38
09/01/2017 01:30,1.28
09/01/2017 01:45,1.87
09/01/2017 02:00,1.48
09/01/2017 02:15,1.37
09/01/2017 02:30,1.33
09/01/2017 02:45,1.36
09/01/2017 03:00,1.32
09/01/2017 03:15,1.33
09/01/2017 03:30,1.36
09/01/2017 03:45,1.33
09/01/2017 04:00,1.36
09/01/2017 04:15,1.34
09/01/2017 04:30,1.39
09/01/2017 04:45,1.31
09/01/2017 05:00,1.37
09/01/2017 05:15,1.32
09/01/2017 05:30,1.37
09/01/2017 05:45,1.31
09/01/2017 06:00,1.39
09/01/2017 06:15,1.33
09/01/2017 06:30,1.36
09/01/2017 06:45,1.1
09/01/2017 07:00,1.02
09/01/2017 07:15,0.94
09/01/2017 07:30,0.97
09/01/2017 07:45,0.59
09/01/2017 08:00,0.56
09/01/2017 08:15,1.55
09/01/2017 08:30,1.08
09/01/2017 08:45,0.92
09/01/2017 09:00,2.53
09/01/2017 09:15,3.34
09/01/2017 09:30,3.74
09/01/2017 09:45,3.34
09/01/2017 10:00,3.08
09/01/2017 10:15,3.0
09/01/2017 10:30,2.96
09/01/2017 10:45,2.82
09/01/2017 11:00,2.27
09/01/2017 11:15,2.75
09/01/2017 11:30,1.63
09/01/2017 11:45,0.85
09/01/2017 12:00,0.14
09/01/2017 12:15,0.7
09/01/2017 12:30,2.44
09/01/2017 12:45,2.51
09/01/2017 13:00,1.82
09/01/2017 13:15,2.54
09/01/2017 13:30,3.47
09/01/2017 13:45,4.0
09/01/2017 14:00,4.2
09/01/2017 14:15,4.92
09/01/2017 14:30,4.9
09/01/2017 14:45,4.55
09/01/2017 15:00,4.63
09/01/2017 15:15,4.1
09/01/2017 15:30,4.42
09/01/2017 15:45,3.94
09/01/2017 16:00,4.27
09/01/2017 16:15,3.98
09/01/2017 16:30,3.66
09/01/2017 16:45,4.16
09/01/2017 17:00,3.22
09/01/2017 17:15,3.31
09/01/2017 17:30,3.32
09/01/2017 17:45,3.56
09/01/2017 18:00,2.93
09/01/2017 18:15,2.08
09/01/2017 18:30,1.88
09/01/2017 18:45,2.0
09/01/2017 19:00,2.89
09/01/2017 19:15,2.71
09/01/2017 19:30,2.63
09/01/2017 19:45,2.78
09/01/2017 20:00,2.86
09/01/2017 20:15,2.89
09/01/2017 20:30,2.53
09/01/2017 20:45,2.09
09/01/2017 21:00,1.7
09/01/2017 21:15,1.7
09/01/2017 21:30,1.64
09/01/2017 21:45,1.72
09/01/2017 22:00,1.68
09/01/2017 22:15,1.7
09/01/2017 22:30,1.63
09/01/2017 22:45,1.69
09/01/2017 23:00,1.64
09/01/2017 23:15,1.68
09/01/2017 23:30,1.66
09/01/2017 23:45,1.7
09/01/2017 00:00,1.67
09/02/2017 00:15,1.67
09/02/2017 00:30,1.48
09/02/2017 00:45,1.34
09/02/2017 01:00,1.42
09/02/2017 01:15,1.69
09/02/2017 01:30,1.64
09/02/2017 01:45,1.34
09/02/2017 02:00,1.4
09/02/2017 02:15,1.38
09/02/2017 02:30,1.43
09/02/2017 02:45,1.42
09/02/2017 03:00,1.37
09/02/2017 03:15,1.39
09/02/2017 03:30,1.39
09/02/2017 03:45,1.4
09/02/2017 04:00,1.37
09/02/2017 04:15,1.43
09/02/2017 04:30,1.38
09/02/2017 04:45,1.46
09/02/2017 05:00,1.36
09/02/2017 05:15,1.4
09/02/2017 05:30,1.33
09/02/2017 05:45,1.42
09/02/2017 06:00,1.38
09/02/2017 06:15,1.43
09/02/2017 06:30,1.33
09/02/2017 06:45,1.31
09/02/2017 07:00,1.16
09/02/2017 07:15,0.92
09/02/2017 07:30,0.74
09/02/2017 07:45,0.91
09/02/2017 08:00,0.58
09/02/2017 08:15,0.34
09/02/2017 08:30,0.24
09/02/2017 08:45,0.16
09/02/2017 09:00,0.1
09/02/2017 09:15,0.04
09/02/2017 09:30,0.06
09/02/2017 09:45,0.04
09/02/2017 10:00,0.01
09/02/2017 10:15,0.0
09/02/2017 10:30,0.02
09/02/2017 10:45,0.01
09/02/2017 11:00,0.36
09/02/2017 11:15,0.55
09/02/2017 11:30,0.56
09/02/2017 11:45,0.8
09/02/2017 12:00,0.54
09/02/2017 12:15,1.42
09/02/2017 12:30,1.5
09/02/2017 12:45,1.2
09/02/2017 13:00,0.71
09/02/2017 13:15,1.06
09/02/2017 13:30,1.36
09/02/2017 13:45,0.23
09/02/2017 14:00,0.52
09/02/2017 14:15,0.72
09/02/2017 14:30,0.83
09/02/2017 14:45,0.76
09/02/2017 15:00,0.16
09/02/2017 15:15,0.23
09/02/2017 15:30,0.07
09/02/2017 15:45,0.19
09/02/2017 16:00,0.52
09/02/2017 16:15,0.68
09/02/2017 16:30,1.08
09/02/2017 16:45,1.21
09/02/2017 17:00,1.25
09/02/2017 17:15,1.25
09/02/2017 17:30,1.28
09/02/2017 17:45,1.2
09/02/2017 18:00,1.32
09/02/2017 18:15,1.28
09/02/2017 18:30,1.4
09/02/2017 18:45,1.34
09/02/2017 19:00,1.45
09/02/2017 19:15,1.37
09/02/2017 19:30,1.57
09/02/2017 19:45,1.64
09/02/2017 20:00,1.85
09/02/2017 20:15,1.76
09/02/2017 20:30,1.82
09/02/2017 20:45,1.79
09/02/2017 21:00,1.82
09/02/2017 21:15,1.81
09/02/2017 21:30,1.86
09/02/2017 21:45,1.85
09/02/2017 22:00,1.86
09/02/2017 22:15,1.84
09/02/2017 22:30,1.79
09/02/2017 22:45,1.75
09/02/2017 23:00,1.63
09/02/2017 23:15,1.63
09/02/2017 23:30,1.62
09/02/2017 23:45,1.68
09/02/2017 00:00,1.69
09/03/2017 00:15,1.68
09/03/2017 00:30,1.51
09/03/2017 00:45,1.42
09/03/2017 01:00,1.33
09/03/2017 01:15,1.37
09/03/2017 01:30,1.37
09/03/2017 01:45,1.4
09/03/2017 02:00,1.4
09/03/2017 02:15,1.37
09/03/2017 02:30,1.36
09/03/2017 02:45,1.38
09/03/2017 03:00,1.36
09/03/2017 03:15,1.75
09/03/2017 03:30,1.55
09/03/2017 03:45,1.37
09/03/2017 04:00,1.34
09/03/2017 04:15,1.37
09/03/2017 04:30,1.37
09/03/2017 04:45,1.39
09/03/2017 05:00,1.34
09/03/2017 05:15,1.4
09/03/2017 05:30,1.37
09/03/2017 05:45,1.38
09/03/2017 06:00,1.33
09/03/2017 06:15,1.4
09/03/2017 06:30,1.33
09/03/2017 06:45,1.28
09/03/2017 07:00,1.1
09/03/2017 07:15,1.03
09/03/2017 07:30,0.83
09/03/2017 07:45,0.61
09/03/2017 08:00,0.38
09/03/2017 08:15,0.24
09/03/2017 08:30,0.67
09/03/2017 08:45,1.02
09/03/2017 09:00,0.71
09/03/2017 09:15,0.67
09/03/2017 09:30,0.67
09/03/2017 09:45,0.61
09/03/2017 10:00,0.53
09/03/2017 10:15,0.5
09/03/2017 10:30,0.44
09/03/2017 10:45,0.43
09/03/2017 11:00,0.36
09/03/2017 11:15,0.38
09/03/2017 11:30,0.28
09/03/2017 11:45,0.32
09/03/2017 12:00,0.37
09/03/2017 12:15,0.26
09/03/2017 12:30,0.59
09/03/2017 12:45,1.52
09/03/2017 13:00,1.58
09/03/2017 13:15,1.78
09/03/2017 13:30,1.86
09/03/2017 13:45,0.05
09/03/2017 14:00,0.0
09/03/2017 14:15,0.01
09/03/2017 14:30,0.01
09/03/2017 14:45,0.06
09/03/2017 15:00,0.97
09/03/2017 15:15,1.18
09/03/2017 15:30,1.04
09/03/2017 15:45,0.68
09/03/2017 16:00,0.64
09/03/2017 16:15,0.66
09/03/2017 16:30,1.34
09/03/2017 16:45,1.27
09/03/2017 17:00,1.09
09/03/2017 17:15,1.12
09/03/2017 17:30,1.14
09/03/2017 17:45,1.2
09/03/2017 18:00,1.3
09/03/2017 18:15,1.28
09/03/2017 18:30,1.37
09/03/2017 18:45,1.34
09/03/2017 19:00,1.43
09/03/2017 19:15,1.4
09/03/2017 19:30,1.4
09/03/2017 19:45,1.49
09/03/2017 20:00,1.66
09/03/2017 20:15,1.64
09/03/2017 20:30,1.66
09/03/2017 20:45,1.64
09/03/2017 21:00,1.68
09/03/2017 21:15,1.67
09/03/2017 21:30,1.64
09/03/2017 21:45,1.64
09/03/2017 22:00,1.66
09/03/2017 22:15,1.61
09/03/2017 22:30,1.66
09/03/2017 22:45,1.6
09/03/2017 23:00,1.69
09/03/2017 23:15,1.61
09/03/2017 23:30,1.68
09/03/2017 23:45,1.62
09/03/2017 00:00,1.67
09/04/2017 00:15,1.63
09/04/2017 00:30,1.46
09/04/2017 00:45,1.33
09/04/2017 01:00,1.4
09/04/2017 01:15,1.33
09/04/2017 01:30,1.38
09/04/2017 01:45,1.36
09/04/2017 02:00,1.38
09/04/2017 02:15,1.31
09/04/2017 02:30,1.38
09/04/2017 02:45,1.37
09/04/2017 03:00,1.37
09/04/2017 03:15,1.33
09/04/2017 03:30,1.33
09/04/2017 03:45,1.39
09/04/2017 04:00,1.39
09/04/2017 04:15,1.34
09/04/2017 04:30,1.37
09/04/2017 04:45,1.37
09/04/2017 05:00,1.36
09/04/2017 05:15,1.37
09/04/2017 05:30,1.33
09/04/2017 05:45,1.9
09/04/2017 06:00,1.37
09/04/2017 06:15,1.37
09/04/2017 06:30,1.34
09/04/2017 06:45,1.28
09/04/2017 07:00,1.19
09/04/2017 07:15,1.03
09/04/2017 07:30,1.09
09/04/2017 07:45,1.07
09/04/2017 08:00,0.9
09/04/2017 08:15,1.94
09/04/2017 08:30,1.32
09/04/2017 08:45,3.46
09/04/2017 09:00,2.94
09/04/2017 09:15,2.57
09/04/2017 09:30,2.51
09/04/2017 09:45,1.32
09/04/2017 10:00,1.09
09/04/2017 10:15,1.14
09/04/2017 10:30,1.13
09/04/2017 10:45,0.73
09/04/2017 11:00,5.08
09/04/2017 11:15,4.81
09/04/2017 11:30,4.5
09/04/2017 11:45,5.21
09/04/2017 12:00,6.25
09/04/2017 12:15,6.58
09/04/2017 12:30,4.72
09/04/2017 12:45,4.8
09/04/2017 13:00,4.66
09/04/2017 13:15,4.9
09/04/2017 13:30,5.44
09/04/2017 13:45,6.47
09/04/2017 14:00,10.32
09/04/2017 14:15,11.36
09/04/2017 14:30,10.78
09/04/2017 14:45,10.02
09/04/2017 15:00,10.04
09/04/2017 15:15,10.92
09/04/2017 15:30,10.58
09/04/2017 15:45,10.64
09/04/2017 16:00,8.27
09/04/2017 16:15,6.23
09/04/2017 16:30,5.47
09/04/2017 16:45,5.22
09/04/2017 17:00,5.26
09/04/2017 17:15,4.84
09/04/2017 17:30,4.38
09/04/2017 17:45,4.96
09/04/2017 18:00,4.5
09/04/2017 18:15,3.32
09/04/2017 18:30,3.78
09/04/2017 18:45,3.04
09/04/2017 19:00,2.69
09/04/2017 19:15,2.68
09/04/2017 19:30,2.52
09/04/2017 19:45,2.59
09/04/2017 20:00,2.98
09/04/2017 20:15,2.72
09/04/2017 20:30,2.57
09/04/2017 20:45,2.64
09/04/2017 21:00,2.52
09/04/2017 21:15,1.64
09/04/2017 21:30,1.67
09/04/2017 21:45,1.64
09/04/2017 22:00,1.62
09/04/2017 22:15,1.64
09/04/2017 22:30,1.62
09/04/2017 22:45,1.61
09/04/2017 23:00,1.63
09/04/2017 23:15,1.66
09/04/2017 23:30,1.64
09/04/2017 23:45,1.72
09/04/2017 00:00,1.68
09/05/2017 00:15,1.66
09/05/2017 00:30,1.51
09/05/2017 00:45,1.4
09/05/2017 01:00,1.38
09/05/2017 01:15,1.4
09/05/2017 01:30,1.36
09/05/2017 01:45,1.44
09/05/2017 02:00,1.37
09/05/2017 02:15,1.39
09/05/2017 02:30,1.31
09/05/2017 02:45,1.39
09/05/2017 03:00,1.33
09/05/2017 03:15,1.37
09/05/2017 03:30,1.34
09/05/2017 03:45,1.4
09/05/2017 04:00,1.36
09/05/2017 04:15,1.37
09/05/2017 04:30,1.37
09/05/2017 04:45,1.31
09/05/2017 05:00,1.36
09/05/2017 05:15,1.32
09/05/2017 05:30,1.38
09/05/2017 05:45,1.32
09/05/2017 06:00,1.42
09/05/2017 06:15,1.31
09/05/2017 06:30,1.4
09/05/2017 06:45,1.34
09/05/2017 07:00,1.38
09/05/2017 07:15,1.28
09/05/2017 07:30,1.57
09/05/2017 07:45,2.34
09/05/2017 08:00,2.38
09/05/2017 08:15,2.3
09/05/2017 08:30,2.64
09/05/2017 08:45,2.4
09/05/2017 09:00,2.65
