Time,Power
08/07/2017 00:15,2.64
08/07/2017 00:30,2.58
08/07/2017 00:45,2.7
08/07/2017 01:00,2.63
08/07/2017 01:15,3.01
08/07/2017 01:30,4.21
08/07/2017 01:45,3.04
08/07/2017 02:00,2.88
08/07/2017 02:15,2.86
08/07/2017 02:30,2.86
08/07/2017 02:45,2.8
08/07/2017 03:00,4.49
08/07/2017 03:15,3.44
08/07/2017 03:30,3.71
08/07/2017 03:45,3.77
08/07/2017 04:00,3.77
08/07/2017 04:15,3.41
08/07/2017 04:30,4.2
08/07/2017 04:45,3.2
08/07/2017 05:00,2.75
08/07/2017 05:15,2.88
08/07/2017 05:30,2.66
08/07/2017 05:45,2.51
08/07/2017 06:00,4.02
08/07/2017 06:15,7.22
08/07/2017 06:30,8.22
08/07/2017 06:45,7.14
08/07/2017 07:00,8.69
08/07/2017 07:15,9.23
08/07/2017 07:30,8.35
08/07/2017 07:45,7.0
08/07/2017 08:00,6.76
08/07/2017 08:15,4.85
08/07/2017 08:30,4.56
08/07/2017 08:45,4.16
08/07/2017 09:00,3.37
08/07/2017 09:15,6.86
08/07/2017 09:30,6.19
08/07/2017 09:45,5.04
08/07/2017 10:00,5.58
08/07/2017 10:15,5.71
08/07/2017 10:30,4.42
08/07/2017 10:45,3.91
08/07/2017 11:00,3.28
08/07/2017 11:15,1.92
08/07/2017 11:30,2.08
08/07/2017 11:45,5.14
08/07/2017 12:00,2.68
08/07/2017 12:15,2.09
08/07/2017 12:30,6.07
08/07/2017 12:45,4.91
08/07/2017 13:00,5.4
08/07/2017 13:15,4.12
08/07/2017 13:30,5.44
08/07/2017 13:45,3.13
08/07/2017 14:00,4.85
08/07/2017 14:15,4.24
08/07/2017 14:30,3.6
08/07/2017 14:45,3.71
08/07/2017 15:00,5.66
08/07/2017 15:15,7.31
08/07/2017 15:30,7.48
08/07/2017 15:45,7.49
08/07/2017 16:00,7.85
08/07/2017 16:15,8.77
08/07/2017 16:30,10.66
08/07/2017 16:45,10.34
08/07/2017 17:00,9.58
08/07/2017 17:15,10.02
08/07/2017 17:30,9.92
08/07/2017 17:45,10.1
08/07/2017 18:00,11.88
08/07/2017 18:15,10.48
08/07/2017 18:30,10.78
08/07/2017 18:45,10.26
08/07/2017 19:00,9.73
08/07/2017 19:15,11.51
08/07/2017 19:30,10.87
08/07/2017 19:45,10.27
08/07/2017 20:00,10.5
08/07/2017 20:15,10.03
08/07/2017 20:30,10.52
08/07/2017 20:45,10.92
08/07/2017 21:00,11.22
08/07/2017 21:15,10.51
08/07/2017 21:30,10.15
08/07/2017 21:45,10.1
08/07/2017 22:00,10.01
08/07/2017 22:15,10.67
08/07/2017 22:30,9.66
08/07/2017 22:45,9.16
08/07/2017 23:00,8.68
08/07/2017 23:15,4.88
08/07/2017 23:30,2.99
08/07/2017 23:45,4.7
08/07/2017 00:00,2.93
08/08/2017 00:15,2.82
08/08/2017 00:30,2.95
08/08/2017 00:45,2.84
