Time,Power
08/07/2017 00:15,57.31
08/07/2017 00:30,57.49
08/07/2017 00:45,57.58
08/07/2017 01:00,57.53
08/07/2017 01:15,57.62
08/07/2017 01:30,57.65
08/07/2017 01:45,57.76
08/07/2017 02:00,57.82
08/07/2017 02:15,57.69
08/07/2017 02:30,57.67
08/07/2017 02:45,57.69
08/07/2017 03:00,57.73
08/07/2017 03:15,57.85
08/07/2017 03:30,57.82
08/07/2017 03:45,57.82
08/07/2017 04:00,57.8
08/07/2017 04:15,57.82
08/07/2017 04:30,57.87
08/07/2017 04:45,57.78
08/07/2017 05:00,57.58
08/07/2017 05:15,29.66
08/07/2017 05:30,29.7
08/07/2017 05:45,29.48
08/07/2017 06:00,29.47
08/07/2017 06:15,29.48
08/07/2017 06:30,29.52
08/07/2017 06:45,29.54
08/07/2017 07:00,29.56
08/07/2017 07:15,34.83
08/07/2017 07:30,51.12
08/07/2017 07:45,51.12
08/07/2017 08:00,68.53
08/07/2017 08:15,76.55
08/07/2017 08:30,74.32
08/07/2017 08:45,73.58
08/07/2017 09:00,73.78
08/07/2017 09:15,73.84
08/07/2017 09:30,73.87
08/07/2017 09:45,73.82
08/07/2017 10:00,73.78
08/07/2017 10:15,74.02
08/07/2017 10:30,74.09
08/07/2017 10:45,74.09
08/07/2017 11:00,74.11
08/07/2017 11:15,74.18
08/07/2017 11:30,74.2
08/07/2017 11:45,39.33
08/07/2017 12:00,29.84
08/07/2017 12:15,29.81
08/07/2017 12:30,29.63
08/07/2017 12:45,44.12
08/07/2017 13:00,51.14
08/07/2017 13:15,51.1
08/07/2017 13:30,30.26
08/07/2017 13:45,29.57
08/07/2017 14:00,29.57
08/07/2017 14:15,29.63
08/07/2017 14:30,29.59
08/07/2017 14:45,29.66
08/07/2017 15:00,29.84
08/07/2017 15:15,29.88
08/07/2017 15:30,29.84
08/07/2017 15:45,29.83
08/07/2017 16:00,29.81
08/07/2017 16:15,29.79
08/07/2017 16:30,29.66
08/07/2017 16:45,29.54
08/07/2017 17:00,29.61
08/07/2017 17:15,29.59
08/07/2017 17:30,29.66
08/07/2017 17:45,29.61
08/07/2017 18:00,29.59
08/07/2017 18:15,29.59
08/07/2017 18:30,39.89
08/07/2017 18:45,56.12
08/07/2017 19:00,55.91
08/07/2017 19:15,55.78
08/07/2017 19:30,55.75
08/07/2017 19:45,55.8
08/07/2017 20:00,55.91
08/07/2017 20:15,55.85
08/07/2017 20:30,55.84
08/07/2017 20:45,55.85
08/07/2017 21:00,55.87
08/07/2017 21:15,55.98
08/07/2017 21:30,55.94
08/07/2017 21:45,55.94
08/07/2017 22:00,55.93
08/07/2017 22:15,55.94
08/07/2017 22:30,56.03
08/07/2017 22:45,56.48
08/07/2017 23:00,56.48
08/07/2017 23:15,56.48
08/07/2017 23:30,56.65
08/07/2017 23:45,57.56
08/07/2017 00:00,57.51
08/08/2017 00:15,57.31
08/08/2017 00:30,57.46
08/08/2017 00:45,57.46
08/08/2017 01:00,57.47
08/08/2017 01:15,57.44
08/08/2017 01:30,57.4
08/08/2017 01:45,57.49
08/08/2017 02:00,57.6
08/08/2017 02:15,57.71
08/08/2017 02:30,57.6
08/08/2017 02:45,57.62
08/08/2017 03:00,42.91
08/08/2017 03:15,29.68
08/08/2017 03:30,50.47
08/08/2017 03:45,51.19
08/08/2017 04:00,51.23
08/08/2017 04:15,51.23
08/08/2017 04:30,51.26
08/08/2017 04:45,51.19
08/08/2017 05:00,51.17
08/08/2017 05:15,51.19
08/08/2017 05:30,51.16
08/08/2017 05:45,51.1
08/08/2017 06:00,50.99
08/08/2017 06:15,50.98
08/08/2017 06:30,50.99
08/08/2017 06:45,51.03
08/08/2017 07:00,51.07
08/08/2017 07:15,51.03
08/08/2017 07:30,51.03
08/08/2017 07:45,51.07
08/08/2017 08:00,51.05
08/08/2017 08:15,51.08
08/08/2017 08:30,50.98
08/08/2017 08:45,50.96
08/08/2017 09:00,50.87
08/08/2017 09:15,50.92
08/08/2017 09:30,50.98
08/08/2017 09:45,50.51
08/08/2017 10:00,49.73
08/08/2017 10:15,49.81
08/08/2017 10:30,49.93
08/08/2017 10:45,50.0
08/08/2017 11:00,48.47
08/08/2017 11:15,29.75
08/08/2017 11:30,29.77
08/08/2017 11:45,29.83
08/08/2017 12:00,29.79
08/08/2017 12:15,29.83
08/08/2017 12:30,29.84
08/08/2017 12:45,29.86
08/08/2017 13:00,29.83
08/08/2017 13:15,29.66
08/08/2017 13:30,29.52
08/08/2017 13:45,29.43
08/08/2017 14:00,29.48
08/08/2017 14:15,32.29
08/08/2017 14:30,57.6
08/08/2017 14:45,57.56
08/08/2017 15:00,57.58
08/08/2017 15:15,57.67
08/08/2017 15:30,57.6
08/08/2017 15:45,57.6
08/08/2017 16:00,57.58
08/08/2017 16:15,57.55
08/08/2017 16:30,57.53
08/08/2017 16:45,57.49
08/08/2017 17:00,57.46
08/08/2017 17:15,57.42
08/08/2017 17:30,57.46
08/08/2017 17:45,57.04
08/08/2017 18:00,55.76
08/08/2017 18:15,55.73
08/08/2017 18:30,55.84
08/08/2017 18:45,55.84
08/08/2017 19:00,55.71
08/08/2017 19:15,55.73
08/08/2017 19:30,55.67
08/08/2017 19:45,55.76
08/08/2017 20:00,55.87
08/08/2017 20:15,55.82
08/08/2017 20:30,56.02
08/08/2017 20:45,56.0
08/08/2017 21:00,55.85
08/08/2017 21:15,55.82
08/08/2017 21:30,56.11
08/08/2017 21:45,56.29
08/08/2017 22:00,56.32
08/08/2017 22:15,56.45
08/08/2017 22:30,56.54
08/08/2017 22:45,56.52
08/08/2017 23:00,56.56
08/08/2017 23:15,56.45
08/08/2017 23:30,56.47
08/08/2017 23:45,56.5
08/08/2017 00:00,56.75
08/09/2017 00:15,57.22
08/09/2017 00:30,57.38
08/09/2017 00:45,57.42
08/09/2017 01:00,57.56
08/09/2017 01:15,57.56
08/09/2017 01:30,57.64
08/09/2017 01:45,57.65
08/09/2017 02:00,57.65
08/09/2017 02:15,57.76
08/09/2017 02:30,57.69
08/09/2017 02:45,57.73
08/09/2017 03:00,57.71
08/09/2017 03:15,57.71
08/09/2017 03:30,57.78
08/09/2017 03:45,51.21
08/09/2017 04:00,29.7
08/09/2017 04:15,29.59
08/09/2017 04:30,29.63
08/09/2017 04:45,9.7
