Time,Power
08/07/2017 00:15,32.88
08/07/2017 00:30,33.0
08/07/2017 00:45,33.84
08/07/2017 01:00,33.24
08/07/2017 01:15,33.84
08/07/2017 01:30,33.96
08/07/2017 01:45,33.84
08/07/2017 02:00,33.6
08/07/2017 02:15,34.44
08/07/2017 02:30,33.96
08/07/2017 02:45,32.76
08/07/2017 03:00,34.44
08/07/2017 03:15,35.52
08/07/2017 03:30,36.0
08/07/2017 03:45,36.96
08/07/2017 04:00,36.84
08/07/2017 04:15,36.48
08/07/2017 04:30,36.72
08/07/2017 04:45,40.44
08/07/2017 05:00,43.08
08/07/2017 05:15,41.52
08/07/2017 05:30,40.08
08/07/2017 05:45,45.24
08/07/2017 06:00,63.48
08/07/2017 06:15,70.32
08/07/2017 06:30,71.64
08/07/2017 06:45,72.0
08/07/2017 07:00,76.44
08/07/2017 07:15,81.12
08/07/2017 07:30,80.76
08/07/2017 07:45,81.96
08/07/2017 08:00,90.0
08/07/2017 08:15,102.36
08/07/2017 08:30,102.48
08/07/2017 08:45,113.16
08/07/2017 09:00,118.2
08/07/2017 09:15,130.56
08/07/2017 09:30,131.4
08/07/2017 09:45,128.4
08/07/2017 10:00,125.52
08/07/2017 10:15,142.08
08/07/2017 10:30,147.72
08/07/2017 10:45,145.92
08/07/2017 11:00,146.52
08/07/2017 11:15,153.72
08/07/2017 11:30,156.24
08/07/2017 11:45,156.36
08/07/2017 12:00,152.4
08/07/2017 12:15,116.04
08/07/2017 12:30,114.96
08/07/2017 12:45,119.64
08/07/2017 13:00,125.88
08/07/2017 13:15,150.96
08/07/2017 13:30,161.88
08/07/2017 13:45,155.64
08/07/2017 14:00,153.96
08/07/2017 14:15,150.12
08/07/2017 14:30,146.64
08/07/2017 14:45,150.6
08/07/2017 15:00,153.96
08/07/2017 15:15,150.6
08/07/2017 15:30,151.8
08/07/2017 15:45,154.8
08/07/2017 16:00,152.16
08/07/2017 16:15,152.16
08/07/2017 16:30,150.96
08/07/2017 16:45,147.96
08/07/2017 17:00,149.4
08/07/2017 17:15,138.12
08/07/2017 17:30,121.8
08/07/2017 17:45,126.84
08/07/2017 18:00,126.96
08/07/2017 18:15,120.72
08/07/2017 18:30,114.0
08/07/2017 18:45,106.8
08/07/2017 19:00,106.32
08/07/2017 19:15,103.8
08/07/2017 19:30,100.56
08/07/2017 19:45,99.24
08/07/2017 20:00,100.92
08/07/2017 20:15,99.6
08/07/2017 20:30,95.28
08/07/2017 20:45,91.8
08/07/2017 21:00,91.44
08/07/2017 21:15,89.52
08/07/2017 21:30,82.56
08/07/2017 21:45,76.68
08/07/2017 22:00,54.6
08/07/2017 22:15,40.44
08/07/2017 22:30,36.84
08/07/2017 22:45,36.24
08/07/2017 23:00,35.28
08/07/2017 23:15,34.2
08/07/2017 23:30,35.64
08/07/2017 23:45,34.56
08/07/2017 00:00,33.36
08/08/2017 00:15,33.6
08/08/2017 00:30,33.24
08/08/2017 00:45,34.2
08/08/2017 01:00,35.04
08/08/2017 01:15,33.24
08/08/2017 01:30,35.52
08/08/2017 01:45,34.92
08/08/2017 02:00,32.76
08/08/2017 02:15,33.72
08/08/2017 02:30,34.32
08/08/2017 02:45,33.24
08/08/2017 03:00,34.2
08/08/2017 03:15,34.44
08/08/2017 03:30,35.76
08/08/2017 03:45,36.48
08/08/2017 04:00,36.96
08/08/2017 04:15,36.6
08/08/2017 04:30,36.24
08/08/2017 04:45,41.16
08/08/2017 05:00,42.72
08/08/2017 05:15,39.12
08/08/2017 05:30,39.96
08/08/2017 05:45,46.68
08/08/2017 06:00,62.76
08/08/2017 06:15,67.2
08/08/2017 06:30,70.08
08/08/2017 06:45,70.32
08/08/2017 07:00,74.4
08/08/2017 07:15,76.44
08/08/2017 07:30,77.52
08/08/2017 07:45,79.68
08/08/2017 08:00,92.52
08/08/2017 08:15,105.12
08/08/2017 08:30,106.92
08/08/2017 08:45,112.2
08/08/2017 09:00,153.48
08/08/2017 09:15,165.12
08/08/2017 09:30,166.68
08/08/2017 09:45,159.12
08/08/2017 10:00,153.96
08/08/2017 10:15,169.56
08/08/2017 10:30,184.8
08/08/2017 10:45,191.52
08/08/2017 11:00,186.48
08/08/2017 11:15,198.96
08/08/2017 11:30,196.56
08/08/2017 11:45,193.2
08/08/2017 12:00,170.64
08/08/2017 12:15,128.64
08/08/2017 12:30,118.08
08/08/2017 12:45,119.52
08/08/2017 13:00,144.0
08/08/2017 13:15,155.04
08/08/2017 13:30,158.88
08/08/2017 13:45,155.04
08/08/2017 14:00,153.84
08/08/2017 14:15,153.36
08/08/2017 14:30,154.92
08/08/2017 14:45,157.56
08/08/2017 15:00,162.72
08/08/2017 15:15,157.92
08/08/2017 15:30,156.12
08/08/2017 15:45,158.4
08/08/2017 16:00,152.4
08/08/2017 16:15,150.48
08/08/2017 16:30,149.4
08/08/2017 16:45,147.6
08/08/2017 17:00,148.44
