Time,Power
08/07/2017 00:15,1.33
08/07/2017 00:30,1.33
08/07/2017 00:45,1.39
08/07/2017 01:00,1.31
08/07/2017 01:15,1.28
08/07/2017 01:30,1.3
08/07/2017 01:45,1.3
08/07/2017 02:00,1.3
08/07/2017 02:15,1.46
08/07/2017 02:30,1.35
08/07/2017 02:45,1.37
08/07/2017 03:00,1.39
08/07/2017 03:15,1.26
08/07/2017 03:30,1.53
08/07/2017 03:45,2.75
08/07/2017 04:00,1.48
08/07/2017 04:15,1.39
08/07/2017 04:30,1.37
08/07/2017 04:45,1.46
08/07/2017 05:00,1.49
08/07/2017 05:15,1.46
08/07/2017 05:30,1.37
08/07/2017 05:45,1.4
08/07/2017 06:00,1.35
08/07/2017 06:15,1.48
08/07/2017 06:30,1.46
08/07/2017 06:45,1.4
08/07/2017 07:00,1.48
08/07/2017 07:15,1.55
08/07/2017 07:30,1.85
08/07/2017 07:45,1.98
08/07/2017 08:00,2.79
08/07/2017 08:15,2.68
08/07/2017 08:30,2.9
08/07/2017 08:45,3.64
08/07/2017 09:00,5.94
08/07/2017 09:15,8.12
08/07/2017 09:30,8.78
08/07/2017 09:45,13.16
08/07/2017 10:00,13.61
08/07/2017 10:15,13.12
08/07/2017 10:30,12.28
08/07/2017 10:45,12.6
08/07/2017 11:00,13.39
08/07/2017 11:15,12.74
08/07/2017 11:30,12.26
08/07/2017 11:45,10.69
08/07/2017 12:00,8.98
08/07/2017 12:15,5.72
08/07/2017 12:30,5.56
08/07/2017 12:45,5.33
08/07/2017 13:00,5.99
08/07/2017 13:15,6.46
08/07/2017 13:30,7.67
08/07/2017 13:45,7.85
08/07/2017 14:00,9.76
08/07/2017 14:15,10.58
08/07/2017 14:30,10.91
08/07/2017 14:45,11.02
08/07/2017 15:00,12.46
08/07/2017 15:15,11.21
08/07/2017 15:30,9.36
08/07/2017 15:45,7.04
08/07/2017 16:00,6.98
08/07/2017 16:15,6.7
08/07/2017 16:30,7.29
08/07/2017 16:45,6.14
08/07/2017 17:00,6.1
08/07/2017 17:15,6.66
08/07/2017 17:30,6.37
08/07/2017 17:45,6.75
08/07/2017 18:00,6.39
08/07/2017 18:15,3.6
08/07/2017 18:30,2.61
08/07/2017 18:45,2.2
08/07/2017 19:00,2.09
08/07/2017 19:15,2.05
08/07/2017 19:30,2.16
08/07/2017 19:45,2.11
08/07/2017 20:00,2.27
08/07/2017 20:15,2.18
08/07/2017 20:30,3.47
08/07/2017 20:45,2.12
08/07/2017 21:00,2.03
08/07/2017 21:15,1.94
08/07/2017 21:30,1.89
08/07/2017 21:45,1.49
08/07/2017 22:00,1.35
08/07/2017 22:15,1.33
08/07/2017 22:30,1.42
08/07/2017 22:45,1.35
08/07/2017 23:00,1.35
08/07/2017 23:15,1.4
08/07/2017 23:30,1.42
08/07/2017 23:45,1.46
08/07/2017 00:00,1.42
08/08/2017 00:15,1.42
08/08/2017 00:30,1.4
08/08/2017 00:45,1.39
08/08/2017 01:00,1.31
08/08/2017 01:15,1.33
08/08/2017 01:30,1.31
08/08/2017 01:45,1.37
08/08/2017 02:00,2.65
08/08/2017 02:15,1.42
08/08/2017 02:30,1.39
08/08/2017 02:45,1.3
08/08/2017 03:00,1.33
08/08/2017 03:15,1.31
08/08/2017 03:30,1.35
08/08/2017 03:45,1.33
08/08/2017 04:00,1.42
08/08/2017 04:15,1.4
08/08/2017 04:30,1.49
08/08/2017 04:45,1.46
08/08/2017 05:00,1.51
08/08/2017 05:15,1.48
08/08/2017 05:30,1.39
08/08/2017 05:45,1.4
08/08/2017 06:00,1.44
08/08/2017 06:15,1.4
08/08/2017 06:30,1.33
08/08/2017 06:45,1.46
08/08/2017 07:00,1.4
08/08/2017 07:15,1.67
08/08/2017 07:30,2.52
08/08/2017 07:45,3.8
08/08/2017 08:00,1.98
08/08/2017 08:15,2.3
08/08/2017 08:30,2.66
08/08/2017 08:45,4.03
08/08/2017 09:00,5.02
08/08/2017 09:15,5.92
08/08/2017 09:30,7.18
08/08/2017 09:45,9.11
08/08/2017 10:00,11.29
08/08/2017 10:15,12.46
08/08/2017 10:30,12.91
08/08/2017 10:45,12.19
08/08/2017 11:00,11.7
08/08/2017 11:15,9.81
08/08/2017 11:30,8.87
08/08/2017 11:45,8.87
08/08/2017 12:00,7.07
08/08/2017 12:15,4.36
08/08/2017 12:30,4.25
08/08/2017 12:45,4.77
08/08/2017 13:00,4.39
08/08/2017 13:15,8.33
08/08/2017 13:30,11.59
08/08/2017 13:45,10.87
08/08/2017 14:00,10.62
08/08/2017 14:15,10.46
08/08/2017 14:30,9.49
08/08/2017 14:45,10.04
08/08/2017 15:00,9.54
08/08/2017 15:15,9.61
08/08/2017 15:30,9.4
08/08/2017 15:45,7.63
08/08/2017 16:00,6.7
08/08/2017 16:15,4.45
08/08/2017 16:30,4.61
08/08/2017 16:45,4.21
08/08/2017 17:00,4.59
08/08/2017 17:15,7.11
08/08/2017 17:30,6.88
08/08/2017 17:45,6.84
08/08/2017 18:00,6.32
08/08/2017 18:15,4.12
08/08/2017 18:30,3.69
08/08/2017 18:45,4.43
08/08/2017 19:00,5.0
08/08/2017 19:15,6.86
08/08/2017 19:30,6.68
08/08/2017 19:45,6.73
08/08/2017 20:00,6.12
08/08/2017 20:15,6.35
08/08/2017 20:30,3.91
08/08/2017 20:45,2.56
08/08/2017 21:00,2.27
08/08/2017 21:15,2.05
08/08/2017 21:30,1.94
08/08/2017 21:45,1.4
08/08/2017 22:00,1.37
08/08/2017 22:15,1.39
08/08/2017 22:30,1.35
08/08/2017 22:45,1.4
08/08/2017 23:00,1.26
08/08/2017 23:15,1.31
08/08/2017 23:30,1.37
08/08/2017 23:45,1.39
08/08/2017 00:00,1.37
08/09/2017 00:15,2.63
08/09/2017 00:30,1.39
08/09/2017 00:45,1.28
08/09/2017 01:00,1.31
08/09/2017 01:15,1.35
08/09/2017 01:30,1.26
08/09/2017 01:45,1.3
08/09/2017 02:00,1.28
08/09/2017 02:15,1.31
08/09/2017 02:30,1.28
08/09/2017 02:45,1.35
08/09/2017 03:00,1.39
08/09/2017 03:15,1.33
08/09/2017 03:30,1.39
08/09/2017 03:45,1.37
08/09/2017 04:00,1.39
08/09/2017 04:15,1.37
08/09/2017 04:30,1.3
08/09/2017 04:45,1.46
08/09/2017 05:00,1.37
08/09/2017 05:15,1.39
08/09/2017 05:30,1.44
08/09/2017 05:45,1.26
08/09/2017 06:00,2.68
08/09/2017 06:15,1.4
08/09/2017 06:30,1.49
08/09/2017 06:45,1.48
08/09/2017 07:00,1.35
08/09/2017 07:15,1.96
08/09/2017 07:30,2.02
08/09/2017 07:45,2.2
08/09/2017 08:00,2.45
08/09/2017 08:15,2.56
08/09/2017 08:30,3.64
08/09/2017 08:45,3.29
08/09/2017 09:00,4.43
08/09/2017 09:15,5.74
08/09/2017 09:30,6.66
08/09/2017 09:45,7.63
08/09/2017 10:00,6.82
08/09/2017 10:15,6.5
08/09/2017 10:30,6.8
08/09/2017 10:45,7.88
08/09/2017 11:00,10.57
08/09/2017 11:15,10.84
08/09/2017 11:30,11.14
08/09/2017 11:45,10.69
08/09/2017 12:00,10.44
08/09/2017 12:15,6.82
08/09/2017 12:30,6.61
08/09/2017 12:45,7.51
08/09/2017 13:00,5.62
08/09/2017 13:15,5.96
08/09/2017 13:30,5.4
08/09/2017 13:45,4.68
08/09/2017 14:00,5.44
08/09/2017 14:15,5.27
08/09/2017 14:30,5.2
08/09/2017 14:45,5.2
08/09/2017 15:00,4.46
08/09/2017 15:15,2.77
08/09/2017 15:30,2.83
08/09/2017 15:45,2.72
08/09/2017 16:00,2.74
08/09/2017 16:15,2.7
08/09/2017 16:30,2.83
08/09/2017 16:45,2.97
08/09/2017 17:00,5.62
08/09/2017 17:15,5.47
08/09/2017 17:30,4.72
08/09/2017 17:45,2.61
08/09/2017 18:00,2.68
08/09/2017 18:15,2.63
08/09/2017 18:30,2.21
08/09/2017 18:45,2.09
08/09/2017 19:00,1.96
08/09/2017 19:15,1.87
08/09/2017 19:30,1.49
08/09/2017 19:45,1.3
08/09/2017 20:00,1.22
08/09/2017 20:15,1.24
08/09/2017 20:30,1.12
08/09/2017 20:45,1.26
08/09/2017 21:00,1.39
08/09/2017 21:15,1.35
08/09/2017 21:30,1.37
08/09/2017 21:45,1.35
08/09/2017 22:00,1.37
08/09/2017 22:15,2.74
08/09/2017 22:30,1.3
08/09/2017 22:45,1.33
08/09/2017 23:00,1.28
08/09/2017 23:15,1.28
08/09/2017 23:30,1.35
08/09/2017 23:45,1.26
08/09/2017 00:00,1.26
08/10/2017 00:15,1.3
08/10/2017 00:30,1.39
08/10/2017 00:45,1.33
08/10/2017 01:00,1.46
08/10/2017 01:15,1.42
08/10/2017 01:30,1.37
08/10/2017 01:45,1.46
08/10/2017 02:00,1.39
08/10/2017 02:15,1.44
08/10/2017 02:30,1.4
08/10/2017 02:45,1.44
08/10/2017 03:00,1.39
08/10/2017 03:15,1.42
08/10/2017 03:30,1.49
08/10/2017 03:45,1.85
08/10/2017 04:00,2.72
08/10/2017 04:15,1.39
08/10/2017 04:30,1.4
08/10/2017 04:45,1.46
08/10/2017 05:00,1.44
08/10/2017 05:15,1.4
08/10/2017 05:30,1.42
08/10/2017 05:45,1.46
08/10/2017 06:00,1.37
08/10/2017 06:15,1.39
08/10/2017 06:30,1.51
08/10/2017 06:45,1.6
08/10/2017 07:00,1.71
08/10/2017 07:15,1.49
08/10/2017 07:30,1.78
08/10/2017 07:45,1.84
08/10/2017 08:00,1.96
08/10/2017 08:15,2.32
08/10/2017 08:30,2.75
08/10/2017 08:45,3.11
08/10/2017 09:00,4.66
08/10/2017 09:15,4.82
08/10/2017 09:30,8.77
08/10/2017 09:45,8.42
08/10/2017 10:00,10.35
08/10/2017 10:15,10.6
08/10/2017 10:30,10.85
08/10/2017 10:45,10.91
08/10/2017 11:00,10.46
08/10/2017 11:15,9.59
08/10/2017 11:30,8.84
08/10/2017 11:45,6.8
08/10/2017 12:00,4.82
08/10/2017 12:15,3.33
08/10/2017 12:30,3.2
08/10/2017 12:45,3.15
08/10/2017 13:00,3.2
08/10/2017 13:15,3.46
08/10/2017 13:30,3.64
08/10/2017 13:45,3.85
08/10/2017 14:00,7.36
08/10/2017 14:15,8.57
08/10/2017 14:30,8.5
08/10/2017 14:45,8.55
08/10/2017 15:00,8.78
08/10/2017 15:15,10.28
08/10/2017 15:30,9.07
08/10/2017 15:45,9.11
08/10/2017 16:00,8.46
08/10/2017 16:15,7.27
08/10/2017 16:30,3.92
08/10/2017 16:45,5.36
08/10/2017 17:00,5.2
08/10/2017 17:15,3.62
08/10/2017 17:30,3.2
08/10/2017 17:45,3.31
08/10/2017 18:00,3.01
08/10/2017 18:15,3.04
08/10/2017 18:30,3.35
08/10/2017 18:45,3.65
08/10/2017 19:00,5.18
08/10/2017 19:15,6.39
08/10/2017 19:30,5.92
08/10/2017 19:45,5.49
08/10/2017 20:00,5.58
08/10/2017 20:15,5.2
08/10/2017 20:30,5.22
08/10/2017 20:45,4.75
08/10/2017 21:00,1.82
08/10/2017 21:15,1.84
08/10/2017 21:30,1.44
08/10/2017 21:45,1.3
08/10/2017 22:00,1.37
08/10/2017 22:15,1.76
08/10/2017 22:30,1.48
08/10/2017 22:45,1.46
08/10/2017 23:00,1.35
08/10/2017 23:15,1.46
08/10/2017 23:30,1.37
08/10/2017 23:45,1.33
08/10/2017 00:00,1.35
08/11/2017 00:15,1.33
08/11/2017 00:30,1.39
08/11/2017 00:45,1.37
08/11/2017 01:00,1.33
08/11/2017 01:15,1.35
08/11/2017 01:30,1.37
08/11/2017 01:45,1.31
08/11/2017 02:00,1.28
08/11/2017 02:15,2.65
08/11/2017 02:30,1.39
08/11/2017 02:45,1.39
08/11/2017 03:00,1.31
08/11/2017 03:15,1.4
08/11/2017 03:30,1.35
08/11/2017 03:45,1.35
08/11/2017 04:00,1.37
08/11/2017 04:15,1.28
08/11/2017 04:30,1.37
08/11/2017 04:45,1.42
08/11/2017 05:00,1.37
08/11/2017 05:15,1.42
08/11/2017 05:30,1.44
08/11/2017 05:45,1.42
08/11/2017 06:00,1.55
08/11/2017 06:15,1.57
08/11/2017 06:30,1.55
08/11/2017 06:45,1.31
08/11/2017 07:00,1.26
08/11/2017 07:15,1.62
08/11/2017 07:30,1.82
08/11/2017 07:45,2.63
08/11/2017 08:00,2.45
08/11/2017 08:15,2.18
08/11/2017 08:30,2.47
08/11/2017 08:45,2.77
08/11/2017 09:00,3.06
08/11/2017 09:15,2.99
08/11/2017 09:30,4.03
08/11/2017 09:45,4.43
08/11/2017 10:00,6.82
08/11/2017 10:15,7.67
08/11/2017 10:30,7.54
08/11/2017 10:45,7.33
08/11/2017 11:00,7.13
08/11/2017 11:15,5.89
08/11/2017 11:30,5.24
08/11/2017 11:45,5.35
08/11/2017 12:00,5.56
08/11/2017 12:15,7.24
08/11/2017 12:30,6.77
08/11/2017 12:45,6.84
08/11/2017 13:00,6.23
08/11/2017 13:15,3.51
08/11/2017 13:30,5.15
08/11/2017 13:45,4.7
08/11/2017 14:00,4.07
08/11/2017 14:15,3.17
08/11/2017 14:30,3.83
08/11/2017 14:45,3.98
08/11/2017 15:00,5.85
08/11/2017 15:15,5.99
08/11/2017 15:30,6.17
08/11/2017 15:45,5.15
08/11/2017 16:00,2.83
08/11/2017 16:15,2.95
08/11/2017 16:30,2.84
08/11/2017 16:45,3.1
08/11/2017 17:00,3.4
08/11/2017 17:15,3.44
08/11/2017 17:30,3.46
08/11/2017 17:45,4.95
08/11/2017 18:00,4.25
08/11/2017 18:15,2.59
08/11/2017 18:30,2.66
08/11/2017 18:45,2.68
08/11/2017 19:00,3.46
08/11/2017 19:15,1.96
08/11/2017 19:30,2.03
08/11/2017 19:45,2.03
08/11/2017 20:00,2.07
08/11/2017 20:15,2.09
08/11/2017 20:30,2.03
08/11/2017 20:45,1.96
08/11/2017 21:00,1.96
08/11/2017 21:15,1.84
08/11/2017 21:30,1.46
08/11/2017 21:45,1.31
08/11/2017 22:00,1.26
08/11/2017 22:15,1.37
08/11/2017 22:30,1.35
08/11/2017 22:45,1.39
08/11/2017 23:00,1.39
08/11/2017 23:15,1.35
08/11/2017 23:30,1.46
08/11/2017 23:45,1.37
08/11/2017 00:00,1.44
08/12/2017 00:15,1.44
08/12/2017 00:30,2.66
08/12/2017 00:45,1.24
08/12/2017 01:00,1.24
08/12/2017 01:15,1.19
08/12/2017 01:30,1.26
08/12/2017 01:45,1.3
08/12/2017 02:00,1.26
08/12/2017 02:15,1.37
08/12/2017 02:30,1.37
08/12/2017 02:45,1.49
08/12/2017 03:00,1.53
08/12/2017 03:15,1.57
08/12/2017 03:30,1.44
08/12/2017 03:45,1.37
08/12/2017 04:00,1.3
08/12/2017 04:15,1.31
08/12/2017 04:30,1.3
08/12/2017 04:45,1.26
08/12/2017 05:00,1.19
08/12/2017 05:15,1.26
08/12/2017 05:30,1.3
08/12/2017 05:45,1.28
08/12/2017 06:00,1.3
08/12/2017 06:15,1.31
08/12/2017 06:30,2.7
08/12/2017 06:45,1.31
08/12/2017 07:00,1.33
08/12/2017 07:15,1.31
08/12/2017 07:30,1.28
08/12/2017 07:45,1.31
08/12/2017 08:00,1.26
08/12/2017 08:15,1.35
08/12/2017 08:30,1.35
08/12/2017 08:45,1.39
08/12/2017 09:00,1.53
08/12/2017 09:15,4.43
08/12/2017 09:30,4.34
08/12/2017 09:45,4.79
08/12/2017 10:00,5.9
08/12/2017 10:15,4.95
08/12/2017 10:30,6.26
08/12/2017 10:45,6.14
08/12/2017 11:00,6.43
08/12/2017 11:15,6.39
08/12/2017 11:30,6.35
08/12/2017 11:45,5.06
08/12/2017 12:00,4.82
08/12/2017 12:15,6.1
08/12/2017 12:30,4.59
08/12/2017 12:45,4.72
08/12/2017 13:00,1.96
08/12/2017 13:15,1.71
08/12/2017 13:30,1.6
08/12/2017 13:45,1.58
08/12/2017 14:00,1.57
08/12/2017 14:15,1.6
08/12/2017 14:30,1.58
08/12/2017 14:45,1.6
08/12/2017 15:00,1.62
08/12/2017 15:15,1.55
08/12/2017 15:30,1.62
08/12/2017 15:45,2.83
08/12/2017 16:00,1.48
08/12/2017 16:15,1.42
08/12/2017 16:30,1.48
08/12/2017 16:45,1.44
08/12/2017 17:00,1.53
08/12/2017 17:15,1.49
08/12/2017 17:30,1.48
08/12/2017 17:45,1.44
08/12/2017 18:00,1.44
08/12/2017 18:15,1.44
08/12/2017 18:30,1.33
08/12/2017 18:45,1.24
08/12/2017 19:00,1.26
08/12/2017 19:15,1.22
08/12/2017 19:30,1.22
08/12/2017 19:45,1.31
08/12/2017 20:00,1.37
08/12/2017 20:15,2.7
08/12/2017 20:30,1.42
08/12/2017 20:45,1.53
08/12/2017 21:00,1.46
08/12/2017 21:15,1.53
08/12/2017 21:30,1.48
08/12/2017 21:45,1.55
08/12/2017 22:00,1.42
08/12/2017 22:15,1.39
08/12/2017 22:30,1.39
08/12/2017 22:45,1.37
08/12/2017 23:00,1.39
08/12/2017 23:15,1.44
08/12/2017 23:30,1.4
08/12/2017 23:45,1.55
08/12/2017 00:00,1.51
08/13/2017 00:15,1.51
08/13/2017 00:30,1.62
08/13/2017 00:45,1.94
08/13/2017 01:00,2.43
08/13/2017 01:15,1.49
08/13/2017 01:30,1.44
08/13/2017 01:45,1.39
08/13/2017 02:00,1.35
08/13/2017 02:15,1.39
08/13/2017 02:30,1.42
08/13/2017 02:45,1.48
08/13/2017 03:00,1.53
08/13/2017 03:15,1.53
08/13/2017 03:30,1.37
08/13/2017 03:45,1.44
08/13/2017 04:00,1.48
08/13/2017 04:15,1.4
08/13/2017 04:30,1.44
08/13/2017 04:45,1.35
08/13/2017 05:00,1.39
08/13/2017 05:15,1.44
08/13/2017 05:30,2.81
08/13/2017 05:45,1.46
08/13/2017 06:00,1.57
08/13/2017 06:15,1.51
08/13/2017 06:30,1.58
08/13/2017 06:45,1.55
08/13/2017 07:00,1.44
08/13/2017 07:15,1.57
08/13/2017 07:30,1.44
08/13/2017 07:45,1.53
08/13/2017 08:00,1.55
08/13/2017 08:15,1.55
08/13/2017 08:30,1.53
08/13/2017 08:45,1.78
08/13/2017 09:00,1.91
08/13/2017 09:15,1.85
08/13/2017 09:30,1.85
08/13/2017 09:45,1.85
08/13/2017 10:00,2.23
08/13/2017 10:15,2.3
08/13/2017 10:30,2.68
08/13/2017 10:45,1.71
08/13/2017 11:00,1.76
08/13/2017 11:15,1.8
08/13/2017 11:30,1.78
08/13/2017 11:45,1.75
08/13/2017 12:00,1.66
08/13/2017 12:15,1.64
08/13/2017 12:30,1.73
08/13/2017 12:45,1.66
08/13/2017 13:00,1.49
08/13/2017 13:15,1.55
08/13/2017 13:30,1.62
08/13/2017 13:45,1.62
08/13/2017 14:00,1.64
08/13/2017 14:15,1.57
08/13/2017 14:30,1.6
08/13/2017 14:45,1.64
08/13/2017 15:00,1.62
08/13/2017 15:15,1.69
08/13/2017 15:30,1.69
08/13/2017 15:45,1.64
08/13/2017 16:00,3.08
08/13/2017 16:15,1.73
08/13/2017 16:30,1.48
08/13/2017 16:45,1.44
08/13/2017 17:00,1.49
08/13/2017 17:15,1.46
08/13/2017 17:30,1.4
08/13/2017 17:45,1.35
08/13/2017 18:00,1.39
08/13/2017 18:15,1.3
08/13/2017 18:30,1.37
08/13/2017 18:45,1.37
08/13/2017 19:00,1.33
08/13/2017 19:15,1.39
08/13/2017 19:30,1.39
08/13/2017 19:45,1.48
08/13/2017 20:00,1.53
08/13/2017 20:15,1.53
08/13/2017 20:30,1.44
08/13/2017 20:45,2.77
08/13/2017 21:00,1.46
08/13/2017 21:15,1.48
08/13/2017 21:30,1.48
08/13/2017 21:45,1.4
08/13/2017 22:00,1.42
08/13/2017 22:15,1.48
08/13/2017 22:30,1.42
08/13/2017 22:45,1.48
08/13/2017 23:00,1.4
08/13/2017 23:15,1.48
08/13/2017 23:30,1.49
08/13/2017 23:45,1.46
08/13/2017 00:00,1.44
08/14/2017 00:15,1.48
08/14/2017 00:30,1.44
08/14/2017 00:45,1.48
08/14/2017 01:00,1.46
08/14/2017 01:15,1.42
08/14/2017 01:30,2.81
08/14/2017 01:45,1.44
08/14/2017 02:00,1.42
08/14/2017 02:15,1.44
08/14/2017 02:30,1.49
08/14/2017 02:45,1.48
08/14/2017 03:00,1.53
08/14/2017 03:15,1.49
08/14/2017 03:30,1.48
08/14/2017 03:45,1.48
08/14/2017 04:00,1.67
08/14/2017 04:15,1.66
08/14/2017 04:30,1.6
08/14/2017 04:45,1.55
08/14/2017 05:00,1.51
08/14/2017 05:15,1.48
08/14/2017 05:30,1.51
08/14/2017 05:45,1.42
08/14/2017 06:00,1.48
08/14/2017 06:15,1.46
08/14/2017 06:30,2.84
08/14/2017 06:45,1.62
08/14/2017 07:00,1.57
08/14/2017 07:15,1.89
08/14/2017 07:30,2.2
08/14/2017 07:45,2.66
08/14/2017 08:00,2.45
08/14/2017 08:15,2.38
08/14/2017 08:30,2.74
08/14/2017 08:45,2.93
08/14/2017 09:00,4.84
08/14/2017 09:15,5.06
08/14/2017 09:30,5.44
08/14/2017 09:45,7.34
08/14/2017 10:00,8.8
08/14/2017 10:15,10.67
08/14/2017 10:30,10.31
08/14/2017 10:45,9.49
08/14/2017 11:00,9.83
08/14/2017 11:15,9.65
08/14/2017 11:30,8.91
08/14/2017 11:45,9.2
08/14/2017 12:00,10.98
08/14/2017 12:15,9.34
08/14/2017 12:30,8.86
08/14/2017 12:45,6.34
08/14/2017 13:00,6.66
08/14/2017 13:15,6.64
08/14/2017 13:30,6.12
08/14/2017 13:45,5.83
08/14/2017 14:00,5.81
08/14/2017 14:15,6.3
