Time,Power
08/07/2017 00:15,7.43
08/07/2017 00:30,7.15
08/07/2017 00:45,6.42
08/07/2017 01:00,5.98
08/07/2017 01:15,4.78
08/07/2017 01:30,4.6
08/07/2017 01:45,4.0
08/07/2017 02:00,6.17
08/07/2017 02:15,4.81
08/07/2017 02:30,3.58
08/07/2017 02:45,3.23
08/07/2017 03:00,2.36
08/07/2017 03:15,1.48
08/07/2017 03:30,1.61
08/07/2017 03:45,1.73
08/07/2017 04:00,1.73
08/07/2017 04:15,1.61
08/07/2017 04:30,1.45
08/07/2017 04:45,1.7
08/07/2017 05:00,1.72
08/07/2017 05:15,1.39
08/07/2017 05:30,1.64
08/07/2017 05:45,2.51
08/07/2017 06:00,2.51
08/07/2017 06:15,2.41
08/07/2017 06:30,2.33
08/07/2017 06:45,2.2
08/07/2017 07:00,1.87
08/07/2017 07:15,2.75
08/07/2017 07:30,4.32
08/07/2017 07:45,7.0
08/07/2017 08:00,6.25
08/07/2017 08:15,4.32
08/07/2017 08:30,5.05
08/07/2017 08:45,2.46
08/07/2017 09:00,1.15
08/07/2017 09:15,1.07
08/07/2017 09:30,1.15
08/07/2017 09:45,1.1
08/07/2017 10:00,1.07
08/07/2017 10:15,1.18
08/07/2017 10:30,1.06
08/07/2017 10:45,1.1
08/07/2017 11:00,1.15
08/07/2017 11:15,1.1
08/07/2017 11:30,1.1
08/07/2017 11:45,1.1
08/07/2017 12:00,1.1
08/07/2017 12:15,1.18
08/07/2017 12:30,1.08
08/07/2017 12:45,1.13
08/07/2017 13:00,1.12
08/07/2017 13:15,1.08
08/07/2017 13:30,1.13
08/07/2017 13:45,1.1
08/07/2017 14:00,1.12
08/07/2017 14:15,2.94
08/07/2017 14:30,3.11
08/07/2017 14:45,1.12
08/07/2017 15:00,1.09
08/07/2017 15:15,1.1
08/07/2017 15:30,1.08
08/07/2017 15:45,1.13
08/07/2017 16:00,1.09
08/07/2017 16:15,1.09
08/07/2017 16:30,1.08
08/07/2017 16:45,1.1
08/07/2017 17:00,1.1
08/07/2017 17:15,1.13
08/07/2017 17:30,1.12
08/07/2017 17:45,1.06
08/07/2017 18:00,1.09
08/07/2017 18:15,1.04
08/07/2017 18:30,1.12
08/07/2017 18:45,1.08
08/07/2017 19:00,1.08
08/07/2017 19:15,1.2
08/07/2017 19:30,1.27
08/07/2017 19:45,1.2
