Time,Power
08/07/2017 00:15,1.49
08/07/2017 00:30,1.4
08/07/2017 00:45,1.37
08/07/2017 01:00,1.37
08/07/2017 01:15,1.48
08/07/2017 01:30,1.4
08/07/2017 01:45,1.45
08/07/2017 02:00,1.37
08/07/2017 02:15,1.36
08/07/2017 02:30,1.38
08/07/2017 02:45,1.34
08/07/2017 03:00,1.64
08/07/2017 03:15,1.56
08/07/2017 03:30,1.45
08/07/2017 03:45,1.69
08/07/2017 04:00,1.87
08/07/2017 04:15,1.49
08/07/2017 04:30,1.38
08/07/2017 04:45,1.39
08/07/2017 05:00,1.46
08/07/2017 05:15,1.69
08/07/2017 05:30,1.44
08/07/2017 05:45,1.4
08/07/2017 06:00,1.5
08/07/2017 06:15,1.36
08/07/2017 06:30,1.25
08/07/2017 06:45,1.32
08/07/2017 07:00,2.02
08/07/2017 07:15,5.21
08/07/2017 07:30,3.26
08/07/2017 07:45,3.35
08/07/2017 08:00,3.92
08/07/2017 08:15,3.52
08/07/2017 08:30,4.38
08/07/2017 08:45,4.33
08/07/2017 09:00,5.3
08/07/2017 09:15,5.56
08/07/2017 09:30,6.32
08/07/2017 09:45,7.76
08/07/2017 10:00,11.41
08/07/2017 10:15,13.1
08/07/2017 10:30,12.14
08/07/2017 10:45,12.94
08/07/2017 11:00,10.7
08/07/2017 11:15,11.12
08/07/2017 11:30,12.56
08/07/2017 11:45,12.74
08/07/2017 12:00,11.35
08/07/2017 12:15,8.29
08/07/2017 12:30,7.78
08/07/2017 12:45,7.67
08/07/2017 13:00,8.15
08/07/2017 13:15,8.33
08/07/2017 13:30,8.42
08/07/2017 13:45,8.56
08/07/2017 14:00,9.84
08/07/2017 14:15,9.29
08/07/2017 14:30,8.94
08/07/2017 14:45,8.72
08/07/2017 15:00,8.81
08/07/2017 15:15,8.6
08/07/2017 15:30,12.94
08/07/2017 15:45,12.3
08/07/2017 16:00,13.74
08/07/2017 16:15,14.57
08/07/2017 16:30,12.46
08/07/2017 16:45,11.89
08/07/2017 17:00,12.12
08/07/2017 17:15,10.91
08/07/2017 17:30,8.4
08/07/2017 17:45,7.62
08/07/2017 18:00,7.94
08/07/2017 18:15,6.72
08/07/2017 18:30,7.15
08/07/2017 18:45,5.52
08/07/2017 19:00,5.46
08/07/2017 19:15,5.48
08/07/2017 19:30,6.36
08/07/2017 19:45,6.36
08/07/2017 20:00,6.14
08/07/2017 20:15,7.16
08/07/2017 20:30,6.35
08/07/2017 20:45,6.66
08/07/2017 21:00,6.34
08/07/2017 21:15,6.24
08/07/2017 21:30,5.81
08/07/2017 21:45,5.71
08/07/2017 22:00,5.84
08/07/2017 22:15,3.44
