Time,Power
08/07/2017 00:15,3.71
08/07/2017 00:30,3.54
08/07/2017 00:45,3.73
08/07/2017 01:00,3.37
08/07/2017 01:15,3.49
08/07/2017 01:30,3.35
08/07/2017 01:45,3.13
08/07/2017 02:00,3.14
08/07/2017 02:15,3.1
08/07/2017 02:30,4.24
08/07/2017 02:45,2.98
08/07/2017 03:00,3.14
08/07/2017 03:15,3.14
08/07/2017 03:30,3.17
08/07/2017 03:45,3.05
08/07/2017 04:00,3.1
08/07/2017 04:15,3.02
08/07/2017 04:30,2.93
08/07/2017 04:45,3.06
08/07/2017 05:00,4.0
08/07/2017 05:15,3.1
08/07/2017 05:30,2.96
08/07/2017 05:45,3.02
08/07/2017 06:00,3.05
08/07/2017 06:15,3.01
08/07/2017 06:30,3.02
08/07/2017 06:45,2.81
08/07/2017 07:00,2.95
08/07/2017 07:15,3.64
08/07/2017 07:30,3.48
08/07/2017 07:45,2.9
08/07/2017 08:00,3.04
08/07/2017 08:15,3.13
08/07/2017 08:30,4.55
08/07/2017 08:45,4.45
08/07/2017 09:00,4.36
08/07/2017 09:15,4.19
08/07/2017 09:30,4.09
08/07/2017 09:45,5.24
08/07/2017 10:00,4.61
08/07/2017 10:15,4.64
08/07/2017 10:30,4.4
08/07/2017 10:45,4.86
08/07/2017 11:00,4.61
08/07/2017 11:15,4.27
08/07/2017 11:30,3.96
08/07/2017 11:45,4.31
08/07/2017 12:00,3.84
08/07/2017 12:15,4.92
08/07/2017 12:30,4.03
08/07/2017 12:45,4.24
08/07/2017 13:00,2.78
08/07/2017 13:15,2.06
08/07/2017 13:30,2.33
08/07/2017 13:45,2.38
08/07/2017 14:00,2.28
08/07/2017 14:15,2.38
08/07/2017 14:30,2.68
08/07/2017 14:45,3.71
08/07/2017 15:00,2.7
08/07/2017 15:15,2.46
08/07/2017 15:30,2.58
08/07/2017 15:45,2.86
08/07/2017 16:00,2.82
08/07/2017 16:15,3.23
08/07/2017 16:30,3.02
08/07/2017 16:45,3.06
08/07/2017 17:00,3.05
08/07/2017 17:15,3.11
08/07/2017 17:30,4.6
08/07/2017 17:45,3.44
08/07/2017 18:00,3.52
08/07/2017 18:15,3.11
08/07/2017 18:30,2.92
08/07/2017 18:45,3.11
08/07/2017 19:00,3.01
08/07/2017 19:15,3.12
08/07/2017 19:30,3.18
08/07/2017 19:45,3.04
08/07/2017 20:00,4.15
08/07/2017 20:15,3.23
08/07/2017 20:30,3.17
08/07/2017 20:45,3.31
08/07/2017 21:00,3.19
08/07/2017 21:15,3.11
08/07/2017 21:30,3.24
08/07/2017 21:45,3.11
08/07/2017 22:00,3.08
08/07/2017 22:15,2.9
08/07/2017 22:30,4.4
08/07/2017 22:45,3.19
08/07/2017 23:00,3.2
08/07/2017 23:15,3.13
08/07/2017 23:30,3.1
08/07/2017 23:45,3.08
08/07/2017 00:00,3.18
08/08/2017 00:15,3.18
08/08/2017 00:30,3.12
08/08/2017 00:45,3.08
08/08/2017 01:00,3.38
08/08/2017 01:15,3.58
08/08/2017 01:30,2.84
08/08/2017 01:45,3.0
08/08/2017 02:00,2.96
08/08/2017 02:15,2.96
08/08/2017 02:30,2.88
08/08/2017 02:45,3.07
08/08/2017 03:00,2.87
08/08/2017 03:15,2.94
08/08/2017 03:30,3.04
08/08/2017 03:45,3.94
08/08/2017 04:00,3.04
08/08/2017 04:15,2.84
08/08/2017 04:30,2.98
08/08/2017 04:45,2.81
08/08/2017 05:00,2.78
