Time,Power
08/07/2017 00:15,62.47
08/07/2017 00:30,62.54
08/07/2017 00:45,62.47
08/07/2017 01:00,54.91
08/07/2017 01:15,53.06
08/07/2017 01:30,52.54
08/07/2017 01:45,51.22
08/07/2017 02:00,51.1
08/07/2017 02:15,50.98
08/07/2017 02:30,51.38
08/07/2017 02:45,51.7
08/07/2017 03:00,51.02
08/07/2017 03:15,50.98
08/07/2017 03:30,51.12
08/07/2017 03:45,51.05
08/07/2017 04:00,50.98
08/07/2017 04:15,51.05
08/07/2017 04:30,51.02
08/07/2017 04:45,50.93
08/07/2017 05:00,50.74
08/07/2017 05:15,50.76
08/07/2017 05:30,49.85
08/07/2017 05:45,49.22
08/07/2017 06:00,49.3
08/07/2017 06:15,49.85
08/07/2017 06:30,52.66
08/07/2017 06:45,51.55
08/07/2017 07:00,49.92
08/07/2017 07:15,49.87
08/07/2017 07:30,49.87
08/07/2017 07:45,51.5
08/07/2017 08:00,51.46
08/07/2017 08:15,51.84
08/07/2017 08:30,61.94
08/07/2017 08:45,57.31
08/07/2017 09:00,56.57
08/07/2017 09:15,56.57
08/07/2017 09:30,57.1
08/07/2017 09:45,56.95
08/07/2017 10:00,56.9
08/07/2017 10:15,57.14
08/07/2017 10:30,61.01
08/07/2017 10:45,68.78
08/07/2017 11:00,68.9
08/07/2017 11:15,63.29
08/07/2017 11:30,65.76
08/07/2017 11:45,69.6
08/07/2017 12:00,67.49
08/07/2017 12:15,60.26
08/07/2017 12:30,68.83
08/07/2017 12:45,65.33
08/07/2017 13:00,60.22
08/07/2017 13:15,52.2
08/07/2017 13:30,52.37
08/07/2017 13:45,52.27
08/07/2017 14:00,51.79
08/07/2017 14:15,52.18
08/07/2017 14:30,52.01
08/07/2017 14:45,52.49
08/07/2017 15:00,53.28
08/07/2017 15:15,54.12
08/07/2017 15:30,53.35
08/07/2017 15:45,52.42
08/07/2017 16:00,52.49
08/07/2017 16:15,52.25
08/07/2017 16:30,52.18
08/07/2017 16:45,52.49
08/07/2017 17:00,52.44
08/07/2017 17:15,52.51
08/07/2017 17:30,52.3
08/07/2017 17:45,52.34
08/07/2017 18:00,52.3
08/07/2017 18:15,52.73
08/07/2017 18:30,53.54
08/07/2017 18:45,56.11
08/07/2017 19:00,62.93
08/07/2017 19:15,62.76
08/07/2017 19:30,62.3
08/07/2017 19:45,63.74
08/07/2017 20:00,65.74
08/07/2017 20:15,64.7
08/07/2017 20:30,63.07
08/07/2017 20:45,62.52
08/07/2017 21:00,51.79
08/07/2017 21:15,51.6
08/07/2017 21:30,51.89
08/07/2017 21:45,51.43
08/07/2017 22:00,51.77
08/07/2017 22:15,51.79
08/07/2017 22:30,51.53
08/07/2017 22:45,51.24
08/07/2017 23:00,51.19
08/07/2017 23:15,50.93
08/07/2017 23:30,51.02
08/07/2017 23:45,51.17
08/07/2017 00:00,51.0
08/08/2017 00:15,50.86
08/08/2017 00:30,51.02
08/08/2017 00:45,52.61
08/08/2017 01:00,52.8
08/08/2017 01:15,51.1
08/08/2017 01:30,50.98
08/08/2017 01:45,51.02
08/08/2017 02:00,51.02
08/08/2017 02:15,50.83
08/08/2017 02:30,50.83
08/08/2017 02:45,50.86
08/08/2017 03:00,50.95
08/08/2017 03:15,50.9
08/08/2017 03:30,50.9
08/08/2017 03:45,50.88
08/08/2017 04:00,50.83
08/08/2017 04:15,50.98
08/08/2017 04:30,51.34
08/08/2017 04:45,51.86
08/08/2017 05:00,56.64
08/08/2017 05:15,50.93
08/08/2017 05:30,50.4
08/08/2017 05:45,49.68
08/08/2017 06:00,49.73
08/08/2017 06:15,51.53
08/08/2017 06:30,51.14
08/08/2017 06:45,50.21
08/08/2017 07:00,49.58
08/08/2017 07:15,49.63
08/08/2017 07:30,49.85
08/08/2017 07:45,50.16
08/08/2017 08:00,50.26
08/08/2017 08:15,49.82
08/08/2017 08:30,49.99
08/08/2017 08:45,50.4
08/08/2017 09:00,50.52
08/08/2017 09:15,50.74
08/08/2017 09:30,50.76
08/08/2017 09:45,51.58
08/08/2017 10:00,50.76
08/08/2017 10:15,50.66
08/08/2017 10:30,58.61
08/08/2017 10:45,62.06
08/08/2017 11:00,61.97
08/08/2017 11:15,62.11
08/08/2017 11:30,62.57
08/08/2017 11:45,63.6
08/08/2017 12:00,61.87
08/08/2017 12:15,61.66
08/08/2017 12:30,62.59
08/08/2017 12:45,59.11
08/08/2017 13:00,50.52
08/08/2017 13:15,50.26
08/08/2017 13:30,50.28
08/08/2017 13:45,50.54
08/08/2017 14:00,50.47
08/08/2017 14:15,50.45
08/08/2017 14:30,51.22
08/08/2017 14:45,52.37
08/08/2017 15:00,51.26
08/08/2017 15:15,51.12
08/08/2017 15:30,50.81
08/08/2017 15:45,51.34
08/08/2017 16:00,51.34
08/08/2017 16:15,55.37
08/08/2017 16:30,55.99
08/08/2017 16:45,55.32
08/08/2017 17:00,55.39
08/08/2017 17:15,55.73
08/08/2017 17:30,55.32
08/08/2017 17:45,55.25
08/08/2017 18:00,52.22
08/08/2017 18:15,50.45
08/08/2017 18:30,50.57
08/08/2017 18:45,50.33
08/08/2017 19:00,50.28
08/08/2017 19:15,50.38
08/08/2017 19:30,55.94
08/08/2017 19:45,64.06
08/08/2017 20:00,64.2
08/08/2017 20:15,63.14
08/08/2017 20:30,63.79
08/08/2017 20:45,63.31
08/08/2017 21:00,63.07
08/08/2017 21:15,62.88
08/08/2017 21:30,62.9
08/08/2017 21:45,62.52
08/08/2017 22:00,52.8
08/08/2017 22:15,51.07
08/08/2017 22:30,51.07
08/08/2017 22:45,51.34
08/08/2017 23:00,51.84
08/08/2017 23:15,51.29
08/08/2017 23:30,51.12
08/08/2017 23:45,50.74
08/08/2017 00:00,50.93
08/09/2017 00:15,50.78
08/09/2017 00:30,51.53
08/09/2017 00:45,52.56
08/09/2017 01:00,51.5
08/09/2017 01:15,50.64
08/09/2017 01:30,50.52
08/09/2017 01:45,50.66
08/09/2017 02:00,50.64
08/09/2017 02:15,50.74
08/09/2017 02:30,50.69
08/09/2017 02:45,50.76
08/09/2017 03:00,50.69
08/09/2017 03:15,50.62
08/09/2017 03:30,50.74
08/09/2017 03:45,50.78
08/09/2017 04:00,50.71
08/09/2017 04:15,50.76
08/09/2017 04:30,50.74
08/09/2017 04:45,50.71
08/09/2017 05:00,50.81
08/09/2017 05:15,50.78
08/09/2017 05:30,50.11
08/09/2017 05:45,50.88
08/09/2017 06:00,50.98
08/09/2017 06:15,49.73
08/09/2017 06:30,50.23
08/09/2017 06:45,50.45
08/09/2017 07:00,49.94
08/09/2017 07:15,49.63
08/09/2017 07:30,49.61
08/09/2017 07:45,51.02
08/09/2017 08:00,54.62
08/09/2017 08:15,49.82
08/09/2017 08:30,51.43
08/09/2017 08:45,51.46
08/09/2017 09:00,52.73
08/09/2017 09:15,56.11
08/09/2017 09:30,57.7
08/09/2017 09:45,57.94
08/09/2017 10:00,63.84
08/09/2017 10:15,68.66
08/09/2017 10:30,68.88
08/09/2017 10:45,68.98
08/09/2017 11:00,69.07
08/09/2017 11:15,69.1
08/09/2017 11:30,68.28
08/09/2017 11:45,69.17
08/09/2017 12:00,69.14
08/09/2017 12:15,68.74
08/09/2017 12:30,60.58
08/09/2017 12:45,58.75
08/09/2017 13:00,59.14
08/09/2017 13:15,57.98
08/09/2017 13:30,57.82
08/09/2017 13:45,57.7
08/09/2017 14:00,57.82
08/09/2017 14:15,57.77
08/09/2017 14:30,58.03
08/09/2017 14:45,57.72
08/09/2017 15:00,57.74
08/09/2017 15:15,57.5
08/09/2017 15:30,57.34
