Time,Power
08/07/2017 00:15,198.96
08/07/2017 00:30,203.64
08/07/2017 00:45,204.96
08/07/2017 01:00,222.24
08/07/2017 01:15,225.48
08/07/2017 01:30,204.72
08/07/2017 01:45,201.0
08/07/2017 02:00,199.92
08/07/2017 02:15,208.68
08/07/2017 02:30,231.6
08/07/2017 02:45,200.64
08/07/2017 03:00,200.64
08/07/2017 03:15,200.88
08/07/2017 03:30,202.2
08/07/2017 03:45,202.32
08/07/2017 04:00,234.0
08/07/2017 04:15,194.76
08/07/2017 04:30,190.32
08/07/2017 04:45,190.68
08/07/2017 05:00,191.52
08/07/2017 05:15,189.6
08/07/2017 05:30,190.08
08/07/2017 05:45,197.76
08/07/2017 06:00,219.24
08/07/2017 06:15,188.4
08/07/2017 06:30,191.04
08/07/2017 06:45,192.24
08/07/2017 07:00,193.8
08/07/2017 07:15,192.96
08/07/2017 07:30,222.12
08/07/2017 07:45,205.68
08/07/2017 08:00,191.16
08/07/2017 08:15,187.32
08/07/2017 08:30,194.4
08/07/2017 08:45,197.04
08/07/2017 09:00,233.28
08/07/2017 09:15,204.48
08/07/2017 09:30,201.6
08/07/2017 09:45,201.48
08/07/2017 10:00,218.04
08/07/2017 10:15,229.56
08/07/2017 10:30,201.0
08/07/2017 10:45,199.8
08/07/2017 11:00,223.08
08/07/2017 11:15,220.32
08/07/2017 11:30,200.52
08/07/2017 11:45,204.6
08/07/2017 12:00,220.2
08/07/2017 12:15,234.72
08/07/2017 12:30,207.0
08/07/2017 12:45,207.48
08/07/2017 13:00,208.68
08/07/2017 13:15,212.28
08/07/2017 13:30,252.0
08/07/2017 13:45,217.8
08/07/2017 14:00,214.08
08/07/2017 14:15,214.8
08/07/2017 14:30,215.76
08/07/2017 14:45,215.28
08/07/2017 15:00,247.68
08/07/2017 15:15,223.08
08/07/2017 15:30,215.76
08/07/2017 15:45,215.4
08/07/2017 16:00,213.84
08/07/2017 16:15,237.24
08/07/2017 16:30,235.08
08/07/2017 16:45,214.08
