Time,Power
08/07/2017 00:15,5.81
08/07/2017 00:30,7.51
08/07/2017 00:45,7.38
08/07/2017 01:00,7.16
08/07/2017 01:15,6.97
08/07/2017 01:30,6.48
08/07/2017 01:45,6.14
08/07/2017 02:00,6.8
08/07/2017 02:15,6.34
08/07/2017 02:30,6.57
08/07/2017 02:45,6.05
08/07/2017 03:00,6.53
08/07/2017 03:15,3.74
08/07/2017 03:30,3.82
08/07/2017 03:45,3.76
08/07/2017 04:00,4.3
08/07/2017 04:15,4.23
08/07/2017 04:30,4.12
08/07/2017 04:45,4.01
08/07/2017 05:00,4.09
08/07/2017 05:15,4.37
08/07/2017 05:30,3.91
08/07/2017 05:45,3.22
08/07/2017 06:00,3.64
08/07/2017 06:15,3.02
08/07/2017 06:30,2.7
08/07/2017 06:45,2.61
08/07/2017 07:00,2.16
08/07/2017 07:15,4.18
08/07/2017 07:30,2.56
08/07/2017 07:45,4.37
08/07/2017 08:00,4.21
08/07/2017 08:15,4.16
08/07/2017 08:30,5.96
08/07/2017 08:45,7.0
08/07/2017 09:00,2.93
08/07/2017 09:15,2.9
08/07/2017 09:30,2.54
08/07/2017 09:45,2.36
08/07/2017 10:00,2.36
08/07/2017 10:15,2.32
08/07/2017 10:30,2.36
08/07/2017 10:45,2.39
08/07/2017 11:00,2.3
08/07/2017 11:15,2.25
08/07/2017 11:30,2.27
08/07/2017 11:45,2.14
08/07/2017 12:00,2.2
08/07/2017 12:15,2.38
08/07/2017 12:30,2.36
08/07/2017 12:45,2.27
08/07/2017 13:00,2.32
08/07/2017 13:15,2.47
08/07/2017 13:30,2.3
08/07/2017 13:45,2.34
08/07/2017 14:00,2.32
08/07/2017 14:15,2.36
08/07/2017 14:30,2.29
08/07/2017 14:45,2.9
08/07/2017 15:00,2.36
08/07/2017 15:15,2.25
08/07/2017 15:30,2.5
08/07/2017 15:45,2.48
08/07/2017 16:00,2.38
08/07/2017 16:15,2.29
08/07/2017 16:30,2.18
08/07/2017 16:45,2.38
08/07/2017 17:00,2.3
08/07/2017 17:15,2.36
08/07/2017 17:30,2.27
08/07/2017 17:45,2.3
08/07/2017 18:00,2.34
08/07/2017 18:15,2.3
08/07/2017 18:30,2.34
08/07/2017 18:45,2.2
08/07/2017 19:00,2.25
08/07/2017 19:15,2.25
08/07/2017 19:30,2.32
08/07/2017 19:45,1.73
08/07/2017 20:00,1.58
08/07/2017 20:15,2.34
08/07/2017 20:30,2.48
08/07/2017 20:45,2.57
08/07/2017 21:00,2.56
08/07/2017 21:15,2.5
08/07/2017 21:30,2.5
08/07/2017 21:45,2.48
08/07/2017 22:00,2.48
08/07/2017 22:15,2.56
08/07/2017 22:30,2.52
08/07/2017 22:45,2.52
08/07/2017 23:00,2.47
08/07/2017 23:15,2.45
08/07/2017 23:30,2.43
08/07/2017 23:45,2.5
08/07/2017 00:00,2.47
08/08/2017 00:15,2.45
08/08/2017 00:30,2.45
08/08/2017 00:45,2.48
08/08/2017 01:00,2.48
08/08/2017 01:15,2.52
08/08/2017 01:30,2.47
08/08/2017 01:45,2.47
08/08/2017 02:00,3.06
08/08/2017 02:15,3.11
08/08/2017 02:30,3.11
