Time,Power
08/07/2017 00:15,84.06
08/07/2017 00:30,88.92
08/07/2017 00:45,86.58
08/07/2017 01:00,86.58
08/07/2017 01:15,86.94
08/07/2017 01:30,85.68
08/07/2017 01:45,86.22
08/07/2017 02:00,86.58
08/07/2017 02:15,84.78
08/07/2017 02:30,84.6
08/07/2017 02:45,82.98
08/07/2017 03:00,82.98
08/07/2017 03:15,83.16
08/07/2017 03:30,82.62
08/07/2017 03:45,81.72
08/07/2017 04:00,72.36
08/07/2017 04:15,71.64
08/07/2017 04:30,71.28
08/07/2017 04:45,72.0
08/07/2017 05:00,72.72
08/07/2017 05:15,71.82
08/07/2017 05:30,72.9
08/07/2017 05:45,73.44
08/07/2017 06:00,77.76
08/07/2017 06:15,78.66
08/07/2017 06:30,83.88
08/07/2017 06:45,86.58
08/07/2017 07:00,91.62
08/07/2017 07:15,105.3
08/07/2017 07:30,115.56
08/07/2017 07:45,137.16
08/07/2017 08:00,154.26
08/07/2017 08:15,160.74
08/07/2017 08:30,163.44
08/07/2017 08:45,231.48
08/07/2017 09:00,256.32
08/07/2017 09:15,293.4
08/07/2017 09:30,301.32
08/07/2017 09:45,292.14
08/07/2017 10:00,295.02
08/07/2017 10:15,295.92
08/07/2017 10:30,288.18
08/07/2017 10:45,291.42
08/07/2017 11:00,290.52
08/07/2017 11:15,292.5
08/07/2017 11:30,299.16
08/07/2017 11:45,299.88
08/07/2017 12:00,288.9
08/07/2017 12:15,286.38
08/07/2017 12:30,279.0
08/07/2017 12:45,278.28
08/07/2017 13:00,291.06
08/07/2017 13:15,277.38
08/07/2017 13:30,270.18
08/07/2017 13:45,270.18
08/07/2017 14:00,265.5
08/07/2017 14:15,268.56
08/07/2017 14:30,270.18
08/07/2017 14:45,267.48
08/07/2017 15:00,266.22
08/07/2017 15:15,266.04
08/07/2017 15:30,269.82
08/07/2017 15:45,281.88
08/07/2017 16:00,279.72
08/07/2017 16:15,281.34
08/07/2017 16:30,278.82
08/07/2017 16:45,284.04
08/07/2017 17:00,278.46
08/07/2017 17:15,269.64
08/07/2017 17:30,281.88
08/07/2017 17:45,288.9
08/07/2017 18:00,275.94
08/07/2017 18:15,163.8
08/07/2017 18:30,148.86
08/07/2017 18:45,147.78
08/07/2017 19:00,144.72
08/07/2017 19:15,143.28
08/07/2017 19:30,137.88
08/07/2017 19:45,136.62
08/07/2017 20:00,127.08
08/07/2017 20:15,125.82
08/07/2017 20:30,125.64
08/07/2017 20:45,120.42
08/07/2017 21:00,116.1
08/07/2017 21:15,112.86
08/07/2017 21:30,108.36
08/07/2017 21:45,104.58
08/07/2017 22:00,98.82
08/07/2017 22:15,94.32
08/07/2017 22:30,87.84
08/07/2017 22:45,85.5
08/07/2017 23:00,80.82
08/07/2017 23:15,80.46
08/07/2017 23:30,80.1
08/07/2017 23:45,75.78
08/07/2017 00:00,75.24
08/08/2017 00:15,83.34
08/08/2017 00:30,87.12
08/08/2017 00:45,85.32
08/08/2017 01:00,86.22
08/08/2017 01:15,87.3
08/08/2017 01:30,84.06
08/08/2017 01:45,83.16
08/08/2017 02:00,83.52
08/08/2017 02:15,82.62
08/08/2017 02:30,82.98
08/08/2017 02:45,83.34
08/08/2017 03:00,84.06
08/08/2017 03:15,82.8
08/08/2017 03:30,82.98
08/08/2017 03:45,76.5
08/08/2017 04:00,72.0
08/08/2017 04:15,73.26
08/08/2017 04:30,73.62
08/08/2017 04:45,71.64
08/08/2017 05:00,70.92
08/08/2017 05:15,71.46
08/08/2017 05:30,72.0
08/08/2017 05:45,73.98
08/08/2017 06:00,77.04
08/08/2017 06:15,79.92
08/08/2017 06:30,85.5
08/08/2017 06:45,86.4
08/08/2017 07:00,92.7
08/08/2017 07:15,103.5
08/08/2017 07:30,116.46
08/08/2017 07:45,127.26
08/08/2017 08:00,140.04
08/08/2017 08:15,146.34
08/08/2017 08:30,147.6
08/08/2017 08:45,192.96
08/08/2017 09:00,231.84
08/08/2017 09:15,286.02
08/08/2017 09:30,306.72
08/08/2017 09:45,301.14
08/08/2017 10:00,251.82
08/08/2017 10:15,236.52
08/08/2017 10:30,233.82
08/08/2017 10:45,231.66
08/08/2017 11:00,237.06
08/08/2017 11:15,244.08
08/08/2017 11:30,283.86
08/08/2017 11:45,277.38
08/08/2017 12:00,274.86
08/08/2017 12:15,266.04
08/08/2017 12:30,263.88
08/08/2017 12:45,266.76
08/08/2017 13:00,265.5
08/08/2017 13:15,266.22
08/08/2017 13:30,274.32
08/08/2017 13:45,276.3
08/08/2017 14:00,269.28
08/08/2017 14:15,272.7
08/08/2017 14:30,279.9
08/08/2017 14:45,279.18
08/08/2017 15:00,279.72
08/08/2017 15:15,287.1
08/08/2017 15:30,292.14
08/08/2017 15:45,294.66
08/08/2017 16:00,289.44
08/08/2017 16:15,285.3
08/08/2017 16:30,288.0
08/08/2017 16:45,281.52
08/08/2017 17:00,273.78
08/08/2017 17:15,276.66
08/08/2017 17:30,275.58
08/08/2017 17:45,275.58
08/08/2017 18:00,261.18
08/08/2017 18:15,164.7
08/08/2017 18:30,138.06
08/08/2017 18:45,136.8
08/08/2017 19:00,134.28
08/08/2017 19:15,131.04
08/08/2017 19:30,127.8
08/08/2017 19:45,128.34
08/08/2017 20:00,126.18
08/08/2017 20:15,122.76
08/08/2017 20:30,116.28
08/08/2017 20:45,112.14
08/08/2017 21:00,108.9
08/08/2017 21:15,103.14
08/08/2017 21:30,101.88
08/08/2017 21:45,97.2
08/08/2017 22:00,97.2
08/08/2017 22:15,92.7
08/08/2017 22:30,87.84
08/08/2017 22:45,85.14
08/08/2017 23:00,82.62
08/08/2017 23:15,81.0
