Time,Power
08/07/2017 00:15,13.7
08/07/2017 00:30,13.13
08/07/2017 00:45,12.05
08/07/2017 01:00,12.14
08/07/2017 01:15,13.49
08/07/2017 01:30,13.7
08/07/2017 01:45,13.51
08/07/2017 02:00,13.8
08/07/2017 02:15,14.18
08/07/2017 02:30,12.82
08/07/2017 02:45,12.26
08/07/2017 03:00,12.36
08/07/2017 03:15,13.15
08/07/2017 03:30,13.94
08/07/2017 03:45,13.82
08/07/2017 04:00,13.68
08/07/2017 04:15,13.66
08/07/2017 04:30,12.62
08/07/2017 04:45,12.02
08/07/2017 05:00,16.46
08/07/2017 05:15,21.12
08/07/2017 05:30,21.26
08/07/2017 05:45,21.22
08/07/2017 06:00,21.79
08/07/2017 06:15,21.96
08/07/2017 06:30,23.14
08/07/2017 06:45,22.99
08/07/2017 07:00,23.3
08/07/2017 07:15,25.1
08/07/2017 07:30,26.86
08/07/2017 07:45,27.02
08/07/2017 08:00,26.26
08/07/2017 08:15,30.07
08/07/2017 08:30,27.14
08/07/2017 08:45,34.7
08/07/2017 09:00,35.45
08/07/2017 09:15,37.99
08/07/2017 09:30,37.18
08/07/2017 09:45,38.59
08/07/2017 10:00,38.47
08/07/2017 10:15,39.82
08/07/2017 10:30,41.71
08/07/2017 10:45,42.98
08/07/2017 11:00,43.63
08/07/2017 11:15,40.34
08/07/2017 11:30,43.49
08/07/2017 11:45,42.77
08/07/2017 12:00,44.81
08/07/2017 12:15,41.14
08/07/2017 12:30,43.03
08/07/2017 12:45,40.49
08/07/2017 13:00,44.86
08/07/2017 13:15,38.69
08/07/2017 13:30,43.27
08/07/2017 13:45,40.68
08/07/2017 14:00,41.62
08/07/2017 14:15,40.8
08/07/2017 14:30,40.68
08/07/2017 14:45,41.81
08/07/2017 15:00,40.3
08/07/2017 15:15,39.72
08/07/2017 15:30,41.66
08/07/2017 15:45,38.11
08/07/2017 16:00,39.96
08/07/2017 16:15,38.28
08/07/2017 16:30,42.31
08/07/2017 16:45,42.19
08/07/2017 17:00,37.08
08/07/2017 17:15,40.78
08/07/2017 17:30,38.86
08/07/2017 17:45,36.94
08/07/2017 18:00,37.54
08/07/2017 18:15,34.56
08/07/2017 18:30,34.06
08/07/2017 18:45,31.08
08/07/2017 19:00,31.54
08/07/2017 19:15,29.3
08/07/2017 19:30,27.17
08/07/2017 19:45,24.22
08/07/2017 20:00,26.86
08/07/2017 20:15,23.3
08/07/2017 20:30,27.22
08/07/2017 20:45,20.16
08/07/2017 21:00,19.39
08/07/2017 21:15,16.75
08/07/2017 21:30,16.37
08/07/2017 21:45,15.19
08/07/2017 22:00,13.42
08/07/2017 22:15,13.32
08/07/2017 22:30,13.54
08/07/2017 22:45,13.92
08/07/2017 23:00,15.17
08/07/2017 23:15,14.62
08/07/2017 23:30,14.11
08/07/2017 23:45,13.94
08/07/2017 00:00,14.23
08/08/2017 00:15,12.74
08/08/2017 00:30,12.34
08/08/2017 00:45,12.5
08/08/2017 01:00,13.58
08/08/2017 01:15,13.58
08/08/2017 01:30,14.04
08/08/2017 01:45,14.04
08/08/2017 02:00,13.87
08/08/2017 02:15,14.11
08/08/2017 02:30,13.1
08/08/2017 02:45,11.9
