Time,Power
08/07/2017 00:15,6.48
08/07/2017 00:30,6.95
08/07/2017 00:45,8.86
08/07/2017 01:00,9.07
08/07/2017 01:15,7.45
08/07/2017 01:30,6.48
08/07/2017 01:45,6.77
08/07/2017 02:00,9.11
08/07/2017 02:15,8.03
08/07/2017 02:30,7.06
08/07/2017 02:45,6.84
08/07/2017 03:00,7.49
08/07/2017 03:15,9.4
08/07/2017 03:30,8.53
08/07/2017 03:45,7.02
08/07/2017 04:00,7.2
08/07/2017 04:15,7.38
08/07/2017 04:30,9.18
08/07/2017 04:45,8.46
08/07/2017 05:00,6.66
08/07/2017 05:15,6.98
08/07/2017 05:30,6.55
08/07/2017 05:45,8.28
08/07/2017 06:00,7.78
08/07/2017 06:15,6.19
08/07/2017 06:30,7.06
08/07/2017 06:45,7.96
08/07/2017 07:00,15.66
08/07/2017 07:15,23.04
08/07/2017 07:30,15.08
08/07/2017 07:45,12.64
08/07/2017 08:00,12.46
08/07/2017 08:15,11.09
08/07/2017 08:30,20.52
08/07/2017 08:45,23.65
08/07/2017 09:00,28.62
08/07/2017 09:15,38.56
08/07/2017 09:30,36.29
08/07/2017 09:45,46.48
08/07/2017 10:00,47.3
08/07/2017 10:15,38.77
08/07/2017 10:30,41.04
08/07/2017 10:45,40.79
08/07/2017 11:00,48.78
08/07/2017 11:15,51.41
08/07/2017 11:30,43.49
08/07/2017 11:45,42.23
08/07/2017 12:00,38.63
08/07/2017 12:15,43.24
08/07/2017 12:30,50.29
08/07/2017 12:45,41.33
08/07/2017 13:00,39.42
08/07/2017 13:15,40.1
08/07/2017 13:30,46.12
08/07/2017 13:45,50.54
08/07/2017 14:00,41.22
08/07/2017 14:15,40.07
08/07/2017 14:30,37.55
08/07/2017 14:45,41.72
08/07/2017 15:00,52.2
08/07/2017 15:15,42.01
08/07/2017 15:30,40.68
08/07/2017 15:45,39.38
08/07/2017 16:00,42.77
08/07/2017 16:15,51.59
08/07/2017 16:30,45.36
08/07/2017 16:45,38.74
08/07/2017 17:00,34.96
08/07/2017 17:15,27.65
08/07/2017 17:30,27.94
08/07/2017 17:45,29.34
08/07/2017 18:00,19.33
08/07/2017 18:15,12.2
08/07/2017 18:30,11.7
08/07/2017 18:45,10.73
08/07/2017 19:00,17.82
08/07/2017 19:15,20.12
08/07/2017 19:30,10.84
08/07/2017 19:45,10.98
08/07/2017 20:00,11.48
08/07/2017 20:15,9.61
08/07/2017 20:30,7.6
08/07/2017 20:45,7.34
08/07/2017 21:00,7.13
08/07/2017 21:15,7.16
08/07/2017 21:30,7.27
08/07/2017 21:45,7.6
08/07/2017 22:00,7.24
08/07/2017 22:15,7.38
08/07/2017 22:30,7.24
08/07/2017 22:45,7.16
08/07/2017 23:00,6.62
08/07/2017 23:15,6.84
08/07/2017 23:30,6.84
08/07/2017 23:45,6.66
08/07/2017 00:00,7.2
08/08/2017 00:15,6.8
08/08/2017 00:30,7.45
08/08/2017 00:45,9.18
08/08/2017 01:00,8.1
08/08/2017 01:15,7.02
08/08/2017 01:30,6.8
08/08/2017 01:45,7.56
08/08/2017 02:00,9.72
08/08/2017 02:15,8.57
08/08/2017 02:30,6.91
08/08/2017 02:45,6.84
08/08/2017 03:00,7.31
08/08/2017 03:15,9.25
08/08/2017 03:30,8.39
08/08/2017 03:45,6.98
08/08/2017 04:00,6.91
08/08/2017 04:15,7.56
08/08/2017 04:30,8.93
08/08/2017 04:45,8.82
08/08/2017 05:00,6.88
08/08/2017 05:15,6.73
08/08/2017 05:30,7.13
08/08/2017 05:45,8.46
08/08/2017 06:00,7.7
08/08/2017 06:15,6.41
08/08/2017 06:30,7.45
08/08/2017 06:45,8.82
08/08/2017 07:00,19.26
08/08/2017 07:15,23.9
08/08/2017 07:30,15.44
08/08/2017 07:45,13.18
08/08/2017 08:00,12.82
08/08/2017 08:15,18.14
08/08/2017 08:30,38.45
08/08/2017 08:45,40.28
08/08/2017 09:00,41.83
08/08/2017 09:15,44.75
08/08/2017 09:30,41.69
08/08/2017 09:45,43.2
08/08/2017 10:00,54.97
08/08/2017 10:15,49.46
08/08/2017 10:30,44.17
08/08/2017 10:45,41.51
08/08/2017 11:00,42.48
08/08/2017 11:15,50.22
08/08/2017 11:30,55.01
08/08/2017 11:45,43.85
08/08/2017 12:00,41.76
08/08/2017 12:15,41.65
08/08/2017 12:30,42.98
08/08/2017 12:45,56.45
08/08/2017 13:00,46.55
08/08/2017 13:15,41.33
08/08/2017 13:30,41.11
08/08/2017 13:45,42.91
08/08/2017 14:00,53.39
08/08/2017 14:15,53.17
08/08/2017 14:30,42.12
08/08/2017 14:45,42.34
08/08/2017 15:00,42.41
08/08/2017 15:15,46.48
08/08/2017 15:30,56.3
08/08/2017 15:45,45.14
08/08/2017 16:00,42.05
08/08/2017 16:15,42.05
08/08/2017 16:30,43.88
08/08/2017 16:45,50.58
08/08/2017 17:00,50.44
08/08/2017 17:15,40.18
08/08/2017 17:30,39.31
08/08/2017 17:45,32.62
08/08/2017 18:00,21.1
08/08/2017 18:15,25.06
08/08/2017 18:30,18.4
08/08/2017 18:45,12.13
08/08/2017 19:00,10.87
08/08/2017 19:15,10.08
08/08/2017 19:30,7.42
08/08/2017 19:45,7.13
08/08/2017 20:00,7.52
08/08/2017 20:15,7.67
08/08/2017 20:30,7.34
08/08/2017 20:45,7.24
08/08/2017 21:00,7.09
08/08/2017 21:15,7.34
08/08/2017 21:30,7.45
08/08/2017 21:45,7.38
08/08/2017 22:00,7.13
08/08/2017 22:15,7.02
08/08/2017 22:30,6.91
08/08/2017 22:45,7.09
08/08/2017 23:00,6.77
08/08/2017 23:15,6.91
08/08/2017 23:30,6.98
08/08/2017 23:45,6.62
08/08/2017 00:00,7.24
08/09/2017 00:15,6.55
08/09/2017 00:30,6.73
08/09/2017 00:45,8.42
08/09/2017 01:00,8.24
08/09/2017 01:15,6.12
08/09/2017 01:30,6.16
08/09/2017 01:45,6.95
08/09/2017 02:00,8.86
08/09/2017 02:15,7.92
08/09/2017 02:30,7.02
08/09/2017 02:45,7.38
08/09/2017 03:00,7.42
08/09/2017 03:15,9.18
08/09/2017 03:30,8.53
08/09/2017 03:45,6.8
08/09/2017 04:00,7.02
08/09/2017 04:15,7.52
08/09/2017 04:30,8.93
08/09/2017 04:45,8.64
08/09/2017 05:00,6.66
08/09/2017 05:15,6.48
08/09/2017 05:30,6.7
08/09/2017 05:45,8.17
08/09/2017 06:00,7.85
08/09/2017 06:15,6.08
08/09/2017 06:30,6.88
08/09/2017 06:45,8.17
08/09/2017 07:00,13.82
08/09/2017 07:15,23.36
08/09/2017 07:30,20.84
08/09/2017 07:45,16.67
08/09/2017 08:00,14.04
