Time,Power
08/07/2017 00:15,33.79
08/07/2017 00:30,33.79
08/07/2017 00:45,33.89
08/07/2017 01:00,33.77
08/07/2017 01:15,33.89
08/07/2017 01:30,33.62
08/07/2017 01:45,33.91
08/07/2017 02:00,33.6
08/07/2017 02:15,33.79
08/07/2017 02:30,33.65
08/07/2017 02:45,28.8
08/07/2017 03:00,20.52
08/07/2017 03:15,18.26
08/07/2017 03:30,5.18
08/07/2017 03:45,4.37
08/07/2017 04:00,4.75
08/07/2017 04:15,4.44
08/07/2017 04:30,5.09
08/07/2017 04:45,4.61
08/07/2017 05:00,5.02
08/07/2017 05:15,4.75
08/07/2017 05:30,4.39
08/07/2017 05:45,4.01
08/07/2017 06:00,3.7
08/07/2017 06:15,3.94
08/07/2017 06:30,3.67
08/07/2017 06:45,4.22
08/07/2017 07:00,3.84
08/07/2017 07:15,4.42
08/07/2017 07:30,4.25
08/07/2017 07:45,4.61
08/07/2017 08:00,4.75
08/07/2017 08:15,4.92
08/07/2017 08:30,5.59
08/07/2017 08:45,10.49
08/07/2017 09:00,15.98
08/07/2017 09:15,16.03
08/07/2017 09:30,17.42
08/07/2017 09:45,20.35
08/07/2017 10:00,19.92
08/07/2017 10:15,20.45
08/07/2017 10:30,20.16
08/07/2017 10:45,20.45
08/07/2017 11:00,20.11
08/07/2017 11:15,20.11
08/07/2017 11:30,19.92
08/07/2017 11:45,19.94
08/07/2017 12:00,19.37
08/07/2017 12:15,19.39
08/07/2017 12:30,19.49
08/07/2017 12:45,19.85
08/07/2017 13:00,19.61
08/07/2017 13:15,20.06
08/07/2017 13:30,20.28
08/07/2017 13:45,20.57
08/07/2017 14:00,20.57
08/07/2017 14:15,20.98
08/07/2017 14:30,20.3
08/07/2017 14:45,20.47
08/07/2017 15:00,20.09
08/07/2017 15:15,20.3
08/07/2017 15:30,20.06
08/07/2017 15:45,20.54
08/07/2017 16:00,21.62
08/07/2017 16:15,20.98
08/07/2017 16:30,21.5
08/07/2017 16:45,20.88
08/07/2017 17:00,18.1
08/07/2017 17:15,7.25
08/07/2017 17:30,7.34
08/07/2017 17:45,6.48
08/07/2017 18:00,6.77
08/07/2017 18:15,5.59
08/07/2017 18:30,16.92
08/07/2017 18:45,31.32
08/07/2017 19:00,32.88
08/07/2017 19:15,32.64
08/07/2017 19:30,33.22
08/07/2017 19:45,32.95
08/07/2017 20:00,34.2
08/07/2017 20:15,33.79
08/07/2017 20:30,34.06
08/07/2017 20:45,33.72
08/07/2017 21:00,34.15
08/07/2017 21:15,33.77
08/07/2017 21:30,34.1
08/07/2017 21:45,33.43
08/07/2017 22:00,33.14
08/07/2017 22:15,33.36
08/07/2017 22:30,33.14
08/07/2017 22:45,33.46
08/07/2017 23:00,33.05
08/07/2017 23:15,33.17
08/07/2017 23:30,32.78
08/07/2017 23:45,33.17
08/07/2017 00:00,32.78
08/08/2017 00:15,33.07
08/08/2017 00:30,33.12
08/08/2017 00:45,6.14
08/08/2017 01:00,4.49
08/08/2017 01:15,4.8
08/08/2017 01:30,4.61
08/08/2017 01:45,4.66
08/08/2017 02:00,4.44
08/08/2017 02:15,4.75
08/08/2017 02:30,4.32
08/08/2017 02:45,4.66
08/08/2017 03:00,4.44
08/08/2017 03:15,4.85
08/08/2017 03:30,4.61
08/08/2017 03:45,4.97
08/08/2017 04:00,4.54
08/08/2017 04:15,4.78
08/08/2017 04:30,4.54
08/08/2017 04:45,4.8
08/08/2017 05:00,4.7
08/08/2017 05:15,4.99
08/08/2017 05:30,4.2
08/08/2017 05:45,3.94
08/08/2017 06:00,3.98
08/08/2017 06:15,3.74
08/08/2017 06:30,4.15
08/08/2017 06:45,3.7
08/08/2017 07:00,4.1
08/08/2017 07:15,4.01
08/08/2017 07:30,4.54
08/08/2017 07:45,4.08
08/08/2017 08:00,5.4
08/08/2017 08:15,16.85
08/08/2017 08:30,18.62
08/08/2017 08:45,20.98
08/08/2017 09:00,22.73
08/08/2017 09:15,23.57
08/08/2017 09:30,28.06
08/08/2017 09:45,26.69
08/08/2017 10:00,23.42
08/08/2017 10:15,23.42
08/08/2017 10:30,23.54
08/08/2017 10:45,23.45
08/08/2017 11:00,24.77
08/08/2017 11:15,24.6
08/08/2017 11:30,25.08
08/08/2017 11:45,24.79
08/08/2017 12:00,23.35
08/08/2017 12:15,22.9
08/08/2017 12:30,23.52
08/08/2017 12:45,23.09
08/08/2017 13:00,23.42
08/08/2017 13:15,23.21
08/08/2017 13:30,23.66
08/08/2017 13:45,23.93
08/08/2017 14:00,24.96
08/08/2017 14:15,24.6
08/08/2017 14:30,25.01
08/08/2017 14:45,24.41
08/08/2017 15:00,24.84
08/08/2017 15:15,24.43
08/08/2017 15:30,24.31
08/08/2017 15:45,24.0
08/08/2017 16:00,23.66
08/08/2017 16:15,23.33
08/08/2017 16:30,23.74
08/08/2017 16:45,23.93
08/08/2017 17:00,23.95
08/08/2017 17:15,14.09
08/08/2017 17:30,9.1
08/08/2017 17:45,9.46
08/08/2017 18:00,8.4
08/08/2017 18:15,6.22
08/08/2017 18:30,17.35
08/08/2017 18:45,32.71
08/08/2017 19:00,33.6
