Time,Power
08/07/2017 00:15,21.85
08/07/2017 00:30,21.02
08/07/2017 00:45,20.74
08/07/2017 01:00,20.92
08/07/2017 01:15,20.66
08/07/2017 01:30,21.02
08/07/2017 01:45,21.56
08/07/2017 02:00,22.25
08/07/2017 02:15,21.85
08/07/2017 02:30,22.21
08/07/2017 02:45,21.46
08/07/2017 03:00,22.14
08/07/2017 03:15,21.96
08/07/2017 03:30,21.85
08/07/2017 03:45,21.17
08/07/2017 04:00,20.66
08/07/2017 04:15,20.7
08/07/2017 04:30,20.74
08/07/2017 04:45,20.95
08/07/2017 05:00,22.36
08/07/2017 05:15,24.55
08/07/2017 05:30,24.37
08/07/2017 05:45,23.04
08/07/2017 06:00,23.33
08/07/2017 06:15,30.64
08/07/2017 06:30,42.19
08/07/2017 06:45,41.11
08/07/2017 07:00,32.65
08/07/2017 07:15,33.8
08/07/2017 07:30,40.03
08/07/2017 07:45,38.92
08/07/2017 08:00,40.72
08/07/2017 08:15,40.21
08/07/2017 08:30,39.28
08/07/2017 08:45,35.21
08/07/2017 09:00,42.8
08/07/2017 09:15,42.91
08/07/2017 09:30,43.92
08/07/2017 09:45,42.8
08/07/2017 10:00,41.29
08/07/2017 10:15,39.6
08/07/2017 10:30,40.9
08/07/2017 10:45,49.32
08/07/2017 11:00,50.22
08/07/2017 11:15,48.74
08/07/2017 11:30,48.06
08/07/2017 11:45,42.66
08/07/2017 12:00,42.48
08/07/2017 12:15,45.97
08/07/2017 12:30,42.66
08/07/2017 12:45,40.61
08/07/2017 13:00,42.8
08/07/2017 13:15,42.34
08/07/2017 13:30,42.19
08/07/2017 13:45,37.19
08/07/2017 14:00,42.91
08/07/2017 14:15,32.65
08/07/2017 14:30,36.54
08/07/2017 14:45,34.96
08/07/2017 15:00,40.68
08/07/2017 15:15,43.88
08/07/2017 15:30,44.32
08/07/2017 15:45,49.18
08/07/2017 16:00,36.83
08/07/2017 16:15,33.88
08/07/2017 16:30,27.83
08/07/2017 16:45,25.96
08/07/2017 17:00,28.08
08/07/2017 17:15,27.36
08/07/2017 17:30,22.07
08/07/2017 17:45,22.36
08/07/2017 18:00,23.65
08/07/2017 18:15,23.87
08/07/2017 18:30,25.96
08/07/2017 18:45,28.62
08/07/2017 19:00,27.32
08/07/2017 19:15,23.69
08/07/2017 19:30,22.43
08/07/2017 19:45,21.89
08/07/2017 20:00,22.03
