Time,Power
08/07/2017 00:15,72.79
08/07/2017 00:30,73.3
08/07/2017 00:45,73.22
08/07/2017 01:00,73.33
08/07/2017 01:15,72.76
08/07/2017 01:30,73.12
08/07/2017 01:45,72.86
08/07/2017 02:00,72.0
08/07/2017 02:15,71.68
08/07/2017 02:30,71.53
08/07/2017 02:45,71.86
08/07/2017 03:00,71.5
08/07/2017 03:15,71.64
08/07/2017 03:30,71.5
08/07/2017 03:45,72.94
08/07/2017 04:00,73.26
08/07/2017 04:15,72.72
08/07/2017 04:30,72.79
08/07/2017 04:45,72.61
08/07/2017 05:00,71.93
08/07/2017 05:15,71.28
08/07/2017 05:30,71.32
08/07/2017 05:45,71.35
08/07/2017 06:00,71.35
08/07/2017 06:15,73.19
08/07/2017 06:30,74.05
08/07/2017 06:45,73.87
08/07/2017 07:00,73.66
08/07/2017 07:15,75.53
08/07/2017 07:30,76.61
08/07/2017 07:45,79.24
08/07/2017 08:00,80.78
08/07/2017 08:15,90.29
08/07/2017 08:30,90.86
08/07/2017 08:45,90.94
08/07/2017 09:00,90.65
08/07/2017 09:15,90.14
08/07/2017 09:30,89.78
08/07/2017 09:45,88.81
08/07/2017 10:00,90.0
08/07/2017 10:15,91.84
08/07/2017 10:30,90.65
08/07/2017 10:45,89.89
08/07/2017 11:00,90.4
08/07/2017 11:15,89.82
08/07/2017 11:30,89.39
08/07/2017 11:45,89.57
08/07/2017 12:00,88.63
08/07/2017 12:15,88.31
08/07/2017 12:30,88.27
08/07/2017 12:45,90.76
08/07/2017 13:00,91.76
08/07/2017 13:15,91.48
08/07/2017 13:30,88.96
08/07/2017 13:45,89.42
08/07/2017 14:00,88.85
08/07/2017 14:15,90.5
08/07/2017 14:30,88.96
08/07/2017 14:45,88.6
08/07/2017 15:00,87.23
08/07/2017 15:15,87.77
08/07/2017 15:30,88.96
08/07/2017 15:45,88.45
08/07/2017 16:00,87.77
08/07/2017 16:15,88.6
08/07/2017 16:30,88.63
08/07/2017 16:45,89.14
08/07/2017 17:00,89.21
08/07/2017 17:15,88.38
08/07/2017 17:30,88.92
08/07/2017 17:45,89.03
08/07/2017 18:00,88.81
08/07/2017 18:15,84.24
08/07/2017 18:30,78.3
08/07/2017 18:45,77.08
08/07/2017 19:00,76.9
08/07/2017 19:15,77.9
08/07/2017 19:30,77.62
08/07/2017 19:45,77.69
08/07/2017 20:00,76.97
08/07/2017 20:15,76.21
08/07/2017 20:30,75.53
08/07/2017 20:45,75.85
08/07/2017 21:00,75.42
08/07/2017 21:15,75.46
08/07/2017 21:30,75.06
08/07/2017 21:45,73.84
08/07/2017 22:00,73.66
08/07/2017 22:15,72.76
08/07/2017 22:30,71.53
08/07/2017 22:45,71.5
08/07/2017 23:00,72.29
08/07/2017 23:15,71.5
08/07/2017 23:30,72.54
08/07/2017 23:45,72.5
08/07/2017 00:00,72.25
08/08/2017 00:15,72.32
08/08/2017 00:30,72.36
08/08/2017 00:45,72.4
08/08/2017 01:00,72.25
08/08/2017 01:15,70.92
08/08/2017 01:30,70.63
08/08/2017 01:45,70.09
08/08/2017 02:00,70.42
08/08/2017 02:15,70.52
08/08/2017 02:30,70.24
08/08/2017 02:45,70.38
08/08/2017 03:00,70.09
08/08/2017 03:15,70.16
08/08/2017 03:30,70.42
08/08/2017 03:45,71.75
08/08/2017 04:00,71.53
08/08/2017 04:15,71.39
08/08/2017 04:30,71.6
08/08/2017 04:45,70.52
08/08/2017 05:00,70.24
08/08/2017 05:15,70.06
08/08/2017 05:30,70.42
08/08/2017 05:45,71.03
08/08/2017 06:00,70.7
08/08/2017 06:15,70.78
08/08/2017 06:30,73.44
08/08/2017 06:45,73.01
08/08/2017 07:00,73.48
08/08/2017 07:15,75.46
08/08/2017 07:30,75.96
08/08/2017 07:45,78.8
