Time,Power
08/07/2017 00:15,7.45
08/07/2017 00:30,7.31
08/07/2017 00:45,7.49
08/07/2017 01:00,6.91
08/07/2017 01:15,7.18
08/07/2017 01:30,7.56
08/07/2017 01:45,7.22
08/07/2017 02:00,7.06
08/07/2017 02:15,5.65
08/07/2017 02:30,5.49
08/07/2017 02:45,5.29
08/07/2017 03:00,5.33
08/07/2017 03:15,5.36
08/07/2017 03:30,5.35
08/07/2017 03:45,5.24
08/07/2017 04:00,5.18
08/07/2017 04:15,5.35
08/07/2017 04:30,5.26
08/07/2017 04:45,5.22
08/07/2017 05:00,5.15
08/07/2017 05:15,4.86
08/07/2017 05:30,5.2
08/07/2017 05:45,5.31
08/07/2017 06:00,5.49
08/07/2017 06:15,5.71
08/07/2017 06:30,5.53
08/07/2017 06:45,5.83
08/07/2017 07:00,6.84
08/07/2017 07:15,7.36
08/07/2017 07:30,7.69
08/07/2017 07:45,10.4
08/07/2017 08:00,15.73
08/07/2017 08:15,19.24
08/07/2017 08:30,25.43
08/07/2017 08:45,26.17
08/07/2017 09:00,27.7
08/07/2017 09:15,29.09
08/07/2017 09:30,29.3
08/07/2017 09:45,30.35
08/07/2017 10:00,30.24
08/07/2017 10:15,30.62
08/07/2017 10:30,30.38
08/07/2017 10:45,30.29
08/07/2017 11:00,31.1
08/07/2017 11:15,28.48
08/07/2017 11:30,29.03
08/07/2017 11:45,29.32
08/07/2017 12:00,28.31
08/07/2017 12:15,26.41
08/07/2017 12:30,27.7
08/07/2017 12:45,29.93
08/07/2017 13:00,30.28
08/07/2017 13:15,29.14
08/07/2017 13:30,28.49
08/07/2017 13:45,27.85
08/07/2017 14:00,27.92
08/07/2017 14:15,30.49
08/07/2017 14:30,30.13
08/07/2017 14:45,29.18
08/07/2017 15:00,30.2
08/07/2017 15:15,33.32
08/07/2017 15:30,32.56
08/07/2017 15:45,31.1
08/07/2017 16:00,30.22
08/07/2017 16:15,28.49
08/07/2017 16:30,28.19
08/07/2017 16:45,27.63
08/07/2017 17:00,27.2
08/07/2017 17:15,26.73
08/07/2017 17:30,26.73
08/07/2017 17:45,26.53
08/07/2017 18:00,25.22
08/07/2017 18:15,24.82
08/07/2017 18:30,22.32
08/07/2017 18:45,20.61
08/07/2017 19:00,19.75
08/07/2017 19:15,15.97
08/07/2017 19:30,13.63
08/07/2017 19:45,14.58
08/07/2017 20:00,15.43
08/07/2017 20:15,15.12
08/07/2017 20:30,15.55
08/07/2017 20:45,16.16
08/07/2017 21:00,15.46
08/07/2017 21:15,11.84
08/07/2017 21:30,11.41
08/07/2017 21:45,11.79
08/07/2017 22:00,11.03
08/07/2017 22:15,12.49
08/07/2017 22:30,14.8
08/07/2017 22:45,13.21
08/07/2017 23:00,9.22
08/07/2017 23:15,8.89
08/07/2017 23:30,8.95
08/07/2017 23:45,8.8
08/07/2017 00:00,8.51
08/08/2017 00:15,7.87
08/08/2017 00:30,7.74
08/08/2017 00:45,7.54
08/08/2017 01:00,7.76
08/08/2017 01:15,7.65
08/08/2017 01:30,7.65
08/08/2017 01:45,7.49
08/08/2017 02:00,7.16
08/08/2017 02:15,6.05
08/08/2017 02:30,5.96
08/08/2017 02:45,5.83
08/08/2017 03:00,5.94
08/08/2017 03:15,5.51
08/08/2017 03:30,5.89
08/08/2017 03:45,5.67
08/08/2017 04:00,5.85
08/08/2017 04:15,5.8
08/08/2017 04:30,5.58
08/08/2017 04:45,5.62
08/08/2017 05:00,5.49
08/08/2017 05:15,5.35
08/08/2017 05:30,5.69
08/08/2017 05:45,5.42
08/08/2017 06:00,5.9
08/08/2017 06:15,6.12
08/08/2017 06:30,5.78
08/08/2017 06:45,6.3
08/08/2017 07:00,6.8
08/08/2017 07:15,9.99
08/08/2017 07:30,9.86
08/08/2017 07:45,13.84
08/08/2017 08:00,18.25
08/08/2017 08:15,22.43
08/08/2017 08:30,22.86
08/08/2017 08:45,26.6
08/08/2017 09:00,26.89
08/08/2017 09:15,29.07
08/08/2017 09:30,29.95
08/08/2017 09:45,31.32
08/08/2017 10:00,31.63
08/08/2017 10:15,32.02
08/08/2017 10:30,30.62
08/08/2017 10:45,31.46
08/08/2017 11:00,31.32
08/08/2017 11:15,31.0
08/08/2017 11:30,30.82
08/08/2017 11:45,29.9
08/08/2017 12:00,29.41
08/08/2017 12:15,29.88
08/08/2017 12:30,30.19
08/08/2017 12:45,30.62
08/08/2017 13:00,29.39
08/08/2017 13:15,27.77
08/08/2017 13:30,28.48
08/08/2017 13:45,28.76
08/08/2017 14:00,28.94
08/08/2017 14:15,29.88
08/08/2017 14:30,30.15
08/08/2017 14:45,30.92
08/08/2017 15:00,30.42
08/08/2017 15:15,29.68
08/08/2017 15:30,30.1
08/08/2017 15:45,29.66
08/08/2017 16:00,28.01
08/08/2017 16:15,27.79
08/08/2017 16:30,26.84
08/08/2017 16:45,27.4
08/08/2017 17:00,28.12
08/08/2017 17:15,26.96
08/08/2017 17:30,27.05
08/08/2017 17:45,27.22
08/08/2017 18:00,26.5
08/08/2017 18:15,23.49
08/08/2017 18:30,21.2
08/08/2017 18:45,18.54
08/08/2017 19:00,18.32
08/08/2017 19:15,16.2
08/08/2017 19:30,15.19
08/08/2017 19:45,15.16
08/08/2017 20:00,14.9
08/08/2017 20:15,15.25
08/08/2017 20:30,15.64
08/08/2017 20:45,14.42
08/08/2017 21:00,13.52
08/08/2017 21:15,13.48
08/08/2017 21:30,13.05
08/08/2017 21:45,11.45
08/08/2017 22:00,10.49
08/08/2017 22:15,11.81
08/08/2017 22:30,11.79
08/08/2017 22:45,9.0
08/08/2017 23:00,8.89
08/08/2017 23:15,8.78
08/08/2017 23:30,8.57
08/08/2017 23:45,8.55
08/08/2017 00:00,8.35
08/09/2017 00:15,8.06
08/09/2017 00:30,7.7
08/09/2017 00:45,8.12
08/09/2017 01:00,7.47
08/09/2017 01:15,7.52
08/09/2017 01:30,7.42
08/09/2017 01:45,7.6
08/09/2017 02:00,7.27
08/09/2017 02:15,6.34
08/09/2017 02:30,5.71
08/09/2017 02:45,5.58
08/09/2017 03:00,5.71
08/09/2017 03:15,5.85
08/09/2017 03:30,5.92
08/09/2017 03:45,5.71
08/09/2017 04:00,5.51
08/09/2017 04:15,5.71
08/09/2017 04:30,5.74
08/09/2017 04:45,5.78
08/09/2017 05:00,5.47
08/09/2017 05:15,5.33
08/09/2017 05:30,5.47
08/09/2017 05:45,5.4
08/09/2017 06:00,5.72
08/09/2017 06:15,5.98
08/09/2017 06:30,5.76
08/09/2017 06:45,5.81
08/09/2017 07:00,6.52
08/09/2017 07:15,7.6
08/09/2017 07:30,7.97
08/09/2017 07:45,10.15
08/09/2017 08:00,15.98
08/09/2017 08:15,19.01
08/09/2017 08:30,25.07
08/09/2017 08:45,25.56
08/09/2017 09:00,27.65
08/09/2017 09:15,26.87
08/09/2017 09:30,26.93
08/09/2017 09:45,27.76
08/09/2017 10:00,29.93
08/09/2017 10:15,29.97
08/09/2017 10:30,29.92
08/09/2017 10:45,29.66
08/09/2017 11:00,29.81
08/09/2017 11:15,28.69
08/09/2017 11:30,29.09
08/09/2017 11:45,26.93
08/09/2017 12:00,25.92
08/09/2017 12:15,24.86
08/09/2017 12:30,27.05
08/09/2017 12:45,27.23
08/09/2017 13:00,26.91
08/09/2017 13:15,24.82
08/09/2017 13:30,24.44
08/09/2017 13:45,25.7
08/09/2017 14:00,25.45
