Time,Power
08/07/2017 00:15,2.41
08/07/2017 00:30,1.69
08/07/2017 00:45,1.73
08/07/2017 01:00,1.78
08/07/2017 01:15,1.79
08/07/2017 01:30,1.81
08/07/2017 01:45,1.98
08/07/2017 02:00,1.84
08/07/2017 02:15,1.79
08/07/2017 02:30,1.67
08/07/2017 02:45,1.75
08/07/2017 03:00,1.88
08/07/2017 03:15,1.99
08/07/2017 03:30,1.81
08/07/2017 03:45,1.84
08/07/2017 04:00,1.88
08/07/2017 04:15,1.9
08/07/2017 04:30,2.76
08/07/2017 04:45,2.39
08/07/2017 05:00,2.58
08/07/2017 05:15,2.22
08/07/2017 05:30,1.81
08/07/2017 05:45,1.79
08/07/2017 06:00,1.81
08/07/2017 06:15,1.88
08/07/2017 06:30,1.9
08/07/2017 06:45,2.28
08/07/2017 07:00,2.65
08/07/2017 07:15,4.94
08/07/2017 07:30,3.14
08/07/2017 07:45,3.38
08/07/2017 08:00,3.25
08/07/2017 08:15,4.96
08/07/2017 08:30,6.61
08/07/2017 08:45,6.58
08/07/2017 09:00,9.04
08/07/2017 09:15,14.6
08/07/2017 09:30,14.84
08/07/2017 09:45,15.9
08/07/2017 10:00,16.75
08/07/2017 10:15,16.88
08/07/2017 10:30,16.26
08/07/2017 10:45,15.34
08/07/2017 11:00,15.62
08/07/2017 11:15,15.73
08/07/2017 11:30,15.52
08/07/2017 11:45,14.66
08/07/2017 12:00,13.07
08/07/2017 12:15,12.41
08/07/2017 12:30,12.24
08/07/2017 12:45,12.05
08/07/2017 13:00,11.72
08/07/2017 13:15,12.62
08/07/2017 13:30,11.52
08/07/2017 13:45,11.5
08/07/2017 14:00,13.04
08/07/2017 14:15,13.06
08/07/2017 14:30,13.69
08/07/2017 14:45,13.7
08/07/2017 15:00,13.28
08/07/2017 15:15,13.91
08/07/2017 15:30,13.62
08/07/2017 15:45,14.5
08/07/2017 16:00,15.95
08/07/2017 16:15,13.4
08/07/2017 16:30,12.89
08/07/2017 16:45,13.55
08/07/2017 17:00,13.24
08/07/2017 17:15,11.2
08/07/2017 17:30,10.04
08/07/2017 17:45,10.4
08/07/2017 18:00,7.58
08/07/2017 18:15,6.54
08/07/2017 18:30,7.46
08/07/2017 18:45,6.47
08/07/2017 19:00,5.36
08/07/2017 19:15,4.12
08/07/2017 19:30,3.11
08/07/2017 19:45,3.34
08/07/2017 20:00,3.3
08/07/2017 20:15,3.28
08/07/2017 20:30,3.22
08/07/2017 20:45,2.64
08/07/2017 21:00,1.98
08/07/2017 21:15,1.99
08/07/2017 21:30,2.06
08/07/2017 21:45,2.78
08/07/2017 22:00,1.75
08/07/2017 22:15,1.88
08/07/2017 22:30,1.87
08/07/2017 22:45,1.82
08/07/2017 23:00,1.78
08/07/2017 23:15,1.81
