Time,Power
08/07/2017 00:15,2.32
08/07/2017 00:30,2.28
08/07/2017 00:45,2.4
08/07/2017 01:00,2.02
08/07/2017 01:15,2.24
08/07/2017 01:30,2.3
08/07/2017 01:45,2.46
08/07/2017 02:00,2.26
08/07/2017 02:15,2.42
08/07/2017 02:30,2.2
08/07/2017 02:45,2.42
08/07/2017 03:00,2.12
08/07/2017 03:15,2.24
08/07/2017 03:30,2.26
08/07/2017 03:45,2.0
08/07/2017 04:00,2.12
08/07/2017 04:15,2.2
08/07/2017 04:30,2.14
08/07/2017 04:45,2.04
08/07/2017 05:00,2.18
08/07/2017 05:15,2.04
08/07/2017 05:30,1.94
08/07/2017 05:45,1.92
08/07/2017 06:00,2.34
08/07/2017 06:15,2.56
08/07/2017 06:30,3.36
08/07/2017 06:45,3.9
08/07/2017 07:00,3.62
08/07/2017 07:15,4.72
08/07/2017 07:30,5.22
08/07/2017 07:45,5.12
08/07/2017 08:00,5.98
08/07/2017 08:15,6.8
08/07/2017 08:30,5.74
08/07/2017 08:45,9.92
08/07/2017 09:00,14.3
08/07/2017 09:15,13.72
08/07/2017 09:30,12.22
08/07/2017 09:45,11.12
08/07/2017 10:00,10.5
08/07/2017 10:15,12.26
08/07/2017 10:30,11.74
08/07/2017 10:45,11.0
08/07/2017 11:00,10.5
08/07/2017 11:15,11.84
08/07/2017 11:30,10.06
08/07/2017 11:45,6.4
08/07/2017 12:00,4.4
08/07/2017 12:15,2.96
08/07/2017 12:30,1.5
08/07/2017 12:45,7.2
08/07/2017 13:00,11.7
08/07/2017 13:15,11.36
08/07/2017 13:30,9.82
08/07/2017 13:45,10.12
08/07/2017 14:00,9.4
08/07/2017 14:15,9.48
08/07/2017 14:30,9.52
08/07/2017 14:45,10.7
08/07/2017 15:00,10.6
08/07/2017 15:15,10.54
08/07/2017 15:30,10.32
08/07/2017 15:45,9.96
08/07/2017 16:00,10.34
08/07/2017 16:15,9.76
08/07/2017 16:30,11.38
08/07/2017 16:45,12.3
08/07/2017 17:00,11.94
08/07/2017 17:15,12.1
08/07/2017 17:30,12.54
08/07/2017 17:45,12.18
08/07/2017 18:00,12.32
08/07/2017 18:15,9.3
08/07/2017 18:30,8.2
08/07/2017 18:45,7.76
08/07/2017 19:00,7.72
08/07/2017 19:15,7.38
08/07/2017 19:30,7.26
08/07/2017 19:45,6.38
08/07/2017 20:00,6.82
08/07/2017 20:15,5.6
08/07/2017 20:30,5.3
08/07/2017 20:45,5.14
08/07/2017 21:00,4.98
08/07/2017 21:15,4.48
08/07/2017 21:30,4.38
08/07/2017 21:45,3.82
08/07/2017 22:00,3.94
08/07/2017 22:15,3.22
08/07/2017 22:30,2.64
08/07/2017 22:45,3.08
08/07/2017 23:00,2.44
08/07/2017 23:15,2.64
08/07/2017 23:30,2.68
08/07/2017 23:45,2.58
08/07/2017 00:00,2.46
08/08/2017 00:15,2.58
08/08/2017 00:30,2.64
08/08/2017 00:45,2.84
08/08/2017 01:00,2.58
08/08/2017 01:15,2.52
08/08/2017 01:30,2.38
08/08/2017 01:45,2.6
08/08/2017 02:00,2.52
08/08/2017 02:15,2.22
08/08/2017 02:30,2.06
08/08/2017 02:45,2.16
08/08/2017 03:00,2.14
08/08/2017 03:15,2.08
08/08/2017 03:30,2.0
08/08/2017 03:45,1.92
08/08/2017 04:00,2.48
08/08/2017 04:15,2.1
08/08/2017 04:30,1.94
08/08/2017 04:45,2.54
08/08/2017 05:00,1.92
08/08/2017 05:15,2.22
08/08/2017 05:30,2.32
08/08/2017 05:45,1.98
08/08/2017 06:00,2.24
08/08/2017 06:15,2.3
08/08/2017 06:30,3.14
08/08/2017 06:45,3.86
08/08/2017 07:00,4.96
08/08/2017 07:15,4.7
08/08/2017 07:30,4.16
08/08/2017 07:45,4.34
08/08/2017 08:00,3.62
08/08/2017 08:15,3.88
08/08/2017 08:30,7.06
08/08/2017 08:45,10.18
08/08/2017 09:00,12.84
08/08/2017 09:15,12.04
08/08/2017 09:30,10.38
08/08/2017 09:45,8.98
08/08/2017 10:00,9.46
08/08/2017 10:15,9.16
08/08/2017 10:30,8.24
08/08/2017 10:45,8.7
08/08/2017 11:00,8.48
08/08/2017 11:15,9.7
08/08/2017 11:30,10.92
08/08/2017 11:45,7.16
08/08/2017 12:00,3.72
08/08/2017 12:15,5.22
08/08/2017 12:30,5.32
08/08/2017 12:45,8.06
08/08/2017 13:00,10.96
08/08/2017 13:15,8.28
08/08/2017 13:30,9.18
08/08/2017 13:45,8.88
08/08/2017 14:00,8.26
08/08/2017 14:15,9.34
08/08/2017 14:30,9.18
08/08/2017 14:45,9.04
08/08/2017 15:00,9.56
08/08/2017 15:15,9.52
08/08/2017 15:30,10.38
08/08/2017 15:45,9.6
08/08/2017 16:00,9.6
08/08/2017 16:15,9.28
08/08/2017 16:30,9.32
08/08/2017 16:45,9.22
08/08/2017 17:00,8.84
08/08/2017 17:15,9.08
08/08/2017 17:30,9.08
08/08/2017 17:45,9.12
08/08/2017 18:00,8.82
08/08/2017 18:15,6.46
08/08/2017 18:30,5.04
08/08/2017 18:45,4.44
08/08/2017 19:00,4.34
08/08/2017 19:15,4.86
08/08/2017 19:30,5.54
08/08/2017 19:45,6.06
08/08/2017 20:00,5.82
08/08/2017 20:15,5.96
08/08/2017 20:30,5.2
08/08/2017 20:45,5.1
08/08/2017 21:00,4.5
08/08/2017 21:15,4.44
08/08/2017 21:30,4.64
08/08/2017 21:45,5.16
08/08/2017 22:00,4.32
08/08/2017 22:15,3.9
08/08/2017 22:30,3.92
08/08/2017 22:45,2.8
08/08/2017 23:00,3.1
08/08/2017 23:15,2.38
08/08/2017 23:30,2.06
08/08/2017 23:45,2.1
08/08/2017 00:00,2.0
08/09/2017 00:15,2.06
08/09/2017 00:30,2.62
08/09/2017 00:45,2.0
08/09/2017 01:00,2.24
08/09/2017 01:15,2.14
08/09/2017 01:30,1.84
08/09/2017 01:45,2.1
08/09/2017 02:00,2.06
08/09/2017 02:15,2.48
08/09/2017 02:30,2.08
08/09/2017 02:45,2.14
08/09/2017 03:00,1.8
08/09/2017 03:15,1.84
08/09/2017 03:30,1.92
08/09/2017 03:45,1.8
08/09/2017 04:00,2.06
08/09/2017 04:15,2.0
08/09/2017 04:30,1.78
08/09/2017 04:45,2.0
08/09/2017 05:00,1.72
08/09/2017 05:15,2.4
08/09/2017 05:30,1.78
08/09/2017 05:45,1.96
08/09/2017 06:00,2.24
08/09/2017 06:15,2.44
08/09/2017 06:30,2.86
08/09/2017 06:45,3.36
08/09/2017 07:00,3.88
08/09/2017 07:15,4.18
08/09/2017 07:30,4.56
08/09/2017 07:45,4.4
08/09/2017 08:00,4.22
08/09/2017 08:15,5.18
08/09/2017 08:30,6.1
08/09/2017 08:45,9.84
08/09/2017 09:00,12.3
08/09/2017 09:15,12.22
08/09/2017 09:30,11.7
08/09/2017 09:45,10.0
08/09/2017 10:00,9.22
08/09/2017 10:15,9.8
08/09/2017 10:30,10.4
08/09/2017 10:45,8.86
