Time,Power
08/07/2017 00:15,2.62
08/07/2017 00:30,2.74
08/07/2017 00:45,2.66
08/07/2017 01:00,2.6
08/07/2017 01:15,2.7
08/07/2017 01:30,2.7
08/07/2017 01:45,3.05
08/07/2017 02:00,3.78
08/07/2017 02:15,3.65
08/07/2017 02:30,2.86
08/07/2017 02:45,2.69
08/07/2017 03:00,2.77
08/07/2017 03:15,2.66
08/07/2017 03:30,2.53
08/07/2017 03:45,2.7
08/07/2017 04:00,2.46
08/07/2017 04:15,3.67
08/07/2017 04:30,4.36
08/07/2017 04:45,5.16
08/07/2017 05:00,6.97
08/07/2017 05:15,5.95
08/07/2017 05:30,7.62
08/07/2017 05:45,10.84
08/07/2017 06:00,16.61
08/07/2017 06:15,16.46
08/07/2017 06:30,11.58
08/07/2017 06:45,8.62
08/07/2017 07:00,9.13
08/07/2017 07:15,10.37
08/07/2017 07:30,10.03
08/07/2017 07:45,9.25
08/07/2017 08:00,8.71
08/07/2017 08:15,8.64
08/07/2017 08:30,8.62
08/07/2017 08:45,10.92
08/07/2017 09:00,13.4
08/07/2017 09:15,14.33
08/07/2017 09:30,14.45
08/07/2017 09:45,14.03
08/07/2017 10:00,14.68
08/07/2017 10:15,14.44
08/07/2017 10:30,14.04
08/07/2017 10:45,13.98
08/07/2017 11:00,14.24
08/07/2017 11:15,14.05
08/07/2017 11:30,14.04
08/07/2017 11:45,14.48
08/07/2017 12:00,15.24
08/07/2017 12:15,13.78
08/07/2017 12:30,13.96
08/07/2017 12:45,14.0
08/07/2017 13:00,14.12
08/07/2017 13:15,14.33
08/07/2017 13:30,14.18
08/07/2017 13:45,14.06
08/07/2017 14:00,14.53
08/07/2017 14:15,14.12
08/07/2017 14:30,14.27
08/07/2017 14:45,14.46
08/07/2017 15:00,14.57
08/07/2017 15:15,15.24
08/07/2017 15:30,14.82
08/07/2017 15:45,15.3
08/07/2017 16:00,15.19
08/07/2017 16:15,14.56
08/07/2017 16:30,15.12
08/07/2017 16:45,15.01
08/07/2017 17:00,15.26
08/07/2017 17:15,15.6
08/07/2017 17:30,15.01
08/07/2017 17:45,15.41
08/07/2017 18:00,14.81
08/07/2017 18:15,14.7
08/07/2017 18:30,14.28
08/07/2017 18:45,14.51
08/07/2017 19:00,13.87
08/07/2017 19:15,14.18
08/07/2017 19:30,14.41
08/07/2017 19:45,14.69
08/07/2017 20:00,14.42
08/07/2017 20:15,14.6
08/07/2017 20:30,14.21
08/07/2017 20:45,14.21
08/07/2017 21:00,13.82
08/07/2017 21:15,13.9
08/07/2017 21:30,13.49
08/07/2017 21:45,13.22
08/07/2017 22:00,11.12
08/07/2017 22:15,8.98
08/07/2017 22:30,8.88
08/07/2017 22:45,8.66
08/07/2017 23:00,8.9
08/07/2017 23:15,4.55
08/07/2017 23:30,3.64
08/07/2017 23:45,3.89
08/07/2017 00:00,2.76
08/08/2017 00:15,2.66
08/08/2017 00:30,2.69
08/08/2017 00:45,2.76
08/08/2017 01:00,2.57
08/08/2017 01:15,2.81
08/08/2017 01:30,2.58
08/08/2017 01:45,3.46
08/08/2017 02:00,3.77
08/08/2017 02:15,3.58
08/08/2017 02:30,2.53
08/08/2017 02:45,2.7
08/08/2017 03:00,2.48
08/08/2017 03:15,2.77
08/08/2017 03:30,2.72
08/08/2017 03:45,2.7
08/08/2017 04:00,2.65
08/08/2017 04:15,3.62
08/08/2017 04:30,4.96
08/08/2017 04:45,7.48
08/08/2017 05:00,7.62
08/08/2017 05:15,6.31
08/08/2017 05:30,8.82
08/08/2017 05:45,7.51
08/08/2017 06:00,9.55
08/08/2017 06:15,14.99
08/08/2017 06:30,13.85
08/08/2017 06:45,13.69
08/08/2017 07:00,8.48
08/08/2017 07:15,8.82
08/08/2017 07:30,8.7
08/08/2017 07:45,8.83
08/08/2017 08:00,8.34
08/08/2017 08:15,7.93
08/08/2017 08:30,10.97
08/08/2017 08:45,12.89
08/08/2017 09:00,13.51
08/08/2017 09:15,13.87
08/08/2017 09:30,14.27
08/08/2017 09:45,15.18
08/08/2017 10:00,15.32
08/08/2017 10:15,15.31
08/08/2017 10:30,14.3
08/08/2017 10:45,15.42
08/08/2017 11:00,15.05
08/08/2017 11:15,14.84
08/08/2017 11:30,15.32
08/08/2017 11:45,14.95
08/08/2017 12:00,14.75
08/08/2017 12:15,13.64
08/08/2017 12:30,14.56
08/08/2017 12:45,14.2
08/08/2017 13:00,13.92
08/08/2017 13:15,13.96
08/08/2017 13:30,14.21
08/08/2017 13:45,14.3
08/08/2017 14:00,13.73
08/08/2017 14:15,13.96
08/08/2017 14:30,14.48
08/08/2017 14:45,14.83
08/08/2017 15:00,15.44
08/08/2017 15:15,15.46
08/08/2017 15:30,15.6
08/08/2017 15:45,15.58
08/08/2017 16:00,15.22
08/08/2017 16:15,15.2
08/08/2017 16:30,14.68
08/08/2017 16:45,14.54
08/08/2017 17:00,14.9
08/08/2017 17:15,14.52
08/08/2017 17:30,14.16
08/08/2017 17:45,14.23
08/08/2017 18:00,14.05
08/08/2017 18:15,13.85
08/08/2017 18:30,13.55
08/08/2017 18:45,13.44
08/08/2017 19:00,13.5
08/08/2017 19:15,13.66
08/08/2017 19:30,13.99
08/08/2017 19:45,14.22
08/08/2017 20:00,14.1
08/08/2017 20:15,14.34
08/08/2017 20:30,14.21
08/08/2017 20:45,14.33
08/08/2017 21:00,13.98
08/08/2017 21:15,13.48
08/08/2017 21:30,13.38
08/08/2017 21:45,13.13
08/08/2017 22:00,11.2
08/08/2017 22:15,8.88
08/08/2017 22:30,9.4
08/08/2017 22:45,9.1
08/08/2017 23:00,8.23
08/08/2017 23:15,4.56
08/08/2017 23:30,3.71
08/08/2017 23:45,3.73
08/08/2017 00:00,3.72
08/09/2017 00:15,3.04
08/09/2017 00:30,2.7
08/09/2017 00:45,2.7
08/09/2017 01:00,2.64
08/09/2017 01:15,2.69
08/09/2017 01:30,2.72
08/09/2017 01:45,3.19
08/09/2017 02:00,3.62
08/09/2017 02:15,3.7
08/09/2017 02:30,2.71
08/09/2017 02:45,2.65
08/09/2017 03:00,2.74
08/09/2017 03:15,2.69
08/09/2017 03:30,2.51
08/09/2017 03:45,2.72
08/09/2017 04:00,2.89
08/09/2017 04:15,3.58
08/09/2017 04:30,5.42
08/09/2017 04:45,7.24
08/09/2017 05:00,6.72
08/09/2017 05:15,8.16
08/09/2017 05:30,8.39
08/09/2017 05:45,7.03
08/09/2017 06:00,7.61
08/09/2017 06:15,14.33
08/09/2017 06:30,13.39
08/09/2017 06:45,9.14
08/09/2017 07:00,7.33
08/09/2017 07:15,8.47
08/09/2017 07:30,8.64
08/09/2017 07:45,7.27
08/09/2017 08:00,7.87
08/09/2017 08:15,8.45
08/09/2017 08:30,7.63
08/09/2017 08:45,10.19
08/09/2017 09:00,13.58
08/09/2017 09:15,13.96
08/09/2017 09:30,14.0
08/09/2017 09:45,14.24
08/09/2017 10:00,14.45
08/09/2017 10:15,14.46
08/09/2017 10:30,14.7
08/09/2017 10:45,14.1
08/09/2017 11:00,14.4
08/09/2017 11:15,14.47
08/09/2017 11:30,14.38
08/09/2017 11:45,14.3
08/09/2017 12:00,13.99
08/09/2017 12:15,13.49
08/09/2017 12:30,13.1
08/09/2017 12:45,13.45
08/09/2017 13:00,13.63
08/09/2017 13:15,13.55
08/09/2017 13:30,13.45
08/09/2017 13:45,13.81
08/09/2017 14:00,13.66
08/09/2017 14:15,14.27
08/09/2017 14:30,14.05
08/09/2017 14:45,14.14
08/09/2017 15:00,14.48
08/09/2017 15:15,13.73
08/09/2017 15:30,13.69
08/09/2017 15:45,13.82
08/09/2017 16:00,14.56
08/09/2017 16:15,14.09
08/09/2017 16:30,14.3
08/09/2017 16:45,13.98
08/09/2017 17:00,13.92
08/09/2017 17:15,13.81
08/09/2017 17:30,13.78
08/09/2017 17:45,14.12
08/09/2017 18:00,13.66
08/09/2017 18:15,12.68
08/09/2017 18:30,12.31
08/09/2017 18:45,12.88
08/09/2017 19:00,13.1
08/09/2017 19:15,13.22
08/09/2017 19:30,13.52
08/09/2017 19:45,13.81
08/09/2017 20:00,13.49
08/09/2017 20:15,13.81
08/09/2017 20:30,13.72
08/09/2017 20:45,13.42
08/09/2017 21:00,13.66
08/09/2017 21:15,13.4
08/09/2017 21:30,13.4
08/09/2017 21:45,12.46
08/09/2017 22:00,11.06
08/09/2017 22:15,8.15
08/09/2017 22:30,8.21
08/09/2017 22:45,7.84
08/09/2017 23:00,7.91
08/09/2017 23:15,4.5
08/09/2017 23:30,3.83
08/09/2017 23:45,3.89
08/09/2017 00:00,3.47
08/10/2017 00:15,2.66
08/10/2017 00:30,2.52
08/10/2017 00:45,2.63
08/10/2017 01:00,2.86
08/10/2017 01:15,2.76
08/10/2017 01:30,2.63
08/10/2017 01:45,3.42
08/10/2017 02:00,3.67
08/10/2017 02:15,3.86
08/10/2017 02:30,2.87
08/10/2017 02:45,2.75
08/10/2017 03:00,2.7
08/10/2017 03:15,2.63
08/10/2017 03:30,2.56
08/10/2017 03:45,2.95
08/10/2017 04:00,3.18
08/10/2017 04:15,3.49
08/10/2017 04:30,4.49
08/10/2017 04:45,6.97
08/10/2017 05:00,7.04
08/10/2017 05:15,8.06
08/10/2017 05:30,6.55
08/10/2017 05:45,6.44
08/10/2017 06:00,6.72
08/10/2017 06:15,11.99
08/10/2017 06:30,13.07
08/10/2017 06:45,11.69
08/10/2017 07:00,7.49
08/10/2017 07:15,9.08
08/10/2017 07:30,8.74
08/10/2017 07:45,8.8
08/10/2017 08:00,7.33
08/10/2017 08:15,9.41
08/10/2017 08:30,9.67
08/10/2017 08:45,10.44
08/10/2017 09:00,14.3
08/10/2017 09:15,14.4
08/10/2017 09:30,14.51
08/10/2017 09:45,15.06
08/10/2017 10:00,15.02
08/10/2017 10:15,15.37
08/10/2017 10:30,15.16
08/10/2017 10:45,14.88
08/10/2017 11:00,14.95
08/10/2017 11:15,14.69
08/10/2017 11:30,15.28
08/10/2017 11:45,15.46
08/10/2017 12:00,14.96
08/10/2017 12:15,14.89
08/10/2017 12:30,14.52
08/10/2017 12:45,13.82
08/10/2017 13:00,13.91
08/10/2017 13:15,13.88
08/10/2017 13:30,13.78
08/10/2017 13:45,13.94
08/10/2017 14:00,13.8
08/10/2017 14:15,13.97
08/10/2017 14:30,13.96
08/10/2017 14:45,14.33
08/10/2017 15:00,14.41
08/10/2017 15:15,14.4
08/10/2017 15:30,14.1
08/10/2017 15:45,14.03
08/10/2017 16:00,14.02
08/10/2017 16:15,13.98
08/10/2017 16:30,13.72
08/10/2017 16:45,13.54
08/10/2017 17:00,13.84
08/10/2017 17:15,13.87
08/10/2017 17:30,13.63
08/10/2017 17:45,13.33
08/10/2017 18:00,12.95
08/10/2017 18:15,12.59
08/10/2017 18:30,12.44
08/10/2017 18:45,12.71
08/10/2017 19:00,12.58
08/10/2017 19:15,12.61
08/10/2017 19:30,13.15
08/10/2017 19:45,13.61
08/10/2017 20:00,13.45
08/10/2017 20:15,13.48
08/10/2017 20:30,13.46
08/10/2017 20:45,13.49
08/10/2017 21:00,13.72
08/10/2017 21:15,13.18
08/10/2017 21:30,13.13
08/10/2017 21:45,12.94
08/10/2017 22:00,11.12
08/10/2017 22:15,8.3
08/10/2017 22:30,8.51
08/10/2017 22:45,8.21
08/10/2017 23:00,7.96
08/10/2017 23:15,4.44
08/10/2017 23:30,3.79
08/10/2017 23:45,3.61
08/10/2017 00:00,3.61
08/11/2017 00:15,2.6
08/11/2017 00:30,2.6
08/11/2017 00:45,2.58
08/11/2017 01:00,2.68
08/11/2017 01:15,2.62
08/11/2017 01:30,2.66
08/11/2017 01:45,3.17
08/11/2017 02:00,3.65
08/11/2017 02:15,3.68
08/11/2017 02:30,2.81
08/11/2017 02:45,2.63
08/11/2017 03:00,2.53
08/11/2017 03:15,2.71
08/11/2017 03:30,2.56
08/11/2017 03:45,2.51
08/11/2017 04:00,2.69
08/11/2017 04:15,2.68
08/11/2017 04:30,3.38
08/11/2017 04:45,4.36
08/11/2017 05:00,5.98
08/11/2017 05:15,5.69
08/11/2017 05:30,6.16
08/11/2017 05:45,9.0
08/11/2017 06:00,8.69
08/11/2017 06:15,15.2
08/11/2017 06:30,14.84
08/11/2017 06:45,14.04
08/11/2017 07:00,7.76
08/11/2017 07:15,8.28
08/11/2017 07:30,8.4
08/11/2017 07:45,8.47
08/11/2017 08:00,7.9
08/11/2017 08:15,8.04
08/11/2017 08:30,9.42
08/11/2017 08:45,11.33
08/11/2017 09:00,13.81
08/11/2017 09:15,15.04
08/11/2017 09:30,15.54
08/11/2017 09:45,15.44
08/11/2017 10:00,15.92
08/11/2017 10:15,15.82
08/11/2017 10:30,15.08
08/11/2017 10:45,14.82
08/11/2017 11:00,14.64
08/11/2017 11:15,14.51
08/11/2017 11:30,15.43
08/11/2017 11:45,14.57
08/11/2017 12:00,14.5
08/11/2017 12:15,13.37
08/11/2017 12:30,13.82
08/11/2017 12:45,13.66
08/11/2017 13:00,13.33
08/11/2017 13:15,13.82
08/11/2017 13:30,15.18
08/11/2017 13:45,15.41
08/11/2017 14:00,15.64
08/11/2017 14:15,16.03
08/11/2017 14:30,15.49
08/11/2017 14:45,15.86
08/11/2017 15:00,15.96
08/11/2017 15:15,15.43
08/11/2017 15:30,15.11
08/11/2017 15:45,15.26
08/11/2017 16:00,14.98
08/11/2017 16:15,14.65
08/11/2017 16:30,14.74
08/11/2017 16:45,15.01
08/11/2017 17:00,14.87
08/11/2017 17:15,14.89
08/11/2017 17:30,14.71
08/11/2017 17:45,14.51
08/11/2017 18:00,14.04
08/11/2017 18:15,14.17
08/11/2017 18:30,13.88
08/11/2017 18:45,14.2
08/11/2017 19:00,14.05
08/11/2017 19:15,13.99
08/11/2017 19:30,14.53
08/11/2017 19:45,15.17
