Time,Power
08/07/2017 00:15,2.71
08/07/2017 00:30,2.71
08/07/2017 00:45,3.77
08/07/2017 01:00,2.65
08/07/2017 01:15,2.62
08/07/2017 01:30,2.62
08/07/2017 01:45,3.67
08/07/2017 02:00,2.95
08/07/2017 02:15,2.59
08/07/2017 02:30,2.63
08/07/2017 02:45,3.23
08/07/2017 03:00,3.34
08/07/2017 03:15,2.62
08/07/2017 03:30,2.62
08/07/2017 03:45,2.58
08/07/2017 04:00,3.62
08/07/2017 04:15,2.74
08/07/2017 04:30,2.24
08/07/2017 04:45,2.06
08/07/2017 05:00,3.08
08/07/2017 05:15,2.41
08/07/2017 05:30,2.17
08/07/2017 05:45,2.2
08/07/2017 06:00,2.56
08/07/2017 06:15,2.26
08/07/2017 06:30,1.79
08/07/2017 06:45,2.12
08/07/2017 07:00,4.44
08/07/2017 07:15,5.17
08/07/2017 07:30,4.92
08/07/2017 07:45,5.71
08/07/2017 08:00,6.12
08/07/2017 08:15,6.5
08/07/2017 08:30,8.77
08/07/2017 08:45,11.95
08/07/2017 09:00,12.67
08/07/2017 09:15,14.74
08/07/2017 09:30,12.66
08/07/2017 09:45,12.12
08/07/2017 10:00,14.64
08/07/2017 10:15,17.22
08/07/2017 10:30,15.59
08/07/2017 10:45,13.63
08/07/2017 11:00,10.98
08/07/2017 11:15,12.26
08/07/2017 11:30,13.42
08/07/2017 11:45,12.36
08/07/2017 12:00,11.16
08/07/2017 12:15,11.92
08/07/2017 12:30,10.56
08/07/2017 12:45,10.8
08/07/2017 13:00,11.12
08/07/2017 13:15,8.78
08/07/2017 13:30,9.53
08/07/2017 13:45,9.79
08/07/2017 14:00,8.82
08/07/2017 14:15,8.6
08/07/2017 14:30,8.36
08/07/2017 14:45,8.63
08/07/2017 15:00,8.75
08/07/2017 15:15,9.17
08/07/2017 15:30,10.73
08/07/2017 15:45,12.77
08/07/2017 16:00,16.85
08/07/2017 16:15,15.7
08/07/2017 16:30,15.83
08/07/2017 16:45,15.2
08/07/2017 17:00,16.49
08/07/2017 17:15,13.04
08/07/2017 17:30,8.59
08/07/2017 17:45,12.94
08/07/2017 18:00,11.68
08/07/2017 18:15,10.7
08/07/2017 18:30,10.16
08/07/2017 18:45,8.78
08/07/2017 19:00,8.27
08/07/2017 19:15,8.82
08/07/2017 19:30,7.52
08/07/2017 19:45,7.37
08/07/2017 20:00,7.44
08/07/2017 20:15,7.74
08/07/2017 20:30,6.18
08/07/2017 20:45,6.23
08/07/2017 21:00,4.56
08/07/2017 21:15,3.88
08/07/2017 21:30,3.01
08/07/2017 21:45,2.3
08/07/2017 22:00,2.46
08/07/2017 22:15,2.51
08/07/2017 22:30,3.19
08/07/2017 22:45,2.21
08/07/2017 23:00,2.18
08/07/2017 23:15,2.22
08/07/2017 23:30,3.02
08/07/2017 23:45,2.05
08/07/2017 00:00,2.09
08/08/2017 00:15,1.91
08/08/2017 00:30,2.9
08/08/2017 00:45,2.7
08/08/2017 01:00,2.35
08/08/2017 01:15,2.17
08/08/2017 01:30,2.29
08/08/2017 01:45,2.71
08/08/2017 02:00,2.21
08/08/2017 02:15,2.08
08/08/2017 02:30,2.58
08/08/2017 02:45,2.89
08/08/2017 03:00,2.58
08/08/2017 03:15,2.8
08/08/2017 03:30,2.57
08/08/2017 03:45,3.05
08/08/2017 04:00,2.28
08/08/2017 04:15,2.86
08/08/2017 04:30,2.24
08/08/2017 04:45,3.17
08/08/2017 05:00,2.08
08/08/2017 05:15,2.22
08/08/2017 05:30,2.88
08/08/2017 05:45,3.47
08/08/2017 06:00,2.82
08/08/2017 06:15,2.8
08/08/2017 06:30,4.07
08/08/2017 06:45,4.38
08/08/2017 07:00,4.69
08/08/2017 07:15,3.78
08/08/2017 07:30,4.31
08/08/2017 07:45,5.8
08/08/2017 08:00,6.32
08/08/2017 08:15,5.77
08/08/2017 08:30,6.77
08/08/2017 08:45,11.14
08/08/2017 09:00,12.02
08/08/2017 09:15,13.31
08/08/2017 09:30,14.12
08/08/2017 09:45,13.69
08/08/2017 10:00,15.88
08/08/2017 10:15,16.75
08/08/2017 10:30,17.71
08/08/2017 10:45,16.75
08/08/2017 11:00,16.62
08/08/2017 11:15,13.56
08/08/2017 11:30,16.01
08/08/2017 11:45,15.12
08/08/2017 12:00,15.85
08/08/2017 12:15,16.37
08/08/2017 12:30,15.1
08/08/2017 12:45,14.62
08/08/2017 13:00,14.57
08/08/2017 13:15,14.23
08/08/2017 13:30,15.47
08/08/2017 13:45,12.89
08/08/2017 14:00,12.76
08/08/2017 14:15,13.09
08/08/2017 14:30,12.62
08/08/2017 14:45,14.33
08/08/2017 15:00,14.39
08/08/2017 15:15,15.47
08/08/2017 15:30,15.92
08/08/2017 15:45,13.64
08/08/2017 16:00,11.57
08/08/2017 16:15,14.96
08/08/2017 16:30,14.98
08/08/2017 16:45,15.42
08/08/2017 17:00,14.99
08/08/2017 17:15,12.55
08/08/2017 17:30,9.58
08/08/2017 17:45,10.06
08/08/2017 18:00,10.21
08/08/2017 18:15,7.54
08/08/2017 18:30,7.03
08/08/2017 18:45,7.04
08/08/2017 19:00,7.46
08/08/2017 19:15,7.24
08/08/2017 19:30,5.3
08/08/2017 19:45,5.35
08/08/2017 20:00,6.12
08/08/2017 20:15,5.74
08/08/2017 20:30,3.67
08/08/2017 20:45,3.73
08/08/2017 21:00,3.61
08/08/2017 21:15,3.28
08/08/2017 21:30,2.33
08/08/2017 21:45,2.35
08/08/2017 22:00,2.51
08/08/2017 22:15,3.22
08/08/2017 22:30,2.1
08/08/2017 22:45,2.14
08/08/2017 23:00,2.05
08/08/2017 23:15,3.23
08/08/2017 23:30,2.29
08/08/2017 23:45,2.24
08/08/2017 00:00,2.22
08/09/2017 00:15,3.07
08/09/2017 00:30,2.88
08/09/2017 00:45,2.34
08/09/2017 01:00,2.16
08/09/2017 01:15,2.38
08/09/2017 01:30,2.7
08/09/2017 01:45,1.91
08/09/2017 02:00,2.06
08/09/2017 02:15,1.94
08/09/2017 02:30,3.19
08/09/2017 02:45,2.17
08/09/2017 03:00,2.26
08/09/2017 03:15,2.77
08/09/2017 03:30,3.06
08/09/2017 03:45,2.3
08/09/2017 04:00,1.93
08/09/2017 04:15,2.16
08/09/2017 04:30,2.62
08/09/2017 04:45,2.23
08/09/2017 05:00,2.2
08/09/2017 05:15,2.45
08/09/2017 05:30,3.26
08/09/2017 05:45,2.35
08/09/2017 06:00,2.18
08/09/2017 06:15,1.96
08/09/2017 06:30,3.1
08/09/2017 06:45,2.48
08/09/2017 07:00,2.05
08/09/2017 07:15,1.92
08/09/2017 07:30,5.23
08/09/2017 07:45,5.72
08/09/2017 08:00,6.07
08/09/2017 08:15,8.69
08/09/2017 08:30,11.2
08/09/2017 08:45,13.85
08/09/2017 09:00,13.01
08/09/2017 09:15,13.06
08/09/2017 09:30,14.89
08/09/2017 09:45,16.31
08/09/2017 10:00,15.91
08/09/2017 10:15,15.83
08/09/2017 10:30,13.93
08/09/2017 10:45,14.71
08/09/2017 11:00,12.56
08/09/2017 11:15,11.39
08/09/2017 11:30,12.07
08/09/2017 11:45,11.38
08/09/2017 12:00,11.1
08/09/2017 12:15,11.93
08/09/2017 12:30,9.73
08/09/2017 12:45,9.71
08/09/2017 13:00,11.64
08/09/2017 13:15,13.1
08/09/2017 13:30,13.82
08/09/2017 13:45,12.35
08/09/2017 14:00,12.7
08/09/2017 14:15,12.59
08/09/2017 14:30,11.89
08/09/2017 14:45,12.36
08/09/2017 15:00,12.08
08/09/2017 15:15,13.06
08/09/2017 15:30,11.66
08/09/2017 15:45,10.62
08/09/2017 16:00,11.96
08/09/2017 16:15,14.65
08/09/2017 16:30,12.43
08/09/2017 16:45,11.52
08/09/2017 17:00,13.02
08/09/2017 17:15,14.18
08/09/2017 17:30,10.68
08/09/2017 17:45,8.92
08/09/2017 18:00,7.1
08/09/2017 18:15,6.67
08/09/2017 18:30,6.18
08/09/2017 18:45,6.44
08/09/2017 19:00,6.08
08/09/2017 19:15,6.17
08/09/2017 19:30,6.78
08/09/2017 19:45,6.37
08/09/2017 20:00,6.43
08/09/2017 20:15,5.03
08/09/2017 20:30,5.76
08/09/2017 20:45,4.58
08/09/2017 21:00,4.25
08/09/2017 21:15,4.27
08/09/2017 21:30,5.16
08/09/2017 21:45,3.96
08/09/2017 22:00,2.9
08/09/2017 22:15,2.59
08/09/2017 22:30,3.22
08/09/2017 22:45,2.77
08/09/2017 23:00,3.01
08/09/2017 23:15,2.65
08/09/2017 23:30,3.2
08/09/2017 23:45,3.07
08/09/2017 00:00,2.45
08/10/2017 00:15,2.26
08/10/2017 00:30,2.71
08/10/2017 00:45,3.4
08/10/2017 01:00,2.41
08/10/2017 01:15,2.21
08/10/2017 01:30,2.27
08/10/2017 01:45,3.67
08/10/2017 02:00,2.62
08/10/2017 02:15,2.3
08/10/2017 02:30,2.17
08/10/2017 02:45,3.13
08/10/2017 03:00,2.94
08/10/2017 03:15,2.22
08/10/2017 03:30,2.11
08/10/2017 03:45,2.23
08/10/2017 04:00,2.99
08/10/2017 04:15,2.03
08/10/2017 04:30,2.32
08/10/2017 04:45,2.6
08/10/2017 05:00,2.64
08/10/2017 05:15,2.2
08/10/2017 05:30,2.3
08/10/2017 05:45,2.15
08/10/2017 06:00,2.78
08/10/2017 06:15,1.92
08/10/2017 06:30,2.12
08/10/2017 06:45,3.24
08/10/2017 07:00,5.65
08/10/2017 07:15,4.18
08/10/2017 07:30,4.38
08/10/2017 07:45,5.29
08/10/2017 08:00,8.04
08/10/2017 08:15,9.53
08/10/2017 08:30,11.33
08/10/2017 08:45,13.09
08/10/2017 09:00,14.21
08/10/2017 09:15,11.39
08/10/2017 09:30,11.18
08/10/2017 09:45,12.79
08/10/2017 10:00,13.14
08/10/2017 10:15,15.4
08/10/2017 10:30,16.85
08/10/2017 10:45,15.56
08/10/2017 11:00,14.9
08/10/2017 11:15,14.16
08/10/2017 11:30,12.05
08/10/2017 11:45,14.94
08/10/2017 12:00,15.01
08/10/2017 12:15,15.41
08/10/2017 12:30,14.64
08/10/2017 12:45,11.22
08/10/2017 13:00,13.66
08/10/2017 13:15,14.04
08/10/2017 13:30,13.86
08/10/2017 13:45,12.62
08/10/2017 14:00,10.99
08/10/2017 14:15,10.19
08/10/2017 14:30,12.22
08/10/2017 14:45,12.17
08/10/2017 15:00,11.04
08/10/2017 15:15,11.3
08/10/2017 15:30,12.19
08/10/2017 15:45,12.07
08/10/2017 16:00,11.77
08/10/2017 16:15,10.94
08/10/2017 16:30,10.69
08/10/2017 16:45,14.1
08/10/2017 17:00,14.66
08/10/2017 17:15,14.17
08/10/2017 17:30,10.5
08/10/2017 17:45,9.9
08/10/2017 18:00,9.71
08/10/2017 18:15,9.42
08/10/2017 18:30,9.9
08/10/2017 18:45,7.66
08/10/2017 19:00,6.9
08/10/2017 19:15,5.81
08/10/2017 19:30,6.6
08/10/2017 19:45,6.85
08/10/2017 20:00,7.02
08/10/2017 20:15,6.1
08/10/2017 20:30,5.5
08/10/2017 20:45,4.4
08/10/2017 21:00,5.47
08/10/2017 21:15,4.34
08/10/2017 21:30,4.48
08/10/2017 21:45,4.2
08/10/2017 22:00,4.48
08/10/2017 22:15,4.0
08/10/2017 22:30,3.25
08/10/2017 22:45,3.3
08/10/2017 23:00,2.94
08/10/2017 23:15,3.67
08/10/2017 23:30,2.52
08/10/2017 23:45,2.3
08/10/2017 00:00,2.42
08/11/2017 00:15,3.19
08/11/2017 00:30,2.71
08/11/2017 00:45,2.36
08/11/2017 01:00,2.38
08/11/2017 01:15,2.89
08/11/2017 01:30,3.06
08/11/2017 01:45,3.22
08/11/2017 02:00,2.45
08/11/2017 02:15,2.69
08/11/2017 02:30,3.36
08/11/2017 02:45,2.46
08/11/2017 03:00,2.23
08/11/2017 03:15,2.36
08/11/2017 03:30,3.34
08/11/2017 03:45,2.46
08/11/2017 04:00,2.2
08/11/2017 04:15,2.45
08/11/2017 04:30,3.61
08/11/2017 04:45,2.6
08/11/2017 05:00,2.33
08/11/2017 05:15,2.4
08/11/2017 05:30,2.72
08/11/2017 05:45,2.72
08/11/2017 06:00,2.38
08/11/2017 06:15,2.4
08/11/2017 06:30,2.96
08/11/2017 06:45,3.07
08/11/2017 07:00,2.38
08/11/2017 07:15,2.04
08/11/2017 07:30,4.98
08/11/2017 07:45,6.07
08/11/2017 08:00,4.64
08/11/2017 08:15,6.01
08/11/2017 08:30,9.4
08/11/2017 08:45,13.45
08/11/2017 09:00,13.08
08/11/2017 09:15,10.32
08/11/2017 09:30,12.72
08/11/2017 09:45,12.83
08/11/2017 10:00,13.27
08/11/2017 10:15,15.5
08/11/2017 10:30,14.45
08/11/2017 10:45,12.04
08/11/2017 11:00,10.58
08/11/2017 11:15,11.74
08/11/2017 11:30,10.15
08/11/2017 11:45,8.63
08/11/2017 12:00,7.79
08/11/2017 12:15,8.36
08/11/2017 12:30,5.98
08/11/2017 12:45,7.36
08/11/2017 13:00,7.6
08/11/2017 13:15,7.82
08/11/2017 13:30,8.76
08/11/2017 13:45,10.78
08/11/2017 14:00,12.12
08/11/2017 14:15,13.31
08/11/2017 14:30,13.4
08/11/2017 14:45,12.0
08/11/2017 15:00,13.9
08/11/2017 15:15,13.45
08/11/2017 15:30,13.3
08/11/2017 15:45,16.28
08/11/2017 16:00,16.51
08/11/2017 16:15,11.95
08/11/2017 16:30,8.83
08/11/2017 16:45,10.66
08/11/2017 17:00,12.24
08/11/2017 17:15,10.19
08/11/2017 17:30,7.84
08/11/2017 17:45,7.57
08/11/2017 18:00,7.78
08/11/2017 18:15,6.23
08/11/2017 18:30,5.75
08/11/2017 18:45,7.5
08/11/2017 19:00,7.12
08/11/2017 19:15,3.98
08/11/2017 19:30,3.46
08/11/2017 19:45,3.3
08/11/2017 20:00,4.26
