Time,Power
08/07/2017 00:15,11.54
08/07/2017 00:30,11.59
08/07/2017 00:45,11.58
08/07/2017 01:00,11.57
08/07/2017 01:15,11.6
08/07/2017 01:30,11.6
08/07/2017 01:45,11.6
08/07/2017 02:00,11.62
08/07/2017 02:15,11.6
08/07/2017 02:30,11.6
08/07/2017 02:45,11.6
08/07/2017 03:00,11.61
08/07/2017 03:15,11.61
08/07/2017 03:30,11.63
08/07/2017 03:45,11.63
08/07/2017 04:00,11.65
08/07/2017 04:15,11.68
08/07/2017 04:30,11.67
08/07/2017 04:45,11.68
08/07/2017 05:00,11.69
08/07/2017 05:15,11.71
08/07/2017 05:30,11.69
08/07/2017 05:45,11.68
08/07/2017 06:00,11.69
08/07/2017 06:15,11.69
08/07/2017 06:30,11.71
08/07/2017 06:45,11.68
08/07/2017 07:00,11.69
08/07/2017 07:15,11.6
08/07/2017 07:30,11.51
08/07/2017 07:45,11.5
08/07/2017 08:00,11.5
08/07/2017 08:15,11.5
08/07/2017 08:30,11.47
08/07/2017 08:45,11.61
08/07/2017 09:00,11.62
08/07/2017 09:15,11.63
08/07/2017 09:30,11.63
08/07/2017 09:45,11.63
08/07/2017 10:00,11.63
08/07/2017 10:15,11.63
08/07/2017 10:30,11.63
08/07/2017 10:45,11.62
08/07/2017 11:00,11.62
08/07/2017 11:15,11.58
08/07/2017 11:30,11.57
08/07/2017 11:45,11.57
08/07/2017 12:00,11.57
08/07/2017 12:15,11.56
08/07/2017 12:30,8.89
08/07/2017 12:45,0.48
08/07/2017 13:00,0.47
08/07/2017 13:15,0.47
08/07/2017 13:30,0.47
08/07/2017 13:45,0.47
08/07/2017 14:00,0.5
08/07/2017 14:15,0.49
08/07/2017 14:30,0.48
08/07/2017 14:45,0.49
08/07/2017 15:00,0.48
08/07/2017 15:15,0.48
08/07/2017 15:30,0.49
08/07/2017 15:45,0.49
08/07/2017 16:00,0.48
08/07/2017 16:15,0.49
08/07/2017 16:30,0.49
08/07/2017 16:45,0.48
08/07/2017 17:00,0.49
08/07/2017 17:15,0.48
08/07/2017 17:30,0.48
08/07/2017 17:45,0.48
08/07/2017 18:00,0.48
08/07/2017 18:15,0.48
08/07/2017 18:30,0.48
08/07/2017 18:45,0.49
08/07/2017 19:00,0.48
08/07/2017 19:15,0.49
08/07/2017 19:30,0.48
08/07/2017 19:45,0.49
08/07/2017 20:00,0.49
08/07/2017 20:15,0.49
08/07/2017 20:30,0.48
08/07/2017 20:45,0.49
08/07/2017 21:00,0.48
08/07/2017 21:15,0.49
08/07/2017 21:30,0.49
08/07/2017 21:45,0.49
08/07/2017 22:00,0.48
08/07/2017 22:15,10.0
08/07/2017 22:30,11.43
08/07/2017 22:45,11.42
08/07/2017 23:00,11.42
08/07/2017 23:15,11.41
08/07/2017 23:30,11.4
08/07/2017 23:45,11.4
08/07/2017 00:00,11.4
08/08/2017 00:15,11.41
08/08/2017 00:30,11.55
08/08/2017 00:45,11.54
08/08/2017 01:00,11.54
08/08/2017 01:15,11.54
08/08/2017 01:30,11.54
08/08/2017 01:45,11.56
08/08/2017 02:00,11.54
08/08/2017 02:15,11.56
08/08/2017 02:30,11.55
08/08/2017 02:45,11.56
08/08/2017 03:00,11.57
08/08/2017 03:15,11.59
08/08/2017 03:30,11.57
08/08/2017 03:45,11.62
08/08/2017 04:00,11.63
08/08/2017 04:15,11.64
08/08/2017 04:30,11.65
08/08/2017 04:45,11.65
08/08/2017 05:00,11.65
08/08/2017 05:15,11.65
08/08/2017 05:30,11.66
08/08/2017 05:45,11.65
08/08/2017 06:00,11.65
08/08/2017 06:15,11.65
08/08/2017 06:30,11.64
08/08/2017 06:45,11.65
08/08/2017 07:00,11.65
08/08/2017 07:15,11.65
08/08/2017 07:30,11.66
08/08/2017 07:45,11.63
08/08/2017 08:00,11.62
08/08/2017 08:15,11.65
08/08/2017 08:30,11.63
08/08/2017 08:45,11.62
08/08/2017 09:00,11.62
08/08/2017 09:15,11.61
08/08/2017 09:30,11.63
08/08/2017 09:45,11.63
08/08/2017 10:00,11.63
08/08/2017 10:15,11.63
08/08/2017 10:30,11.62
08/08/2017 10:45,11.61
08/08/2017 11:00,11.61
08/08/2017 11:15,0.94
08/08/2017 11:30,0.48
08/08/2017 11:45,0.48
08/08/2017 12:00,0.48
08/08/2017 12:15,0.48
08/08/2017 12:30,0.49
08/08/2017 12:45,0.48
08/08/2017 13:00,0.49
08/08/2017 13:15,0.48
08/08/2017 13:30,0.48
08/08/2017 13:45,0.47
08/08/2017 14:00,0.48
08/08/2017 14:15,0.48
08/08/2017 14:30,0.48
08/08/2017 14:45,0.48
08/08/2017 15:00,0.48
08/08/2017 15:15,0.48
08/08/2017 15:30,0.48
08/08/2017 15:45,0.49
08/08/2017 16:00,0.48
08/08/2017 16:15,0.49
08/08/2017 16:30,0.49
08/08/2017 16:45,0.49
08/08/2017 17:00,0.48
08/08/2017 17:15,0.49
08/08/2017 17:30,0.49
08/08/2017 17:45,0.49
08/08/2017 18:00,0.47
08/08/2017 18:15,0.47
08/08/2017 18:30,0.48
08/08/2017 18:45,0.47
08/08/2017 19:00,0.47
08/08/2017 19:15,0.47
08/08/2017 19:30,0.48
08/08/2017 19:45,0.47
08/08/2017 20:00,0.48
08/08/2017 20:15,0.49
08/08/2017 20:30,0.49
08/08/2017 20:45,0.48
08/08/2017 21:00,0.49
08/08/2017 21:15,0.49
08/08/2017 21:30,0.49
08/08/2017 21:45,0.49
08/08/2017 22:00,0.49
08/08/2017 22:15,0.49
08/08/2017 22:30,10.31
08/08/2017 22:45,11.38
08/08/2017 23:00,11.39
08/08/2017 23:15,11.37
08/08/2017 23:30,11.36
08/08/2017 23:45,11.37
08/08/2017 00:00,11.36
08/09/2017 00:15,11.32
08/09/2017 00:30,11.3
08/09/2017 00:45,11.32
08/09/2017 01:00,11.41
08/09/2017 01:15,11.46
08/09/2017 01:30,11.56
08/09/2017 01:45,11.54
08/09/2017 02:00,11.55
08/09/2017 02:15,11.57
08/09/2017 02:30,11.56
08/09/2017 02:45,11.57
08/09/2017 03:00,11.57
08/09/2017 03:15,11.57
08/09/2017 03:30,11.57
08/09/2017 03:45,11.62
08/09/2017 04:00,11.62
08/09/2017 04:15,11.63
08/09/2017 04:30,11.62
08/09/2017 04:45,11.63
08/09/2017 05:00,11.66
08/09/2017 05:15,11.68
08/09/2017 05:30,11.68
08/09/2017 05:45,11.68
08/09/2017 06:00,11.7
08/09/2017 06:15,11.69
08/09/2017 06:30,11.7
08/09/2017 06:45,11.72
08/09/2017 07:00,11.71
08/09/2017 07:15,11.7
08/09/2017 07:30,11.71
08/09/2017 07:45,11.7
08/09/2017 08:00,11.69
08/09/2017 08:15,11.69
08/09/2017 08:30,11.67
08/09/2017 08:45,11.66
08/09/2017 09:00,11.66
08/09/2017 09:15,11.67
08/09/2017 09:30,11.66
08/09/2017 09:45,11.66
08/09/2017 10:00,11.65
08/09/2017 10:15,6.42
08/09/2017 10:30,0.47
08/09/2017 10:45,0.47
08/09/2017 11:00,0.48
08/09/2017 11:15,0.47
08/09/2017 11:30,0.47
08/09/2017 11:45,0.47
08/09/2017 12:00,0.47
08/09/2017 12:15,0.48
08/09/2017 12:30,0.47
08/09/2017 12:45,0.47
08/09/2017 13:00,0.47
08/09/2017 13:15,0.47
08/09/2017 13:30,0.47
08/09/2017 13:45,0.47
08/09/2017 14:00,0.47
08/09/2017 14:15,0.47
08/09/2017 14:30,0.5
08/09/2017 14:45,0.47
08/09/2017 15:00,0.47
08/09/2017 15:15,0.47
08/09/2017 15:30,0.47
08/09/2017 15:45,0.47
08/09/2017 16:00,0.48
08/09/2017 16:15,0.47
08/09/2017 16:30,0.47
08/09/2017 16:45,0.47
08/09/2017 17:00,0.47
08/09/2017 17:15,0.48
08/09/2017 17:30,0.47
08/09/2017 17:45,0.48
08/09/2017 18:00,0.47
08/09/2017 18:15,0.48
08/09/2017 18:30,0.48
08/09/2017 18:45,0.47
08/09/2017 19:00,0.48
08/09/2017 19:15,0.47
08/09/2017 19:30,0.48
08/09/2017 19:45,0.48
08/09/2017 20:00,0.49
08/09/2017 20:15,0.49
08/09/2017 20:30,0.49
08/09/2017 20:45,4.34
08/09/2017 21:00,11.33
08/09/2017 21:15,11.31
08/09/2017 21:30,11.3
08/09/2017 21:45,11.29
08/09/2017 22:00,11.27
08/09/2017 22:15,11.28
08/09/2017 22:30,11.29
08/09/2017 22:45,11.46
08/09/2017 23:00,11.47
08/09/2017 23:15,11.44
08/09/2017 23:30,11.48
08/09/2017 23:45,11.59
08/09/2017 00:00,11.59
08/10/2017 00:15,11.6
08/10/2017 00:30,11.59
08/10/2017 00:45,11.6
08/10/2017 01:00,11.59
08/10/2017 01:15,11.58
08/10/2017 01:30,11.59
08/10/2017 01:45,11.59
08/10/2017 02:00,11.59
08/10/2017 02:15,11.62
08/10/2017 02:30,11.6
08/10/2017 02:45,11.65
08/10/2017 03:00,11.65
08/10/2017 03:15,11.65
08/10/2017 03:30,11.66
08/10/2017 03:45,11.68
08/10/2017 04:00,11.68
08/10/2017 04:15,11.69
08/10/2017 04:30,11.68
08/10/2017 04:45,11.69
08/10/2017 05:00,11.69
08/10/2017 05:15,11.71
08/10/2017 05:30,11.73
08/10/2017 05:45,11.74
08/10/2017 06:00,11.72
08/10/2017 06:15,11.74
08/10/2017 06:30,11.74
08/10/2017 06:45,11.74
08/10/2017 07:00,11.72
08/10/2017 07:15,11.72
08/10/2017 07:30,11.72
08/10/2017 07:45,11.73
08/10/2017 08:00,11.7
08/10/2017 08:15,11.71
08/10/2017 08:30,11.69
08/10/2017 08:45,11.68
08/10/2017 09:00,11.68
08/10/2017 09:15,11.68
08/10/2017 09:30,11.68
08/10/2017 09:45,11.68
08/10/2017 10:00,11.65
08/10/2017 10:15,2.38
08/10/2017 10:30,0.48
08/10/2017 10:45,0.48
08/10/2017 11:00,0.48
08/10/2017 11:15,0.48
08/10/2017 11:30,0.47
08/10/2017 11:45,0.48
08/10/2017 12:00,0.53
08/10/2017 12:15,0.68
08/10/2017 12:30,0.5
08/10/2017 12:45,0.5
08/10/2017 13:00,0.51
08/10/2017 13:15,0.5
08/10/2017 13:30,0.5
08/10/2017 13:45,0.5
08/10/2017 14:00,0.48
08/10/2017 14:15,0.48
08/10/2017 14:30,0.48
08/10/2017 14:45,0.47
08/10/2017 15:00,0.48
08/10/2017 15:15,0.49
08/10/2017 15:30,0.48
08/10/2017 15:45,0.48
08/10/2017 16:00,0.48
08/10/2017 16:15,0.48
08/10/2017 16:30,0.48
08/10/2017 16:45,0.48
08/10/2017 17:00,0.48
08/10/2017 17:15,0.48
08/10/2017 17:30,0.49
08/10/2017 17:45,0.5
08/10/2017 18:00,0.49
08/10/2017 18:15,0.48
08/10/2017 18:30,0.49
08/10/2017 18:45,0.48
08/10/2017 19:00,0.49
08/10/2017 19:15,0.48
08/10/2017 19:30,0.49
08/10/2017 19:45,0.49
08/10/2017 20:00,0.49
08/10/2017 20:15,0.49
08/10/2017 20:30,0.49
08/10/2017 20:45,0.49
08/10/2017 21:00,0.49
08/10/2017 21:15,4.55
08/10/2017 21:30,11.5
08/10/2017 21:45,11.51
08/10/2017 22:00,11.51
08/10/2017 22:15,11.51
08/10/2017 22:30,11.49
08/10/2017 22:45,11.49
08/10/2017 23:00,11.5
08/10/2017 23:15,11.51
08/10/2017 23:30,11.51
08/10/2017 23:45,11.51
08/10/2017 00:00,11.51
08/11/2017 00:15,11.51
08/11/2017 00:30,11.5
08/11/2017 00:45,11.52
08/11/2017 01:00,11.53
08/11/2017 01:15,11.51
08/11/2017 01:30,11.51
08/11/2017 01:45,11.52
08/11/2017 02:00,11.59
08/11/2017 02:15,11.65
08/11/2017 02:30,11.63
08/11/2017 02:45,11.63
08/11/2017 03:00,11.63
08/11/2017 03:15,11.65
08/11/2017 03:30,11.65
08/11/2017 03:45,11.66
08/11/2017 04:00,11.66
08/11/2017 04:15,11.68
08/11/2017 04:30,11.67
08/11/2017 04:45,11.7
08/11/2017 05:00,11.71
08/11/2017 05:15,11.72
08/11/2017 05:30,11.73
08/11/2017 05:45,11.71
08/11/2017 06:00,11.71
08/11/2017 06:15,11.71
08/11/2017 06:30,11.7
08/11/2017 06:45,11.7
08/11/2017 07:00,11.68
08/11/2017 07:15,11.68
08/11/2017 07:30,11.69
08/11/2017 07:45,11.69
08/11/2017 08:00,11.66
08/11/2017 08:15,11.66
08/11/2017 08:30,11.66
08/11/2017 08:45,11.63
08/11/2017 09:00,11.63
08/11/2017 09:15,11.6
08/11/2017 09:30,11.58
08/11/2017 09:45,11.57
08/11/2017 10:00,11.53
08/11/2017 10:15,11.55
08/11/2017 10:30,11.54
08/11/2017 10:45,11.54
08/11/2017 11:00,11.54
08/11/2017 11:15,11.53
08/11/2017 11:30,11.53
08/11/2017 11:45,11.53
08/11/2017 12:00,11.54
08/11/2017 12:15,11.54
08/11/2017 12:30,8.83
08/11/2017 12:45,0.47
08/11/2017 13:00,0.47
08/11/2017 13:15,0.47
08/11/2017 13:30,0.47
08/11/2017 13:45,0.48
08/11/2017 14:00,0.47
08/11/2017 14:15,0.48
08/11/2017 14:30,0.47
08/11/2017 14:45,0.48
08/11/2017 15:00,0.48
08/11/2017 15:15,0.48
08/11/2017 15:30,0.48
08/11/2017 15:45,0.48
08/11/2017 16:00,0.48
08/11/2017 16:15,0.48
08/11/2017 16:30,0.49
08/11/2017 16:45,0.48
08/11/2017 17:00,0.49
08/11/2017 17:15,0.48
08/11/2017 17:30,0.47
08/11/2017 17:45,0.48
08/11/2017 18:00,0.48
08/11/2017 18:15,0.47
08/11/2017 18:30,0.48
08/11/2017 18:45,0.47
08/11/2017 19:00,0.48
08/11/2017 19:15,0.47
08/11/2017 19:30,0.48
08/11/2017 19:45,0.48
08/11/2017 20:00,0.48
08/11/2017 20:15,0.49
08/11/2017 20:30,0.49
08/11/2017 20:45,0.48
08/11/2017 21:00,0.49
08/11/2017 21:15,0.49
08/11/2017 21:30,0.49
08/11/2017 21:45,0.49
08/11/2017 22:00,0.49
08/11/2017 22:15,0.49
08/11/2017 22:30,0.49
08/11/2017 22:45,0.49
08/11/2017 23:00,0.49
08/11/2017 23:15,3.34
08/11/2017 23:30,11.42
