Time,Power
08/07/2017 00:15,5.5
08/07/2017 00:30,5.59
08/07/2017 00:45,5.74
08/07/2017 01:00,5.78
08/07/2017 01:15,5.45
08/07/2017 01:30,5.78
08/07/2017 01:45,5.88
08/07/2017 02:00,5.98
08/07/2017 02:15,5.86
08/07/2017 02:30,6.0
08/07/2017 02:45,6.14
08/07/2017 03:00,5.88
08/07/2017 03:15,5.76
08/07/2017 03:30,6.02
08/07/2017 03:45,5.98
08/07/2017 04:00,5.78
08/07/2017 04:15,5.88
08/07/2017 04:30,5.98
08/07/2017 04:45,5.66
08/07/2017 05:00,5.83
08/07/2017 05:15,5.76
08/07/2017 05:30,6.84
08/07/2017 05:45,11.04
08/07/2017 06:00,14.42
08/07/2017 06:15,14.64
08/07/2017 06:30,14.16
08/07/2017 06:45,12.55
08/07/2017 07:00,11.69
08/07/2017 07:15,12.22
08/07/2017 07:30,12.02
08/07/2017 07:45,11.26
08/07/2017 08:00,12.38
08/07/2017 08:15,12.94
08/07/2017 08:30,14.69
08/07/2017 08:45,18.79
08/07/2017 09:00,28.18
08/07/2017 09:15,31.18
08/07/2017 09:30,30.94
08/07/2017 09:45,30.22
08/07/2017 10:00,29.3
08/07/2017 10:15,29.38
08/07/2017 10:30,28.25
08/07/2017 10:45,28.15
08/07/2017 11:00,28.39
08/07/2017 11:15,28.01
08/07/2017 11:30,27.98
08/07/2017 11:45,28.2
08/07/2017 12:00,27.31
08/07/2017 12:15,24.0
08/07/2017 12:30,23.83
08/07/2017 12:45,23.26
08/07/2017 13:00,23.78
08/07/2017 13:15,27.17
08/07/2017 13:30,28.1
08/07/2017 13:45,29.02
08/07/2017 14:00,28.68
08/07/2017 14:15,28.56
08/07/2017 14:30,29.02
08/07/2017 14:45,28.68
08/07/2017 15:00,28.92
08/07/2017 15:15,28.22
08/07/2017 15:30,27.84
08/07/2017 15:45,27.94
08/07/2017 16:00,28.66
08/07/2017 16:15,28.63
08/07/2017 16:30,27.86
08/07/2017 16:45,28.03
08/07/2017 17:00,27.62
08/07/2017 17:15,27.1
08/07/2017 17:30,28.68
08/07/2017 17:45,28.44
08/07/2017 18:00,26.86
08/07/2017 18:15,18.53
08/07/2017 18:30,13.61
08/07/2017 18:45,10.73
08/07/2017 19:00,11.35
08/07/2017 19:15,12.31
08/07/2017 19:30,11.95
08/07/2017 19:45,12.0
08/07/2017 20:00,11.38
08/07/2017 20:15,11.4
08/07/2017 20:30,12.1
08/07/2017 20:45,11.38
08/07/2017 21:00,11.38
08/07/2017 21:15,10.15
08/07/2017 21:30,9.22
08/07/2017 21:45,8.47
08/07/2017 22:00,5.59
08/07/2017 22:15,5.59
08/07/2017 22:30,5.9
08/07/2017 22:45,5.66
08/07/2017 23:00,5.71
08/07/2017 23:15,5.69
08/07/2017 23:30,5.76
08/07/2017 23:45,6.05
08/07/2017 00:00,5.93
08/08/2017 00:15,5.98
08/08/2017 00:30,5.9
08/08/2017 00:45,5.88
08/08/2017 01:00,5.86
08/08/2017 01:15,5.88
08/08/2017 01:30,5.71
08/08/2017 01:45,5.66
08/08/2017 02:00,5.4
08/08/2017 02:15,5.62
08/08/2017 02:30,5.66
08/08/2017 02:45,5.42
08/08/2017 03:00,5.57
08/08/2017 03:15,5.9
08/08/2017 03:30,5.74
08/08/2017 03:45,5.47
08/08/2017 04:00,5.64
08/08/2017 04:15,5.74
08/08/2017 04:30,5.64
08/08/2017 04:45,5.81
08/08/2017 05:00,5.78
08/08/2017 05:15,5.74
08/08/2017 05:30,5.54
08/08/2017 05:45,10.18
08/08/2017 06:00,14.26
08/08/2017 06:15,14.35
08/08/2017 06:30,13.42
08/08/2017 06:45,11.45
08/08/2017 07:00,10.68
08/08/2017 07:15,12.7
08/08/2017 07:30,12.91
08/08/2017 07:45,13.37
08/08/2017 08:00,13.97
08/08/2017 08:15,15.48
08/08/2017 08:30,18.53
08/08/2017 08:45,21.05
08/08/2017 09:00,27.48
08/08/2017 09:15,30.31
08/08/2017 09:30,29.95
08/08/2017 09:45,29.4
08/08/2017 10:00,29.9
08/08/2017 10:15,29.62
08/08/2017 10:30,29.33
08/08/2017 10:45,29.52
08/08/2017 11:00,28.92
08/08/2017 11:15,29.52
08/08/2017 11:30,29.4
08/08/2017 11:45,28.66
08/08/2017 12:00,27.98
