Time,Power
08/07/2017 00:15,11.56
08/07/2017 00:30,10.94
08/07/2017 00:45,11.45
08/07/2017 01:00,11.09
08/07/2017 01:15,10.73
08/07/2017 01:30,10.48
08/07/2017 01:45,11.23
08/07/2017 02:00,11.05
08/07/2017 02:15,10.69
08/07/2017 02:30,10.91
08/07/2017 02:45,11.34
08/07/2017 03:00,10.66
08/07/2017 03:15,10.69
08/07/2017 03:30,10.44
08/07/2017 03:45,10.91
08/07/2017 04:00,10.91
08/07/2017 04:15,10.22
08/07/2017 04:30,10.69
08/07/2017 04:45,10.91
08/07/2017 05:00,10.48
08/07/2017 05:15,10.73
08/07/2017 05:30,9.94
08/07/2017 05:45,11.12
08/07/2017 06:00,11.38
08/07/2017 06:15,10.26
08/07/2017 06:30,10.44
08/07/2017 06:45,11.56
08/07/2017 07:00,13.1
08/07/2017 07:15,16.38
08/07/2017 07:30,18.32
08/07/2017 07:45,18.97
08/07/2017 08:00,23.54
08/07/2017 08:15,27.83
08/07/2017 08:30,29.34
08/07/2017 08:45,31.61
08/07/2017 09:00,34.96
08/07/2017 09:15,47.34
08/07/2017 09:30,56.05
08/07/2017 09:45,58.32
08/07/2017 10:00,55.73
08/07/2017 10:15,54.61
08/07/2017 10:30,65.05
08/07/2017 10:45,57.06
08/07/2017 11:00,54.72
08/07/2017 11:15,54.32
08/07/2017 11:30,53.82
08/07/2017 11:45,52.42
08/07/2017 12:00,52.34
08/07/2017 12:15,48.35
08/07/2017 12:30,49.1
08/07/2017 12:45,50.26
08/07/2017 13:00,49.72
08/07/2017 13:15,53.68
08/07/2017 13:30,53.14
08/07/2017 13:45,54.54
08/07/2017 14:00,55.3
08/07/2017 14:15,54.32
08/07/2017 14:30,52.92
08/07/2017 14:45,52.42
08/07/2017 15:00,54.5
08/07/2017 15:15,54.54
08/07/2017 15:30,52.88
08/07/2017 15:45,54.07
08/07/2017 16:00,51.08
08/07/2017 16:15,51.3
08/07/2017 16:30,49.61
08/07/2017 16:45,49.57
08/07/2017 17:00,51.7
08/07/2017 17:15,49.54
08/07/2017 17:30,47.74
08/07/2017 17:45,48.13
08/07/2017 18:00,42.95
08/07/2017 18:15,29.88
