Time,Power
08/07/2017 00:15,1.08
08/07/2017 00:30,1.15
08/07/2017 00:45,1.16
08/07/2017 01:00,1.15
08/07/2017 01:15,1.14
08/07/2017 01:30,1.14
08/07/2017 01:45,1.16
08/07/2017 02:00,1.13
08/07/2017 02:15,1.1
08/07/2017 02:30,1.06
08/07/2017 02:45,1.16
08/07/2017 03:00,1.19
08/07/2017 03:15,1.2
08/07/2017 03:30,1.12
08/07/2017 03:45,1.16
08/07/2017 04:00,1.15
08/07/2017 04:15,1.16
08/07/2017 04:30,1.08
08/07/2017 04:45,1.18
08/07/2017 05:00,1.18
08/07/2017 05:15,1.14
08/07/2017 05:30,0.94
08/07/2017 05:45,1.12
08/07/2017 06:00,1.3
08/07/2017 06:15,1.09
08/07/2017 06:30,1.09
08/07/2017 06:45,1.03
08/07/2017 07:00,0.97
08/07/2017 07:15,1.5
08/07/2017 07:30,2.05
08/07/2017 07:45,1.1
08/07/2017 08:00,1.02
08/07/2017 08:15,0.91
08/07/2017 08:30,1.26
08/07/2017 08:45,2.04
08/07/2017 09:00,1.14
08/07/2017 09:15,0.92
08/07/2017 09:30,0.54
08/07/2017 09:45,0.85
08/07/2017 10:00,0.91
08/07/2017 10:15,1.8
08/07/2017 10:30,2.36
08/07/2017 10:45,1.82
08/07/2017 11:00,1.78
08/07/2017 11:15,1.64
08/07/2017 11:30,0.84
08/07/2017 11:45,1.44
08/07/2017 12:00,0.64
08/07/2017 12:15,0.0
08/07/2017 12:30,0.7
08/07/2017 12:45,0.98
08/07/2017 13:00,0.17
08/07/2017 13:15,0.14
08/07/2017 13:30,0.08
08/07/2017 13:45,0.14
08/07/2017 14:00,0.13
08/07/2017 14:15,0.05
08/07/2017 14:30,0.17
08/07/2017 14:45,0.16
08/07/2017 15:00,0.2
08/07/2017 15:15,0.31
08/07/2017 15:30,0.59
08/07/2017 15:45,0.66
08/07/2017 16:00,1.04
08/07/2017 16:15,1.58
08/07/2017 16:30,1.44
08/07/2017 16:45,2.24
08/07/2017 17:00,1.93
08/07/2017 17:15,1.97
08/07/2017 17:30,2.32
08/07/2017 17:45,2.2
08/07/2017 18:00,2.36
08/07/2017 18:15,2.36
08/07/2017 18:30,2.51
08/07/2017 18:45,2.16
08/07/2017 19:00,2.06
08/07/2017 19:15,1.98
08/07/2017 19:30,1.88
08/07/2017 19:45,2.15
08/07/2017 20:00,2.05
08/07/2017 20:15,1.9
08/07/2017 20:30,1.9
08/07/2017 20:45,1.75
08/07/2017 21:00,1.79
08/07/2017 21:15,1.26
08/07/2017 21:30,1.16
08/07/2017 21:45,1.15
08/07/2017 22:00,1.16
08/07/2017 22:15,1.1
08/07/2017 22:30,1.18
08/07/2017 22:45,1.16
08/07/2017 23:00,1.2
08/07/2017 23:15,1.2
08/07/2017 23:30,1.14
08/07/2017 23:45,1.13
08/07/2017 00:00,1.16
08/08/2017 00:15,1.16
08/08/2017 00:30,1.13
08/08/2017 00:45,1.18
08/08/2017 01:00,1.22
08/08/2017 01:15,1.16
08/08/2017 01:30,1.16
08/08/2017 01:45,1.14
08/08/2017 02:00,1.12
08/08/2017 02:15,1.15
08/08/2017 02:30,1.18
08/08/2017 02:45,1.19
08/08/2017 03:00,1.2
08/08/2017 03:15,1.2
08/08/2017 03:30,1.16
08/08/2017 03:45,1.13
08/08/2017 04:00,1.14
08/08/2017 04:15,1.24
08/08/2017 04:30,1.15
08/08/2017 04:45,1.21
08/08/2017 05:00,1.2
08/08/2017 05:15,1.2
08/08/2017 05:30,1.07
08/08/2017 05:45,1.13
08/08/2017 06:00,1.24
08/08/2017 06:15,1.31
08/08/2017 06:30,1.08
08/08/2017 06:45,1.03
08/08/2017 07:00,1.24
08/08/2017 07:15,1.03
08/08/2017 07:30,1.26
08/08/2017 07:45,1.75
08/08/2017 08:00,1.96
08/08/2017 08:15,2.02
08/08/2017 08:30,1.58
08/08/2017 08:45,1.12
08/08/2017 09:00,1.33
08/08/2017 09:15,3.35
08/08/2017 09:30,1.51
08/08/2017 09:45,2.24
08/08/2017 10:00,2.48
08/08/2017 10:15,2.21
08/08/2017 10:30,1.44
08/08/2017 10:45,2.59
08/08/2017 11:00,2.66
08/08/2017 11:15,3.04
08/08/2017 11:30,2.76
08/08/2017 11:45,2.26
08/08/2017 12:00,1.6
08/08/2017 12:15,2.33
08/08/2017 12:30,2.2
08/08/2017 12:45,2.41
08/08/2017 13:00,1.32
08/08/2017 13:15,0.5
08/08/2017 13:30,1.2
08/08/2017 13:45,1.13
08/08/2017 14:00,0.22
08/08/2017 14:15,1.02
08/08/2017 14:30,1.0
08/08/2017 14:45,1.81
08/08/2017 15:00,2.56
08/08/2017 15:15,2.92
08/08/2017 15:30,3.62
08/08/2017 15:45,3.53
08/08/2017 16:00,2.98
08/08/2017 16:15,3.12
08/08/2017 16:30,3.12
08/08/2017 16:45,2.94
08/08/2017 17:00,2.41
08/08/2017 17:15,2.12
08/08/2017 17:30,2.3
08/08/2017 17:45,2.17
08/08/2017 18:00,2.1
08/08/2017 18:15,1.82
08/08/2017 18:30,1.86
08/08/2017 18:45,1.87
08/08/2017 19:00,2.12
08/08/2017 19:15,1.93
08/08/2017 19:30,1.79
08/08/2017 19:45,1.8
08/08/2017 20:00,1.8
08/08/2017 20:15,1.87
08/08/2017 20:30,1.7
08/08/2017 20:45,1.49
08/08/2017 21:00,1.36
08/08/2017 21:15,1.27
08/08/2017 21:30,1.27
08/08/2017 21:45,1.27
08/08/2017 22:00,1.25
08/08/2017 22:15,1.28
08/08/2017 22:30,1.27
08/08/2017 22:45,1.27
08/08/2017 23:00,1.26
08/08/2017 23:15,1.38
08/08/2017 23:30,1.33
08/08/2017 23:45,1.27
08/08/2017 00:00,1.28
08/09/2017 00:15,1.22
08/09/2017 00:30,1.27
08/09/2017 00:45,1.3
08/09/2017 01:00,1.33
08/09/2017 01:15,1.27
08/09/2017 01:30,1.28
08/09/2017 01:45,1.26
08/09/2017 02:00,1.27
08/09/2017 02:15,1.27
08/09/2017 02:30,1.24
08/09/2017 02:45,1.27
08/09/2017 03:00,1.32
08/09/2017 03:15,1.25
08/09/2017 03:30,1.31
08/09/2017 03:45,1.27
08/09/2017 04:00,1.26
08/09/2017 04:15,1.3
08/09/2017 04:30,1.3
08/09/2017 04:45,1.28
08/09/2017 05:00,1.24
08/09/2017 05:15,1.2
08/09/2017 05:30,1.15
08/09/2017 05:45,1.09
08/09/2017 06:00,1.25
08/09/2017 06:15,1.67
08/09/2017 06:30,1.37
08/09/2017 06:45,1.54
08/09/2017 07:00,1.46
08/09/2017 07:15,1.9
08/09/2017 07:30,2.0
08/09/2017 07:45,1.73
08/09/2017 08:00,1.76
08/09/2017 08:15,2.24
08/09/2017 08:30,1.73
08/09/2017 08:45,1.86
08/09/2017 09:00,1.62
08/09/2017 09:15,1.32
08/09/2017 09:30,2.11
08/09/2017 09:45,1.75
08/09/2017 10:00,2.02
08/09/2017 10:15,2.02
08/09/2017 10:30,2.14
08/09/2017 10:45,2.03
08/09/2017 11:00,1.79
08/09/2017 11:15,1.94
08/09/2017 11:30,1.52
08/09/2017 11:45,1.16
08/09/2017 12:00,0.73
08/09/2017 12:15,1.15
08/09/2017 12:30,1.13
08/09/2017 12:45,1.4
08/09/2017 13:00,1.14
08/09/2017 13:15,1.1
08/09/2017 13:30,0.79
08/09/2017 13:45,1.27
08/09/2017 14:00,1.56
08/09/2017 14:15,2.1
08/09/2017 14:30,1.9
08/09/2017 14:45,1.7
08/09/2017 15:00,1.91
08/09/2017 15:15,1.7
08/09/2017 15:30,0.89
08/09/2017 15:45,0.88
08/09/2017 16:00,1.6
08/09/2017 16:15,1.87
08/09/2017 16:30,2.06
08/09/2017 16:45,2.08
08/09/2017 17:00,2.32
08/09/2017 17:15,2.16
08/09/2017 17:30,1.98
08/09/2017 17:45,2.24
08/09/2017 18:00,2.24
08/09/2017 18:15,1.66
08/09/2017 18:30,1.5
08/09/2017 18:45,1.56
08/09/2017 19:00,1.67
08/09/2017 19:15,1.69
08/09/2017 19:30,1.46
08/09/2017 19:45,1.73
08/09/2017 20:00,1.8
08/09/2017 20:15,1.54
08/09/2017 20:30,1.16
08/09/2017 20:45,1.13
08/09/2017 21:00,1.15
08/09/2017 21:15,1.2
08/09/2017 21:30,1.18
08/09/2017 21:45,1.2
08/09/2017 22:00,1.14
08/09/2017 22:15,1.16
08/09/2017 22:30,1.09
08/09/2017 22:45,1.1
08/09/2017 23:00,1.13
08/09/2017 23:15,1.14
08/09/2017 23:30,1.22
08/09/2017 23:45,1.18
08/09/2017 00:00,1.07
08/10/2017 00:15,1.13
08/10/2017 00:30,1.14
08/10/2017 00:45,1.12
08/10/2017 01:00,1.1
08/10/2017 01:15,1.15
08/10/2017 01:30,1.19
08/10/2017 01:45,1.13
08/10/2017 02:00,1.12
08/10/2017 02:15,1.15
08/10/2017 02:30,1.12
08/10/2017 02:45,1.15
08/10/2017 03:00,1.13
08/10/2017 03:15,1.22
08/10/2017 03:30,1.14
08/10/2017 03:45,1.15
08/10/2017 04:00,1.15
08/10/2017 04:15,1.13
08/10/2017 04:30,1.12
08/10/2017 04:45,1.13
08/10/2017 05:00,1.18
08/10/2017 05:15,0.98
08/10/2017 05:30,1.09
08/10/2017 05:45,1.14
08/10/2017 06:00,1.2
08/10/2017 06:15,1.28
08/10/2017 06:30,1.08
08/10/2017 06:45,1.13
08/10/2017 07:00,1.02
08/10/2017 07:15,1.73
08/10/2017 07:30,1.84
08/10/2017 07:45,1.9
08/10/2017 08:00,2.51
08/10/2017 08:15,2.4
08/10/2017 08:30,2.14
08/10/2017 08:45,2.24
08/10/2017 09:00,2.38
08/10/2017 09:15,3.12
08/10/2017 09:30,3.38
08/10/2017 09:45,3.11
08/10/2017 10:00,3.34
08/10/2017 10:15,3.3
08/10/2017 10:30,3.1
08/10/2017 10:45,2.8
08/10/2017 11:00,2.77
08/10/2017 11:15,2.48
08/10/2017 11:30,2.8
08/10/2017 11:45,3.43
08/10/2017 12:00,3.5
08/10/2017 12:15,3.13
08/10/2017 12:30,3.1
08/10/2017 12:45,2.76
08/10/2017 13:00,2.76
08/10/2017 13:15,2.84
08/10/2017 13:30,3.04
08/10/2017 13:45,3.18
08/10/2017 14:00,3.11
08/10/2017 14:15,3.5
08/10/2017 14:30,3.37
08/10/2017 14:45,3.35
08/10/2017 15:00,3.42
08/10/2017 15:15,3.89
08/10/2017 15:30,3.85
08/10/2017 15:45,3.41
08/10/2017 16:00,3.35
08/10/2017 16:15,3.41
08/10/2017 16:30,3.3
08/10/2017 16:45,3.05
08/10/2017 17:00,3.16
08/10/2017 17:15,3.13
08/10/2017 17:30,3.13
08/10/2017 17:45,2.99
08/10/2017 18:00,2.57
08/10/2017 18:15,2.5
08/10/2017 18:30,2.27
08/10/2017 18:45,2.2
08/10/2017 19:00,2.27
08/10/2017 19:15,2.27
08/10/2017 19:30,2.04
08/10/2017 19:45,1.9
08/10/2017 20:00,1.57
08/10/2017 20:15,1.55
08/10/2017 20:30,1.45
08/10/2017 20:45,1.46
08/10/2017 21:00,1.44
08/10/2017 21:15,1.22
08/10/2017 21:30,1.26
08/10/2017 21:45,1.2
08/10/2017 22:00,1.22
08/10/2017 22:15,1.3
08/10/2017 22:30,1.2
08/10/2017 22:45,1.24
08/10/2017 23:00,1.24
08/10/2017 23:15,1.27
08/10/2017 23:30,1.21
08/10/2017 23:45,1.28
08/10/2017 00:00,1.16
08/11/2017 00:15,1.19
08/11/2017 00:30,1.25
08/11/2017 00:45,1.26
08/11/2017 01:00,1.25
08/11/2017 01:15,1.3
08/11/2017 01:30,1.22
08/11/2017 01:45,1.25
08/11/2017 02:00,1.26
08/11/2017 02:15,1.3
08/11/2017 02:30,1.25
08/11/2017 02:45,1.26
08/11/2017 03:00,1.26
08/11/2017 03:15,1.32
08/11/2017 03:30,1.26
08/11/2017 03:45,1.25
08/11/2017 04:00,1.19
08/11/2017 04:15,1.25
08/11/2017 04:30,1.22
08/11/2017 04:45,1.18
08/11/2017 05:00,1.31
08/11/2017 05:15,1.2
08/11/2017 05:30,1.15
08/11/2017 05:45,1.09
08/11/2017 06:00,1.3
08/11/2017 06:15,1.19
08/11/2017 06:30,1.14
08/11/2017 06:45,1.46
08/11/2017 07:00,1.4
08/11/2017 07:15,1.22
08/11/2017 07:30,1.91
08/11/2017 07:45,1.9
08/11/2017 08:00,1.82
08/11/2017 08:15,1.75
08/11/2017 08:30,1.3
08/11/2017 08:45,1.57
08/11/2017 09:00,0.53
08/11/2017 09:15,1.67
08/11/2017 09:30,2.71
08/11/2017 09:45,2.74
08/11/2017 10:00,2.95
08/11/2017 10:15,3.58
08/11/2017 10:30,0.94
08/11/2017 10:45,1.0
08/11/2017 11:00,0.89
08/11/2017 11:15,0.61
08/11/2017 11:30,0.28
08/11/2017 11:45,1.14
08/11/2017 12:00,0.13
08/11/2017 12:15,0.05
08/11/2017 12:30,0.0
08/11/2017 12:45,0.02
08/11/2017 13:00,0.98
08/11/2017 13:15,0.95
08/11/2017 13:30,0.5
08/11/2017 13:45,2.1
08/11/2017 14:00,1.92
08/11/2017 14:15,1.85
08/11/2017 14:30,2.24
08/11/2017 14:45,2.52
08/11/2017 15:00,2.71
08/11/2017 15:15,2.88
08/11/2017 15:30,2.8
08/11/2017 15:45,3.18
08/11/2017 16:00,2.98
08/11/2017 16:15,2.72
08/11/2017 16:30,2.65
08/11/2017 16:45,2.7
08/11/2017 17:00,2.15
08/11/2017 17:15,2.11
08/11/2017 17:30,2.41
08/11/2017 17:45,2.45
08/11/2017 18:00,2.36
08/11/2017 18:15,1.92
08/11/2017 18:30,1.96
08/11/2017 18:45,2.15
08/11/2017 19:00,2.15
08/11/2017 19:15,2.51
08/11/2017 19:30,2.54
08/11/2017 19:45,2.38
08/11/2017 20:00,2.27
08/11/2017 20:15,2.29
08/11/2017 20:30,2.15
08/11/2017 20:45,1.99
08/11/2017 21:00,1.79
08/11/2017 21:15,1.87
08/11/2017 21:30,1.63
08/11/2017 21:45,1.22
08/11/2017 22:00,1.32
08/11/2017 22:15,1.27
08/11/2017 22:30,1.3
08/11/2017 22:45,1.3
08/11/2017 23:00,1.39
08/11/2017 23:15,1.25
08/11/2017 23:30,1.27
08/11/2017 23:45,1.26
08/11/2017 00:00,1.28
08/12/2017 00:15,1.3
08/12/2017 00:30,1.27
08/12/2017 00:45,1.32
08/12/2017 01:00,1.33
08/12/2017 01:15,1.27
08/12/2017 01:30,1.27
08/12/2017 01:45,1.28
08/12/2017 02:00,1.26
08/12/2017 02:15,1.33
08/12/2017 02:30,1.32
08/12/2017 02:45,1.31
08/12/2017 03:00,1.34
08/12/2017 03:15,1.27
08/12/2017 03:30,1.26
08/12/2017 03:45,1.27
08/12/2017 04:00,1.28
08/12/2017 04:15,1.22
08/12/2017 04:30,1.33
08/12/2017 04:45,1.26
08/12/2017 05:00,1.28
08/12/2017 05:15,1.16
08/12/2017 05:30,1.2
08/12/2017 05:45,1.09
08/12/2017 06:00,1.37
08/12/2017 06:15,1.37
08/12/2017 06:30,1.49
08/12/2017 06:45,1.1
08/12/2017 07:00,0.68
08/12/2017 07:15,0.31
08/12/2017 07:30,0.05
08/12/2017 07:45,0.0
08/12/2017 08:00,0.1
08/12/2017 08:15,0.05
08/12/2017 08:30,0.0
08/12/2017 08:45,0.0
08/12/2017 09:00,0.0
08/12/2017 09:15,0.0
08/12/2017 09:30,0.0
08/12/2017 09:45,0.0
08/12/2017 10:00,0.0
08/12/2017 10:15,0.0
08/12/2017 10:30,0.0
08/12/2017 10:45,0.0
08/12/2017 11:00,0.0
08/12/2017 11:15,0.0
08/12/2017 11:30,0.0
08/12/2017 11:45,0.0
08/12/2017 12:00,0.0
08/12/2017 12:15,0.0
08/12/2017 12:30,0.07
08/12/2017 12:45,0.0
08/12/2017 13:00,0.0
08/12/2017 13:15,0.07
08/12/2017 13:30,0.0
08/12/2017 13:45,0.0
08/12/2017 14:00,0.11
08/12/2017 14:15,0.2
08/12/2017 14:30,0.72
08/12/2017 14:45,0.71
08/12/2017 15:00,0.46
08/12/2017 15:15,0.44
08/12/2017 15:30,0.62
08/12/2017 15:45,1.02
08/12/2017 16:00,0.76
08/12/2017 16:15,0.41
08/12/2017 16:30,0.13
08/12/2017 16:45,0.11
08/12/2017 17:00,0.16
08/12/2017 17:15,0.3
08/12/2017 17:30,1.02
08/12/2017 17:45,1.62
08/12/2017 18:00,1.55
08/12/2017 18:15,1.62
08/12/2017 18:30,1.63
08/12/2017 18:45,1.43
08/12/2017 19:00,1.6
08/12/2017 19:15,1.57
08/12/2017 19:30,1.5
08/12/2017 19:45,1.22
08/12/2017 20:00,1.33
08/12/2017 20:15,1.34
08/12/2017 20:30,1.31
08/12/2017 20:45,1.31
08/12/2017 21:00,1.33
08/12/2017 21:15,1.26
08/12/2017 21:30,1.31
08/12/2017 21:45,1.3
08/12/2017 22:00,1.27
08/12/2017 22:15,1.39
08/12/2017 22:30,1.31
08/12/2017 22:45,1.28
08/12/2017 23:00,1.27
08/12/2017 23:15,1.28
08/12/2017 23:30,1.25
08/12/2017 23:45,1.34
08/12/2017 00:00,1.31
08/13/2017 00:15,1.31
08/13/2017 00:30,1.28
08/13/2017 00:45,1.34
08/13/2017 01:00,1.3
08/13/2017 01:15,1.28
08/13/2017 01:30,1.3
08/13/2017 01:45,1.31
08/13/2017 02:00,1.3
08/13/2017 02:15,1.32
08/13/2017 02:30,1.36
08/13/2017 02:45,1.33
08/13/2017 03:00,1.28
08/13/2017 03:15,1.27
08/13/2017 03:30,1.3
08/13/2017 03:45,1.31
08/13/2017 04:00,1.33
08/13/2017 04:15,1.28
08/13/2017 04:30,1.37
08/13/2017 04:45,1.32
08/13/2017 05:00,1.3
08/13/2017 05:15,1.26
08/13/2017 05:30,1.13
08/13/2017 05:45,1.18
08/13/2017 06:00,1.12
08/13/2017 06:15,1.21
08/13/2017 06:30,1.07
08/13/2017 06:45,0.9
08/13/2017 07:00,0.86
08/13/2017 07:15,0.83
08/13/2017 07:30,0.85
08/13/2017 07:45,0.5
08/13/2017 08:00,0.25
08/13/2017 08:15,0.22
08/13/2017 08:30,0.08
08/13/2017 08:45,0.12
08/13/2017 09:00,0.01
08/13/2017 09:15,0.0
08/13/2017 09:30,0.0
08/13/2017 09:45,0.0
