,Power
2018-06-01 00:00:00,1.16
2018-06-01 00:15:00,1.18
2018-06-01 00:30:00,1.12
2018-06-01 00:45:00,1.12
2018-06-01 01:00:00,1.14
2018-06-01 01:15:00,1.15
2018-06-01 01:30:00,1.16
2018-06-01 01:45:00,1.09
2018-06-01 02:00:00,1.16
2018-06-01 02:15:00,1.13
2018-06-01 02:30:00,1.15
2018-06-01 02:45:00,2.74
2018-06-01 03:00:00,3.44
2018-06-01 03:15:00,1.12
2018-06-01 03:30:00,1.18
2018-06-01 03:45:00,1.08
2018-06-01 04:00:00,1.15
2018-06-01 04:15:00,1.1
2018-06-01 04:30:00,1.16
2018-06-01 04:45:00,1.08
2018-06-01 05:00:00,1.19
2018-06-01 05:15:00,1.15
2018-06-01 05:30:00,1.18
2018-06-01 05:45:00,1.2
2018-06-01 06:00:00,1.22
2018-06-01 06:15:00,1.4
2018-06-01 06:30:00,1.39
2018-06-01 06:45:00,1.52
2018-06-01 07:00:00,2.44
2018-06-01 07:15:00,2.56
2018-06-01 07:30:00,2.66
2018-06-01 07:45:00,2.57
2018-06-01 08:00:00,2.53
2018-06-01 08:15:00,2.76
2018-06-01 08:30:00,3.56
2018-06-01 08:45:00,3.8
2018-06-01 09:00:00,6.28
2018-06-01 09:15:00,5.75
2018-06-01 09:30:00,5.56
2018-06-01 09:45:00,6.31
2018-06-01 10:00:00,6.08
2018-06-01 10:15:00,5.82
2018-06-01 10:30:00,5.86
2018-06-01 10:45:00,6.22
2018-06-01 11:00:00,4.9
2018-06-01 11:15:00,4.26
2018-06-01 11:30:00,4.22
2018-06-01 11:45:00,4.19
2018-06-01 12:00:00,4.96
2018-06-01 12:15:00,4.48
2018-06-01 12:30:00,4.6
2018-06-01 12:45:00,4.64
2018-06-01 13:00:00,4.66
2018-06-01 13:15:00,4.66
2018-06-01 13:30:00,5.35
2018-06-01 13:45:00,6.42
2018-06-01 14:00:00,4.61
2018-06-01 14:15:00,4.64
2018-06-01 14:30:00,5.68
2018-06-01 14:45:00,5.88
2018-06-01 15:00:00,6.29
2018-06-01 15:15:00,4.94
2018-06-01 15:30:00,4.72
2018-06-01 15:45:00,5.02
2018-06-01 16:00:00,4.96
2018-06-01 16:15:00,4.82
2018-06-01 16:30:00,6.65
2018-06-01 16:45:00,6.76
2018-06-01 17:00:00,5.15
2018-06-01 17:15:00,3.94
2018-06-01 17:30:00,3.73
2018-06-01 17:45:00,3.61
2018-06-01 18:00:00,1.61
2018-06-01 18:15:00,2.23
2018-06-01 18:30:00,3.78
2018-06-01 18:45:00,1.97
2018-06-01 19:00:00,1.39
2018-06-01 19:15:00,1.38
2018-06-01 19:30:00,1.38
2018-06-01 19:45:00,1.6
2018-06-01 20:00:00,1.56
2018-06-01 20:15:00,1.31
2018-06-01 20:30:00,1.39
2018-06-01 20:45:00,1.39
2018-06-01 21:00:00,1.31
2018-06-01 21:15:00,1.4
2018-06-01 21:30:00,1.39
2018-06-01 21:45:00,1.38
2018-06-01 22:00:00,1.4
2018-06-01 22:15:00,1.39
2018-06-01 22:30:00,1.42
2018-06-01 22:45:00,1.34
2018-06-01 23:00:00,1.39
2018-06-01 23:15:00,1.34
2018-06-01 23:30:00,1.43
2018-06-01 23:45:00,1.43
2018-06-02 00:00:00,1.19
2018-06-02 00:15:00,1.18
2018-06-02 00:30:00,1.1
2018-06-02 00:45:00,1.45
2018-06-02 01:00:00,3.56
2018-06-02 01:15:00,2.12
2018-06-02 01:30:00,1.14
2018-06-02 01:45:00,1.1
2018-06-02 02:00:00,1.14
2018-06-02 02:15:00,1.13
2018-06-02 02:30:00,1.07
2018-06-02 02:45:00,1.13
2018-06-02 03:00:00,1.09
2018-06-02 03:15:00,1.13
2018-06-02 03:30:00,1.14
2018-06-02 03:45:00,1.14
2018-06-02 04:00:00,1.14
2018-06-02 04:15:00,1.18
2018-06-02 04:30:00,1.15
2018-06-02 04:45:00,1.18
2018-06-02 05:00:00,1.16
2018-06-02 05:15:00,1.15
2018-06-02 05:30:00,1.14
2018-06-02 05:45:00,1.22
2018-06-02 06:00:00,1.32
2018-06-02 06:15:00,3.43
2018-06-02 06:30:00,3.74
2018-06-02 06:45:00,3.66
2018-06-02 07:00:00,3.68
2018-06-02 07:15:00,4.19
2018-06-02 07:30:00,6.35
2018-06-02 07:45:00,6.73
2018-06-02 08:00:00,3.36
2018-06-02 08:15:00,3.32
2018-06-02 08:30:00,3.37
2018-06-02 08:45:00,3.74
2018-06-02 09:00:00,4.2
2018-06-02 09:15:00,4.25
2018-06-02 09:30:00,4.3
2018-06-02 09:45:00,4.98
2018-06-02 10:00:00,5.1
2018-06-02 10:15:00,6.72
2018-06-02 10:30:00,6.84
2018-06-02 10:45:00,7.16
2018-06-02 11:00:00,7.02
2018-06-02 11:15:00,6.89
2018-06-02 11:30:00,7.18
2018-06-02 11:45:00,6.72
2018-06-02 12:00:00,6.01
2018-06-02 12:15:00,4.79
2018-06-02 12:30:00,4.94
2018-06-02 12:45:00,5.08
2018-06-02 13:00:00,6.23
2018-06-02 13:15:00,7.55
2018-06-02 13:30:00,5.7
2018-06-02 13:45:00,5.28
2018-06-02 14:00:00,5.68
2018-06-02 14:15:00,6.37
2018-06-02 14:30:00,7.36
2018-06-02 14:45:00,7.58
2018-06-02 15:00:00,7.02
2018-06-02 15:15:00,8.02
2018-06-02 15:30:00,8.56
2018-06-02 15:45:00,8.22
2018-06-02 16:00:00,7.62
2018-06-02 16:15:00,7.55
2018-06-02 16:30:00,6.6
2018-06-02 16:45:00,5.16
2018-06-02 17:00:00,5.03
2018-06-02 17:15:00,5.28
2018-06-02 17:30:00,4.8
2018-06-02 17:45:00,5.35
2018-06-02 18:00:00,3.22
2018-06-02 18:15:00,1.14
2018-06-02 18:30:00,1.08
2018-06-02 18:45:00,1.1
2018-06-02 19:00:00,1.1
2018-06-02 19:15:00,1.08
2018-06-02 19:30:00,1.03
2018-06-02 19:45:00,1.39
2018-06-02 20:00:00,1.32
2018-06-02 20:15:00,1.33
2018-06-02 20:30:00,1.37
2018-06-02 20:45:00,1.38
2018-06-02 21:00:00,1.34
2018-06-02 21:15:00,1.34
2018-06-02 21:30:00,1.36
2018-06-02 21:45:00,1.34
2018-06-02 22:00:00,1.34
2018-06-02 22:15:00,1.39
2018-06-02 22:30:00,1.44
2018-06-02 22:45:00,1.43
2018-06-02 23:00:00,1.44
2018-06-02 23:15:00,1.45
2018-06-02 23:30:00,1.44
2018-06-02 23:45:00,1.42
2018-06-03 00:00:00,1.15
2018-06-03 00:15:00,1.68
2018-06-03 00:30:00,3.58
2018-06-03 00:45:00,1.8
2018-06-03 01:00:00,1.09
2018-06-03 01:15:00,1.1
2018-06-03 01:30:00,1.08
2018-06-03 01:45:00,1.12
2018-06-03 02:00:00,1.07
2018-06-03 02:15:00,1.14
2018-06-03 02:30:00,1.07
2018-06-03 02:45:00,1.09
2018-06-03 03:00:00,1.06
2018-06-03 03:15:00,1.18
2018-06-03 03:30:00,1.09
2018-06-03 03:45:00,1.16
2018-06-03 04:00:00,1.12
2018-06-03 04:15:00,1.19
2018-06-03 04:30:00,1.12
2018-06-03 04:45:00,1.14
2018-06-03 05:00:00,1.15
2018-06-03 05:15:00,1.1
2018-06-03 05:30:00,1.1
2018-06-03 05:45:00,1.2
2018-06-03 06:00:00,1.31
2018-06-03 06:15:00,1.3
2018-06-03 06:30:00,3.79
2018-06-03 06:45:00,3.77
2018-06-03 07:00:00,5.3
2018-06-03 07:15:00,6.13
2018-06-03 07:30:00,3.8
2018-06-03 07:45:00,4.12
2018-06-03 08:00:00,3.55
2018-06-03 08:15:00,2.65
2018-06-03 08:30:00,3.44
2018-06-03 08:45:00,3.7
2018-06-03 09:00:00,3.79
2018-06-03 09:15:00,3.91
2018-06-03 09:30:00,4.2
2018-06-03 09:45:00,4.28
2018-06-03 10:00:00,4.58
2018-06-03 10:15:00,5.81
2018-06-03 10:30:00,5.47
2018-06-03 10:45:00,5.1
2018-06-03 11:00:00,4.82
2018-06-03 11:15:00,4.85
2018-06-03 11:30:00,4.48
2018-06-03 11:45:00,3.96
2018-06-03 12:00:00,6.16
2018-06-03 12:15:00,5.38
2018-06-03 12:30:00,5.26
2018-06-03 12:45:00,4.54
2018-06-03 13:00:00,7.13
2018-06-03 13:15:00,7.54
2018-06-03 13:30:00,5.02
2018-06-03 13:45:00,4.94
2018-06-03 14:00:00,7.14
2018-06-03 14:15:00,9.6
2018-06-03 14:30:00,10.12
2018-06-03 14:45:00,9.29
2018-06-03 15:00:00,10.92
2018-06-03 15:15:00,10.2
2018-06-03 15:30:00,10.88
2018-06-03 15:45:00,10.92
2018-06-03 16:00:00,10.78
2018-06-03 16:15:00,10.75
2018-06-03 16:30:00,10.18
2018-06-03 16:45:00,8.66
2018-06-03 17:00:00,6.4
2018-06-03 17:15:00,7.39
2018-06-03 17:30:00,6.62
2018-06-03 17:45:00,5.81
2018-06-03 18:00:00,1.49
2018-06-03 18:15:00,1.15
2018-06-03 18:30:00,1.09
2018-06-03 18:45:00,1.06
2018-06-03 19:00:00,1.07
2018-06-03 19:15:00,1.08
2018-06-03 19:30:00,1.03
2018-06-03 19:45:00,1.32
2018-06-03 20:00:00,1.37
2018-06-03 20:15:00,1.34
2018-06-03 20:30:00,1.3
2018-06-03 20:45:00,1.31
2018-06-03 21:00:00,1.38
2018-06-03 21:15:00,1.33
2018-06-03 21:30:00,1.32
2018-06-03 21:45:00,1.37
2018-06-03 22:00:00,1.31
2018-06-03 22:15:00,1.37
2018-06-03 22:30:00,1.31
2018-06-03 22:45:00,1.4
2018-06-03 23:00:00,1.33
2018-06-03 23:15:00,1.34
2018-06-03 23:30:00,1.33
2018-06-03 23:45:00,1.42
2018-06-04 00:00:00,1.24
2018-06-04 00:15:00,3.65
2018-06-04 00:30:00,2.6
2018-06-04 00:45:00,1.21
2018-06-04 01:00:00,1.14
2018-06-04 01:15:00,1.15
2018-06-04 01:30:00,1.09
2018-06-04 01:45:00,1.09
2018-06-04 02:00:00,1.06
2018-06-04 02:15:00,1.09
2018-06-04 02:30:00,1.12
2018-06-04 02:45:00,1.08
2018-06-04 03:00:00,1.07
2018-06-04 03:15:00,1.09
2018-06-04 03:30:00,1.09
2018-06-04 03:45:00,1.1
2018-06-04 04:00:00,1.07
2018-06-04 04:15:00,1.15
2018-06-04 04:30:00,1.08
2018-06-04 04:45:00,1.13
2018-06-04 05:00:00,1.1
2018-06-04 05:15:00,1.12
2018-06-04 05:30:00,1.12
2018-06-04 05:45:00,1.14
2018-06-04 06:00:00,1.1
2018-06-04 06:15:00,1.21
2018-06-04 06:30:00,1.21
2018-06-04 06:45:00,1.21
2018-06-04 07:00:00,3.02
2018-06-04 07:15:00,3.38
2018-06-04 07:30:00,1.21
2018-06-04 07:45:00,1.21
2018-06-04 08:00:00,1.18
2018-06-04 08:15:00,1.13
2018-06-04 08:30:00,1.14
2018-06-04 08:45:00,1.06
2018-06-04 09:00:00,1.08
2018-06-04 09:15:00,1.49
2018-06-04 09:30:00,1.84
2018-06-04 09:45:00,1.85
2018-06-04 10:00:00,1.66
2018-06-04 10:15:00,1.32
2018-06-04 10:30:00,1.14
2018-06-04 10:45:00,1.15
2018-06-04 11:00:00,1.14
2018-06-04 11:15:00,1.14
2018-06-04 11:30:00,1.18
2018-06-04 11:45:00,1.25
2018-06-04 12:00:00,1.28
2018-06-04 12:15:00,1.31
2018-06-04 12:30:00,1.33
2018-06-04 12:45:00,1.2
2018-06-04 13:00:00,1.2
2018-06-04 13:15:00,1.12
2018-06-04 13:30:00,1.2
2018-06-04 13:45:00,3.34
2018-06-04 14:00:00,2.86
2018-06-04 14:15:00,1.16
2018-06-04 14:30:00,1.13
2018-06-04 14:45:00,1.12
2018-06-04 15:00:00,1.14
2018-06-04 15:15:00,1.12
2018-06-04 15:30:00,1.12
2018-06-04 15:45:00,1.12
2018-06-04 16:00:00,1.13
2018-06-04 16:15:00,1.15
2018-06-04 16:30:00,1.15
2018-06-04 16:45:00,1.09
2018-06-04 17:00:00,1.19
2018-06-04 17:15:00,1.21
2018-06-04 17:30:00,1.19
2018-06-04 17:45:00,1.13
2018-06-04 18:00:00,1.14
2018-06-04 18:15:00,1.01
2018-06-04 18:30:00,1.1
2018-06-04 18:45:00,1.03
2018-06-04 19:00:00,1.09
2018-06-04 19:15:00,1.08
2018-06-04 19:30:00,1.01
2018-06-04 19:45:00,1.31
2018-06-04 20:00:00,1.34
2018-06-04 20:15:00,1.34
2018-06-04 20:30:00,1.34
2018-06-04 20:45:00,3.24
2018-06-04 21:00:00,3.29
2018-06-04 21:15:00,1.38
2018-06-04 21:30:00,1.36
2018-06-04 21:45:00,1.37
2018-06-04 22:00:00,1.38
2018-06-04 22:15:00,1.45
2018-06-04 22:30:00,1.39
2018-06-04 22:45:00,1.4
2018-06-04 23:00:00,1.31
2018-06-04 23:15:00,1.33
2018-06-04 23:30:00,1.39
2018-06-04 23:45:00,1.33
2018-06-05 00:00:00,1.13
2018-06-05 00:15:00,1.04
2018-06-05 00:30:00,1.12
2018-06-05 00:45:00,1.09
2018-06-05 01:00:00,1.07
2018-06-05 01:15:00,1.12
2018-06-05 01:30:00,1.06
2018-06-05 01:45:00,1.13
2018-06-05 02:00:00,1.04
2018-06-05 02:15:00,1.12
2018-06-05 02:30:00,1.15
2018-06-05 02:45:00,1.15
2018-06-05 03:00:00,1.15
2018-06-05 03:15:00,1.13
2018-06-05 03:30:00,2.04
2018-06-05 03:45:00,3.59
2018-06-05 04:00:00,1.52
2018-06-05 04:15:00,1.1
2018-06-05 04:30:00,1.08
2018-06-05 04:45:00,1.1
2018-06-05 05:00:00,1.14
2018-06-05 05:15:00,1.13
2018-06-05 05:30:00,1.13
2018-06-05 05:45:00,1.08
2018-06-05 06:00:00,1.15
2018-06-05 06:15:00,1.37
2018-06-05 06:30:00,1.31
2018-06-05 06:45:00,1.8
2018-06-05 07:00:00,2.44
2018-06-05 07:15:00,2.35
2018-06-05 07:30:00,2.47
2018-06-05 07:45:00,2.41
2018-06-05 08:00:00,2.76
2018-06-05 08:15:00,2.82
2018-06-05 08:30:00,3.73
2018-06-05 08:45:00,3.76
2018-06-05 09:00:00,5.3
2018-06-05 09:15:00,6.43
2018-06-05 09:30:00,6.13
2018-06-05 09:45:00,5.69
2018-06-05 10:00:00,6.01
2018-06-05 10:15:00,7.37
2018-06-05 10:30:00,5.62
2018-06-05 10:45:00,5.78
2018-06-05 11:00:00,5.75
2018-06-05 11:15:00,5.74
2018-06-05 11:30:00,5.76
2018-06-05 11:45:00,6.28
2018-06-05 12:00:00,5.62
2018-06-05 12:15:00,5.24
2018-06-05 12:30:00,5.45
2018-06-05 12:45:00,5.11
2018-06-05 13:00:00,4.91
2018-06-05 13:15:00,4.75
2018-06-05 13:30:00,4.76
2018-06-05 13:45:00,4.87
2018-06-05 14:00:00,5.22
2018-06-05 14:15:00,5.5
2018-06-05 14:30:00,5.63
2018-06-05 14:45:00,5.78
2018-06-05 15:00:00,6.37
2018-06-05 15:15:00,8.03
2018-06-05 15:30:00,6.38
2018-06-05 15:45:00,5.81
2018-06-05 16:00:00,5.6
2018-06-05 16:15:00,5.58
2018-06-05 16:30:00,5.72
2018-06-05 16:45:00,5.28
2018-06-05 17:00:00,5.4
2018-06-05 17:15:00,4.42
2018-06-05 17:30:00,3.83
2018-06-05 17:45:00,3.43
2018-06-05 18:00:00,1.3
2018-06-05 18:15:00,1.2
2018-06-05 18:30:00,1.08
2018-06-05 18:45:00,1.19
2018-06-05 19:00:00,1.18
2018-06-05 19:15:00,1.13
2018-06-05 19:30:00,1.08
2018-06-05 19:45:00,1.34
2018-06-05 20:00:00,1.43
2018-06-05 20:15:00,1.37
2018-06-05 20:30:00,1.36
2018-06-05 20:45:00,1.38
2018-06-05 21:00:00,1.4
2018-06-05 21:15:00,3.4
2018-06-05 21:30:00,3.34
2018-06-05 21:45:00,1.43
2018-06-05 22:00:00,1.44
2018-06-05 22:15:00,1.37
2018-06-05 22:30:00,1.39
2018-06-05 22:45:00,1.43
2018-06-05 23:00:00,1.46
2018-06-05 23:15:00,1.43
2018-06-05 23:30:00,1.43
2018-06-05 23:45:00,1.45
2018-06-06 00:00:00,1.21
2018-06-06 00:15:00,1.12
2018-06-06 00:30:00,1.09
2018-06-06 00:45:00,1.1
2018-06-06 01:00:00,1.12
2018-06-06 01:15:00,1.12
2018-06-06 01:30:00,1.12
2018-06-06 01:45:00,1.1
2018-06-06 02:00:00,1.07
2018-06-06 02:15:00,1.12
2018-06-06 02:30:00,1.09
2018-06-06 02:45:00,1.15
2018-06-06 03:00:00,1.14
2018-06-06 03:15:00,1.12
2018-06-06 03:30:00,1.1
2018-06-06 03:45:00,1.21
2018-06-06 04:00:00,1.14
2018-06-06 04:15:00,1.16
2018-06-06 04:30:00,3.6
2018-06-06 04:45:00,2.6
2018-06-06 05:00:00,1.19
2018-06-06 05:15:00,1.09
2018-06-06 05:30:00,1.14
2018-06-06 05:45:00,1.13
2018-06-06 06:00:00,1.16
2018-06-06 06:15:00,1.21
2018-06-06 06:30:00,1.2
2018-06-06 06:45:00,1.25
2018-06-06 07:00:00,1.22
2018-06-06 07:15:00,1.25
2018-06-06 07:30:00,1.28
2018-06-06 07:45:00,1.22
2018-06-06 08:00:00,1.26
2018-06-06 08:15:00,1.27
2018-06-06 08:30:00,1.24
2018-06-06 08:45:00,1.26
2018-06-06 09:00:00,1.15
2018-06-06 09:15:00,1.18
2018-06-06 09:30:00,1.14
2018-06-06 09:45:00,1.08
2018-06-06 10:00:00,1.15
